	title	year	rated	min_age	runtime(min)	genres	director	actors	plot	languages	country	awards	imdbRating	rottenTomatoesRating	metacriticRating	boxoffice	production	ReleaseDate	YearReleased	MonthReleased	viewCount	commentCount	likeCount	dislikeCount	Production Budget	Domestic Total Gross	Distributor	polarity	subjectivity	polarity_confidence	subjectivity_confidence	actorAR	directorAR	languageAR	countryAR	genreAR	ratingAR	productionAR	distributionAR
1074	Alvin and the Chipmunks: Chipwrecked	2011	G	1	87	Animation; Adventure; Comedy	Mike Mitchell	Jason Lee; David Cross; Jenny Slate; Justin Long	Playing around while aboard a cruise ship the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise They discover their new turf is not as deserted as it seems	English	USA	2 wins & 1 nomination	4.4	11.0	24	133103929.0	20th Century Fox	16-Dec-11	2011	12	1458177.0	195.0	1349.0	413.0	75000000	133110742	Fox	neutral	subjective	0.544241428	1.0	-13445804	28946815	9159624	9575722	22293110	18385330	12579404	13031627
1075	Immortals	2011	R	17	110	Action; Drama; Fantasy	Tarsem Singh	Henry Cavill; Mickey Rourke; Stephen Dorff; Freida Pinto	Eons after the Gods won their mythic struggle against the Titans a new evil threatens the land Mad with power King Hyperion (Mickey Rourke) has declared war against humanity Amassing a bloodthirsty army of soldiers disfigured by his own hand Hyperion has scorched Greece in search of the legendary Epirus Bow a weapon of unimaginable power forged in the heavens by Ares Only he who possesses this bow can unleash the Titans who have been imprisoned deep within the walls of Mount Tartaros since the dawn of time and thirst for revenge In the kings hands the bow would rain destruction upon mankind and annihilate the Gods But ancient law dictates the Gods must not intervene in mans conflict They remain powerless to stop Hyperionuntil a peasant named Theseus (Henry Cavill) comes forth as their only hope Secretly chosen by Zeus Theseus must save his people from Hyperion and his hordes Rallying a band of fellow outsiders - including visionary priestess Phaedra (Freida Pinto) and cunning slave Stavros (Stephen Dorff) - one hero will lead the uprising or watch his homeland fall into ruin and his Gods vanish into legend	English; Greek	USA	1 win & 6 nominations	6.0	36.0	46	83488546.0	Relativity Media	11-Nov-11	2011	11	108618.0	44.0	280.0	32.0	75000000	83504017	Relativity	negative	subjective	0.47131899	1.0	-10087806	0	33958270	9575722	10660520	8133748	4646547	7784057
1076	Tower Heist	2011	PG-13	13	104	Action; Comedy; Crime	Brett Ratner	Ben Stiller; Eddie Murphy; Casey Affleck; Alan Alda	Josh Kovaks is the manager of a high-rise condominium in New York He is close to all the tenants especially financier Arthur Shaw One day Shaw is arrested by the FBI for fraud Josh thinks its a misunderstanding that can be resolved but later he learns that the employees pension fund - which he asked Shaw to handle - is gone When one of the employees tries to kill himself Joshs views of Shaw change He goes to see him and loses his temper and his job The FBI agent in charge tells him that Shaw might walk and recovering the pension fund is unlikely She tells him that its been rumored that Shaw has $20 million lying around if he needs it in a hurry Josh thinks he knows where it is so with two other fired employees and an evicted tenant they set out to get into Shaws penthouse to get the money But they realize they need the assistance of someone who knows how to steal so Josh asks an old acquaintance named Slide who he knows is a thief to help them	English; Spanish; Chinese	USA	3 nominations	6.2	66.0	59	78009155.0	Universal Pictures	4-Nov-11	2011	11	5304309.0	1569.0	6597.0	317.0	75000000	78046570	Universal	neutral	subjective	0.35226956	1.0	4077638	-5135766	15283860	9575722	18782711	9899276	20852222	24540500
1077	Now You See Me	2013	PG-13	13	115	Crime; Mystery; Thriller	Louis Leterrier	Jesse Eisenberg; Mark Ruffalo; Woody Harrelson; Isla Fisher	Four magicians each answer a mysterious summons to an obscure address with secrets inside A year later they are the Four Horsemen big time stage illusionists who climax their sold out Las Vegas show with a bank apparently robbed for real This puts agents Dylan Rhodes of the FBI and Alma Dray of Interpol on the case to find out how they did it However this mystery proves difficult to solve even with the insights of the professional illusion exposer Thaddeus Bradley What follows is a bizarre investigation where nothing is what it seems with illusions dark secrets and hidden agendas galore as all involved are reminded of a great truth in this puzzle: the closer you look the less you see	English; French	USA; France	1 win & 3 nominations	7.3	50.0	50	117698894.0	Lionsgate Films	31-May-13	2013	5	423766.0	1.0	33.0	2.0	75000000	117723989	Lionsgate/Summit	negative	subjective	0.515622616	1.0	3814238	11095856	14027331	14393267	26386918	9899276	17163082	11630608
1078	The Secret Life of Pets	2016	PG	7	87	Animation; Adventure; Comedy	Chris Renaud; Yarrow Cheney(co-director)	Louis C.K.; Eric Stonestreet; Kevin Hart; Jenny Slate	Taking place in a Manhattan apartment building Maxs life as a favorite pet is turned upside down when his owner brings home a sloppy mongrel named Duke They have to put their quarrels behind when they find out that an adorable white bunny named Snowball is building an army of lost pets determined to take revenge	English	Japan; USA	4 wins & 15 nominations	6.5	74.0	61	368305960.0	Universal Pictures	8-Jul-16	2016	7	9756300.0	2196.0	24105.0	1544.0	75000000	368384330	Universal	negative	subjective	0.605749667	1.0	36919392	0	9159624	25379903	22293110	12706625	20852222	24540500
1079	Inferno	2016	PG-13	13	121	Action; Adventure; Crime	Ron Howard	Tom Hanks; Felicity Jones; Omar Sy; Irrfan Khan	Academy Award® winner Ron Howard returns to direct the latest bestseller in Dan Browns (Da Vinci Code) billion-dollar Robert Langdon series Inferno which finds the famous symbologist (again played by Tom Hanks) on a trail of clues tied to the great Dante himself When Langdon wakes up in an Italian hospital with amnesia he teams up with Sienna Brooks (Felicity Jones) a doctor he hopes will help him recover his memories Together they race across Europe and against the clock to stop a madman from unleashing a global virus that would wipe out half of the worlds population	English; French; Italian; Turkish	USA; Hungary	1 win & 1 nomination	6.2	22.0	42	34307024.0	Sony Pictures	28-Oct-16	2016	10	6867809.0	2053.0	16878.0	825.0	75000000	34343574	Sony / Columbia	neutral	subjective	0.91748786	1.0	-11815700	0	27824607	15093481	16722852	9899276	21745046	20441134
1080	Madagascar	2005	PG	7	86	Animation; Adventure; Comedy	Eric Darnell; Tom McGrath	Ben Stiller; Chris Rock; David Schwimmer; Jada Pinkett Smith	At New Yorks Central Park Zoo a lion a zebra a giraffe and a hippo are best friends and stars of the show But when one of the animals goes missing from their cage the other three break free to look for him only to find themselves reunited  on a ship en route to Africa When their vessel is hijacked however the friends who have all been raised in captivity learn first-hand what life can be like in the wild	English; Portuguese; Spanish; German; French	USA	4 wins & 31 nominations	6.9	55.0	57	193136719.0	Dreamworks	27-May-05	2005	5	187903.0	20.0	105.0	31.0	75000000	193595521	DreamWorks	positive	subjective	0.771333575	1.0	29265877	0	25976836	9575722	22293110	12706625	22642788	9044111
1081	Dreamgirls	2006	PG-13	13	130	Drama; Music; Musical	Bill Condon	Jamie Foxx; Beyoncé; Eddie Murphy; Danny Glover	Detroit the early 1960s Curtis Taylor Jr a car salesman breaks into the music business with big dreams He signs a trio of young women the Dreamettes gets them a job backing an R&B performer James Thunder Early establishes his own record label and starts wheeling and dealing When Early flames out Curtis makes the Dreamettes into headliners as the Dreams but not before demoting their hefty big-voiced lead singer Effie White and putting the softer-voiced looker Deena Jones in front Soon after he fires Effie sends her into a life of proud poverty and takes Deena and the Dreams to the top How long can Curtis stay there and will Effie ever get her due?	English	USA	Won 2 Oscars Another 66 wins & 91 nominations	6.5	78.0	76	103300000.0	Dreamworks	15-Dec-06	2006	12	344420.0	31.0	1001.0	18.0	75000000	103365956	Paramount (DreamWorks)	neutral	subjective	0.68907553	1.0	42744322	-24744992	9159624	9575722	29588534	9899276	22642788	21139428
1082	Sing	2016	PG	7	108	Animation; Comedy; Family	Garth Jennings; Christophe Lourdelet(co-director)	Matthew McConaughey; Reese Witherspoon; Seth MacFarlane; Scarlett Johansson	In a town with no humans just animals a koala named Buster Moon realizes he will soon lose his theater if he cannot turn his luck around He comes up with a plan to host a singing competition where the winner will receive $100000 Will this be enough to return his theater to glory?	English; Japanese; Ukrainian	Japan; USA	Nominated for 2 Golden Globes Another 2 wins & 20 nominations	7.1	73.0	59	270322940.0	Illumination Entertainment	21-Dec-16	2016	12	6772420.0	3482.0	15627.0	1090.0	75000000	2260616	TriStar	negative	subjective	0.509419978	1.0	38892159	0	23046539	25379903	31489814	12706625	0	28670269
1083	Children of Men	2006	R	17	109	Drama; Sci-Fi; Thriller	Alfonso Cuarón	Clive Owen; Juan Gabriel Yacuzzi; Michael Caine; Mishal Husain	The worlds youngest citizen has just died at 18 and humankind is facing the likelihood of its own extinction Set in and around a dystopian London fractious with violence and warring nationalistic sects Children of Men follows the unexpected discovery of a lone pregnant woman and the desperate journey to deliver her to safety and restore faith for a future beyond those presently on Earth	English; German; Italian; Romanian; Spanish; Arabic; Georgian; Russian; Serbian	USA; UK; Japan	Nominated for 3 Oscars Another 48 wins & 76 nominations	7.9	92.0	84	35100000.0	Universal Pictures	25-Dec-06	2006	12	2566183.0	1410.0	6452.0	261.0	76000000	35552383	Universal	negative	subjective	0.569588184	1.0	-8384668	0	32376690	27816335	23893777	8133748	20852222	24540500
1084	Despicable Me 2	2013	PG	7	98	Animation; Adventure; Comedy	Pierre Coffin; Chris Renaud	Steve Carell; Kristen Wiig; Benjamin Bratt; Miranda Cosgrove	While Gru the ex-supervillain is adjusting to family life and an attempted honest living in the jam business a secret Arctic laboratory is stolen The Anti-Villain League decides it needs an insiders help and recruits Gru in the investigation Together with the eccentric AVL agent Lucy Wilde Gru concludes that his prime suspect is the presumed dead supervillain El Macho whose his teenage son is also making the moves on his eldest daughter Margo Seemingly blinded by his overprotectiveness of his children and his growing mutual attraction to Lucy Gru seems on the wrong track even as his minions are being quietly kidnapped en masse for some malevolent purpose	English; Ukrainian	USA; France; Japan	Nominated for 2 Oscars Another 12 wins & 65 nominations	7.4	74.0	62	368049635.0	Universal Pictures	3-Jul-13	2013	7	5447078.0	1127.0	17888.0	1381.0	76000000	368061265	Universal	negative	subjective	0.514701545	1.0	41989302	0	16312415	30197448	22293110	12706625	20852222	24540500
1085	Cloudy with a Chance of Meatballs 2	2013	PG	7	95	Animation; Action; Adventure	Cody Cameron; Kris Pearn	Bill Hader; Anna Faris; James Caan; Will Forte	After the disastrous food storm in the first film Flint and his friends are forced to leave the town Flint accepts the invitation from his idol Chester V to join The Live Corp Company which has been tasked to clean the island and where the best inventors in the world create technologies for the betterment of mankind When Flint discovers that his machine still operates and now creates mutant food beasts like living pickles hungry tacodiles shrimpanzees and apple pie-thons he and his friends must return to save the world	English	USA	16 nominations	6.4	71.0	59	119793567.0	Sony Pictures	27-Sep-13	2013	9	829123.0	151.0	1022.0	106.0	78000000	119793567	Sony / Columbia	negative	subjective	0.562209249	1.0	17972500	0	9159624	9575722	16178283	12706625	21745046	20441134
1086	Jack and Jill	2011	PG	7	91	Comedy	Dennis Dugan	Adam Sandler; Al Pacino; Katie Holmes; Elodie Tougne	Jack Sadelstein is a successful advertising executive in Los Angeles with a beautiful wife and kids who dreads one event each year: the Thanksgiving visit of his identical twin sister Jill Jills neediness and passive-aggressiveness is maddening to Jack turning his normally tranquil life upside down	English	USA	14 wins & 5 nominations	3.4	3.0	23	74158157.0	Sony Pictures	11-Nov-11	2011	11	837416.0	1993.0	1956.0	5750.0	79000000	74158157	Sony / Columbia	positive	objective	0.959540069	0.999999983	-4116643	0	9159624	9575722	11237616	12706625	21745046	20441134
1087	Journey 2: The Mysterious Island	2012	PG	7	94	Action; Adventure; Comedy	Brad Peyton	Dwayne Johnson; Michael Caine; Josh Hutcherson; Luis Guzmán	The 17-year-old Sean Anderson receives a coded signal and his stepfather Hank helps him to decipher the message They find that Seans grandfather Alexander Anderson has found the mysterious island in the Pacific described by Jules Verne and two other writers in their novels The stubborn Sean wants to travel to the coordinates and Hank decides to buy the tickets and travel with the teenager to a small island nearby the location They rent an old helicopter owned by the locals Gabato and his teenage daughter Kailani and the group heads to the unknown spot Along their journey they cross a hurricane and crash on the island They find a beautiful and dangerous place surrounded by forests volcanoes with lava of gold and menacing life forms They also meet the old Alexander and Hank discovers that the island is sinking Now their only chance to survive is to find the legendary Nautilus	English	USA	7 wins & 4 nominations	5.8	43.0	41	103812241.0	New Line Cinema	10-Feb-12	2012	2	49429.0	2.0	26.0	1.0	79000000	103860290	Warner Bros. (New Line)	neutral	subjective	0.658335567	1.0	81762469	0	9159624	9575722	25538162	12706625	11056127	34076409
1088	The Great Raid	2005	R	17	132	Action; Drama; War	John Dahl	Benjamin Bratt; James Franco; Robert Mammone; Max Martini	Set in the Philippines in 1945 towards the end of WWII under the command of Lieutenant Colonel Henry Mucci and Captain Robert Prince the 6th Ranger Battalion undertake a daring rescue mission against all odds Traveling thirty miles behind enemy lines they intend to liberate over 500 American Soldiers from the notorious Cabanatuan Japanese POW camp in the most audacious rescue ever	Filipino; English; Tagalog; Japanese	USA; Australia	1 nomination	6.7	37.0	48	10074830.0	Miramax Films	12-Aug-05	2005	8	5591.0	0.0	10.0	1.0	80000000	10167373	Miramax	positive	subjective	0.978848815	1.0	-115474	-1570633	2566512	24080271	8430904	8133748	-1282213	2778936
1089	The Interpreter	2005	PG-13	13	128	Crime; Mystery; Thriller	Sydney Pollack	Nicole Kidman; Sean Penn; Catherine Keener; Jesper Christensen	Escalating events begin when UN interpreter Silvia Broome alleges that she has overheard a death threat against an African head of state spoken in a rare dialect few people other than Silvia can understand With the words The Teacher will never leave this room alive in an instant Silvias life is turned upside down as she becomes a hunted target of the killers Placed under the protection of federal agent Tobin Keller Silvias world only grows more nightmarish As Keller digs deeper into his eyewitnesses past and her secretive world of global connections the more suspicious he becomes that she herself might be involved in the conspiracy With every step of the way he finds more reasons to mistrust her Is Sylvia a victim? A suspect? Or something else entirely? And can Tobin coping with his own personal heartache keep her safe? Though they must depend on one another Silvia and Tobin couldnt be more different Silvias strengths are words diplomacy and the subtleties of meaning while Tobin is all about instinct action and reading into the most primal human behaviors Now as the danger of a major assassination on US soil grows and Silvias life hangs in the balance Silvia and Tobin play out a gripping dance of evasion and revelation that keeps them both guessing as they race to stop a terrifying international crisis before its too late	Aboriginal; English; French; Portuguese	UK; France; Germany; USA; South Africa	3 wins & 2 nominations	6.4	56.0	62	72515360.0	Universal Pictures	22-Apr-05	2005	4	81063.0	13.0	68.0	7.0	80000000	72708161	Universal	negative	subjective	0.529318273	1.0	16049204	0	16064352	33755884	26386918	9899276	20852222	24540500
1090	Ice Age: The Meltdown	2006	PG	7	91	Animation; Action; Adventure	Carlos Saldanha	Ray Romano; John Leguizamo; Denis Leary; Seann William Scott	Manny the woolly mammoth Sid the sloth Diego the saber-toothed tiger and the hapless prehistoric squirrel/rat known as Scrat are still together and enjoying the perks of their now melting world Manny may be ready to start a family but nobody has seen another mammoth for a long time Manny thinks he may be the last one That is until he miraculously finds Ellie the only female mammoth left in the world Their only problems: They cant stand each other--and Ellie somehow thinks shes a possum! Ellie comes with some excess baggage in the form of her two possum brothers-- Crash and Eddie a couple of daredevil pranksters and cocky loud-mouthed troublemakers Manny Sid and Diego quickly learn that the warming climate has one major drawback: A huge glacial dam holding off oceans of water is about to break threatening the entire valley The only chance of survival lies at the other end of the valley So our three heroes along with Ellie Crash and Eddie form the most unlikely family--in any Age-- as they embark on a mission across an ever-changing increasingly dangerous landscape towards their salvation	English	USA	7 wins & 16 nominations	6.8	57.0	58	195300000.0	20th Century Fox	31-Mar-06	2006	3	529847.0	31.0	180.0	49.0	80000000	195330621	Fox	positive	subjective	0.635774255	1.0	70823174	0	9159624	9575722	16178283	12706625	12579404	13031627
1091	Bedtime Stories	2008	PG	7	99	Comedy; Family; Fantasy	Adam Shankman	Adam Sandler; Keri Russell; Guy Pearce; Russell Brand	In 1974 Marty Bronson builds the Sunny Vista Motel in Los Angeles California with the intention of raising his son Skeeter and his daughter Wendy in the place where he works However he is not a good businessman and the hotel goes bankrupt Marty is forced to sell his motel to Barry Nottingham who promises to hire Skeeter in a general manager position when he has grown up Years later Barry builds a new hotel forgets his promise to Marty and Skeeter Bronson is only the handyman of his hotel The general manager is the arrogant Kendall who is engaged with the shallow Barrys daughter Violet Nottingham When the Webster Elementary School where Wendy is the principal will be closed to be demolished she needs to travel to Arizona for a job interview Wendy asks her friend Jill who is teacher in the same school to watch her son Patrick and her daughter Bobbi during the day and Skeeter to watch them during the night Skeeter meets the estranged kids with his best friend Mickey and makes up bedtime stories to help them to sleep but the kids add details to the stories changing their endings Soon Skeeter realizes that the plot of the stories are coming true and affecting his life Meanwhile Barry Nottingham decides to give a change to Skeeter to dispute the manager position in his new hotel with Kendall like in one of his stories But Skeeter has told to his nephew and his niece that stories do not have happy endings	English	USA	2 wins & 5 nominations	6.1	25.0	33	109993847.0	Walt Disney Pictures	25-Dec-08	2008	12	19276.0	1.0	21.0	1.0	80000000	110101975	Buena Vista	positive	subjective	0.559630334	1.0	22744373	57086868	9159624	9575722	29230478	12706625	24295569	24118945
1092	Eagle Eye	2008	PG-13	13	118	Action; Mystery; Thriller	D.J. Caruso	Shia LaBeouf; Michelle Monaghan; Rosario Dawson; Michael Chiklis	Jerry Shaw is an amiable slacker with an over-achieving twin brother After his twin dies in an accident strange things happen to Jerry at a dizzying pace: a fortune shows up in his bank account weapons are delivered to his flat and a voice on his cell phone tells him the police are on their way Jerry follows the voices instructions and soon he and a woman hes never met are racing through the city on to a plane and eventually to the Pentagon chased by the FBI She is Rachel Holloman a single mom the voice has threatened her sons death if she doesnt cooperate The voice seems to know everything Who is behind it what is being planned and why Jerry and Rachel?	English	USA; Germany	3 wins & 8 nominations	6.6	27.0	43	101111837.0	Paramount Studios	26-Sep-08	2008	9	1455476.0	295.0	1562.0	102.0	80000000	101440743	Paramount (DreamWorks)	neutral	subjective	0.77200067	1.0	46345702	7681244	9159624	17808743	29087401	9899276	-7228379	21139428
1093	Four Christmases	2008	PG-13	13	88	Comedy; Drama; Romance	Seth Gordon	Vince Vaughn; Reese Witherspoon; Robert Duvall; Sissy Spacek	Brad and Kate have been together three years in love having fun doing all sorts of things together with no intention of marriage or children Christmas morning theyre on their way to Fiji having told their two sets of divorced parents that theyre off to do charity work Through a fluke they have no choice but to visit each of their four idiosyncratic parents As the day progresses Brad and Kate remember growing up each learns more about the other and Kate realizes that her life may not be as good as it could be Do they know each other well enough to weather the storms families bring?	English	Germany; USA	1 win & 1 nomination	5.6	24.0	41	120100000.0	New Line Cinema	26-Nov-08	2008	11	998930.0	110.0	769.0	48.0	80000000	120146040	Warner Bros. (New Line)	positive	subjective	0.994021475	1.0	44301619	39869914	9159624	17808743	27926409	9899276	11056127	34076409
1094	Get Smart	2008	PG-13	13	110	Action; Adventure; Comedy	Peter Segal	Steve Carell; Anne Hathaway; Dwayne Johnson; Alan Arkin	American Maxwell Smart works for a Government spy agency in an administrative capacity When the agencys head office is attacked the Chief decides to assign Maxwell as a spy and partners him with sexy Agent 99 much to her chagrin The duo nevertheless set off to combat their attackers by first parachuting off an airplane and landing in Russian territory - followed closely by an over seven feet tall 400 pound goon known simply as Dalip The duo handicapped by Maxwells antics will eventually have their identities compromised and may be chalked up as casualties while back in America their attackers have already planted a bomb that is set-up to explode in a concert	English; Russian; Panjabi; Arabic	USA	2 wins & 6 nominations	6.5	50.0	54	130246343.0	Warner Bros. Pictures	20-Jun-08	2008	6	12405.0	0.0	2.0	2.0	80000000	130319208	Warner Bros.	negative	subjective	0.925539613	1.0	36521797	-10192740	28288349	9575722	25538162	9899276	18199373	12943408
1095	Surrogates	2009	PG-13	13	89	Action; Sci-Fi; Thriller	Jonathan Mostow	Bruce Willis; Radha Mitchell; Rosamund Pike; Boris Kodjoe	People are living their lives remotely from the safety of their own homes via robotic surrogates -- sexy physically perfect mechanical representations of themselves Its an ideal world where crime pain fear and consequences dont exist When the first murder in years jolts this utopia FBI agent Greer discovers a vast conspiracy behind the surrogate phenomenon and must abandon his own surrogate risking his life to unravel the mystery	English	USA		6.3	38.0	45	38542418.0	Touchstone Pictures	25-Sep-09	2009	9	281219.0	112.0	298.0	12.0	80000000	38577772	Buena Vista	neutral	subjective	0.702700615	1.0	40261446	0	9159624	9575722	23097236	9899276	-1125237	24118945
1096	The Book of Eli	2010	R	17	118	Action; Adventure; Drama	Albert Hughes; Allen Hughes	Denzel Washington; Gary Oldman; Mila Kunis; Ray Stevenson	In a violent post-apocalyptic society a drifter Eli has been wandering westward across North America for the last thirty years He finds solace in a unique book which he carries on his person and guards closely whilst surviving by hunting small animals and seeking goods in destroyed houses and vehicles to trade in villages for water and supplies When he reaches a village ruled by the powerful mobster Carnegie the man views Elis impressive fighting skills and offers Eli a place within his gang Carnegie presses his blind lover Claudia to send her daughter Solara to at least convince Eli to spend the night by sleeping with him However Eli proves to be the better man when he gently declines her advances The girl sees Elis book and when Carnegie finds out he beats her mother until she reveals what she saw Carnegie sends his gang into the wasteland to take the book from Eli but the man proves to be a formidable foe as he makes it more than clear that if they want the book they must first take his life	English	USA	3 wins & 16 nominations	6.9	47.0	53	94800000.0	Warner Bros. Pictures	15-Jan-10	2010	1	46690.0	0.0	25.0	0.0	80000000	94835059	Warner Bros.	neutral	subjective	0.625208855	1.0	31671477	-14205410	9159624	9575722	20219876	8133748	18199373	12943408
1097	Edge of Darkness	2010	R	17	117	Crime; Drama; Mystery	Martin Campbell	Mel Gibson; Ray Winstone; Danny Huston; Bojana Novakovic	Thomas Craven is a detective who has spent years working the streets of Boston When his own daughter is killed outside his own home Craven soon realizes that her death is only one piece of an intriguing puzzle filled with corruption and conspiracy and it falls to him to discover who is behind the crime	English	UK; USA	1 nomination	6.6	56.0	55	43290977.0	Warner Bros. Pictures	29-Jan-10	2010	1	409312.0	31.0	164.0	13.0	80000000	43313890	Warner Bros.	neutral	subjective	0.491073281	1.0	-38320248	0	9159624	12012154	21435050	8133748	18199373	12943408
1098	The Expendables	2010	R	17	103	Action; Adventure; Thriller	Sylvester Stallone	Sylvester Stallone; Jason Statham; Jet Li; Dolph Lundgren	Barney Ross leads the Expendables a band of highly skilled mercenaries including knife enthusiast Lee Christmas martial arts expert Yin Yang heavy weapons specialist Hale Caesar demolitionist Toll Road and loose-cannon sniper Gunner Jensen When the group is commissioned by the mysterious Mr Church to assassinate the merciless dictator of a small South American island Barney and Lee head to the remote locale to scout out their opposition Once there they meet with local rebel Sandra and discover the true nature of the conflict engulfing the city When they escape the island and Sandra stays behind Ross must choose to either walk away and save his own life - or attempt a suicidal rescue mission that might just save his soul	English; Spanish	USA	3 wins & 5 nominations	6.5	42.0	45	102981571.0	Lionsgate Films	13-Aug-10	2010	8	19520023.0	16740.0	35015.0	1279.0	80000000	103068524	Lionsgate	neutral	subjective	0.671963871	1.0	-5338932	19512524	15035100	9575722	25171744	8133748	17163082	10358090
1099	Grown Ups	2010	PG-13	13	102	Comedy	Dennis Dugan	Adam Sandler; Kevin James; Chris Rock; David Spade	In 1978 five 12-year-olds win a CYO basketball championship Thirty years later they gather with their families for their coachs funeral and a weekend at a house on a lake where they used to party By now each is a grownup with problems and challenges: Marcus is alone and drinks too much Rob with three daughters he rarely sees is always deeply in love until he turns on his next ex-wife Eric is overweight and out of work Kurt is a househusband henpecked by wife and mother-in-law Lenny is a successful Hollywood agent married to a fashion designer their kids take privilege for granted Can the outdoors help these grownups rediscover connections or is this chaos in the making?	English; Spanish	USA	3 wins & 4 nominations	6.0	10.0	30	162001186.0	Sony Pictures	25-Jun-10	2010	6	37238.0	0.0	29.0	2.0	80000000	162001186	Sony / Columbia	neutral	subjective	0.543145776	1.0	15750185	0	15035100	9575722	11237616	9899276	21745046	20441134
1100	Yogi Bear	2010	PG	7	80	Animation; Adventure; Comedy	Eric Brevig	Dan Aykroyd; Justin Timberlake; Anna Faris; Tom Cavanagh	Jellystone Park is celebrating its 100th anniversary however it may be for the last time because attendance is down and Mayor Brown wants to close the park and sell the land If the park is closed Yogi Bear and Boo Boo will lose their home They join forces with Ranger Smith to save Jellystone from closing forever Yogi must really prove in this endeavor that he is smarter than the average bear	English	USA; New Zealand	2 wins & 1 nomination	4.6	13.0	35	10016906800.0	Warner Bros. Pictures	17-Dec-10	2010	12	419165.0	993.0	550.0	1111.0	80000000	100246011	Warner Bros.	positive	subjective	0.795821905	1.0	29753269	41704370	9159624	25900825	22293110	12706625	18199373	12943408
1101	Grown Ups 2	2013	PG-13	13	101	Comedy	Dennis Dugan	Adam Sandler; Kevin James; Chris Rock; David Spade	After having the greatest time of his life three summers ago Lenny (Adam Sandler) decides he wants to move his family back to his hometown and have them grow up with his gang of childhood friends and their kids But between old bullies new bullies schizophrenic bus drivers drunk cops on skis psycho grade school girlfriends and 400 costumed party crashes he finds out that sometimes crazy follows you	English; Spanish	USA	5 wins & 15 nominations	5.4	7.0	19	127400000.0	Sony Pictures	12-Jul-13	2013	7	7609245.0	5264.0	20493.0	1682.0	80000000	133668525	Sony / Columbia	positive	subjective	0.40503484	1.0	15750185	0	15035100	9575722	11237616	9899276	21745046	20441134
1102	Despicable Me 3	2017	PG	7	89	Animation; Action; Adventure	Kyle Balda; Pierre Coffin; Eric Guillon(co-director)	Steve Carell; Kristen Wiig; Trey Parker; Miranda Cosgrove	After he is fired from the Anti-Villain League for failing to take down the latest bad guy to threaten humanity Gru finds himself in the midst of a major identity crisis But when a mysterious stranger shows up to inform Gru that he has a long-lost twin brother-a brother who desperately wishes to follow in his twins despicable footsteps-one former super-villain will rediscover just how good it feels to be bad	English	USA	23 nominations	6.3	60.0	49	264194540.0	Universal Pictures	30-Jun-17	2017	6	24595208.0	5224.0	80840.0	7615.0	80000000	264624300	Universal	negative	subjective	0.677185953	1.0	36574583	0	9159624	9575722	16178283	12706625	20852222	24540500
1103	Over the Hedge	2006	PG	7	83	Animation; Adventure; Comedy	Tim Johnson; Karey Kirkpatrick	Bruce Willis; Garry Shandling; Steve Carell; Wanda Sykes	RJ a raccoon who needs food accidentally takes food from a hungry bear named Vincent and he wants his food to be found in exactly the same place in a week He finally finds that an animal family with a tortoise named Verne as their leader could help him restore the food from the suburbia the gateway to the good life But little does RJ know there is a woman who has recently hired an exterminator to try to hunt them down	English	USA	6 wins & 20 nominations	6.7	75.0	67	155019340.0	Dreamworks	19-May-06	2006	5	1498699.0	436.0	1578.0	146.0	80000000	155019340	Paramount (DreamWorks)	negative	subjective	0.733797431	1.0	77252246	0	9159624	9575722	22293110	12706625	22642788	21139428
1104	Kingsman: The Secret Service	2014	R	17	129	Action; Adventure; Comedy	Matthew Vaughn	Adrian Quinton; Colin Firth; Mark Strong; Jonno Davies	A young man named Eggsy whose father died when he was a young boy is dealing with living with the creep his mother is with now who mistreats her and him He goes out and does something to one of the creeps friends He gets arrested and he calls a number a man gave him around the time his father died to call if he needs help A man named Harry approaches him and tells him hes the one who helped him He tells him that he knew his father When the man Eggsy slighted wants some payback Harry takes care of him and his companions single handed Harry then tells Eggsy that hes part of a secret organization called the Kingsman and his father was also part of it He died trying to make the world safe Harry offers Eggsy the opportunity to be a Kingsman and he takes it He undergoes a grueling training course Harry is looking into the demise of another Kingsman and the trail leads him to tech billionaire named Valentine aka V who is also curious about the group following him the Kingsman	English; Arabic; Swedish	UK; USA	8 wins & 26 nominations	7.7	74.0	60	119469511.0	20th Century Fox	13-Feb-15	2015	2	16398499.0	3114.0	46539.0	1691.0	81000000	128261724	Fox	neutral	subjective	0.491544396	1.0	6019812	0	20609869	12012154	25538162	8133748	12579404	13031627
