X,title,year,rated,min_age,runtime.min.,genres,director,actors,plot,languages,country,awards,imdbRating,rottenTomatoesRating,metacriticRating,boxoffice,production,ReleaseDate,YearReleased,MonthReleased,viewCount,commentCount,likeCount,dislikeCount,Production.Budget,Domestic.Total.Gross,Distributor,polarity,subjectivity,polarity_confidence,subjectivity_confidence,actorAR,directorAR,languageAR,countryAR,genreAR,ratingAR,productionAR,distributionAR,Domestic.Total.Gross_ln,Domestic.Total.Gross_sqrt,likeCount_ln,dislikeCount_ln,dislikeCount_rc,like_ratio
65,Man on Wire,2008,PG-13,13,94,Documentary; Biography,James Marsh,Philippe Petit; Jean François Heckel; Jean-Louis Blondeau; Annie Allix,On August 7 1974 Philippe Petit a French wire walker juggler and street performer days shy of his 25th birthday spent 45 minutes walking dancing kneeling and lying on a wire he and friends strung between the rooftops of the Twin Towers Uses contemporary interviews archival footage and recreations to tell the story of his previous walks between towers of Notre Dame and of the Sydney Harbour Bridge his passions and friendships and the details of the night before the walk: getting cable into the towers hiding from guards and mounting the wire It ends with observations of the profound changes the walks success brought to Philippe and those closest to him,English; French,UK; USA,Won 1 Oscar Another 45 wins & 11 nominations,7.8,100,89,2600296,Magnolia Pictures,25-Jul-08,2008,7,325790,79,295,17,1900000,2962242,Magnolia,negative,subjective,0.476092219,1,4248968,1062242,14027331,12012154,11383595,9899276,-3184813,-4333005,14.901456972025496,1721.1164980907015,5.68697535633982,2.833213344056216,17,17.352941176470587
66,The Square,2017,R,17,151,Comedy; Drama,Ruben Östlund,Claes Bang; Elisabeth Moss; Dominic West; Terry Notary,Christian is the respected curator of a contemporary art museum a divorced but devoted father of two who drives an electric car and supports good causes His next show is The Square an installation which invites passersby to altruism reminding them of their role as responsible fellow human beings But sometimes it is difficult to live up to your own ideals: Christians foolish response to the theft of his phone drags him into shameful situations Meanwhile the museums PR agency has created an unexpected campaign for The Square The response is overblown and sends Christian as well as the museum into an existential crisis,English; Swedish; Danish,Sweden; Germany; France; Denmark,Nominated for 1 Oscar Another 23 wins & 35 nominations,7.5,82,72,1284672,Magnolia Pictures,27-Oct-17,2017,10,1684181,323,5010,395,1900000,406116,Apparition,neutral,subjective,0.668324649,1,-8338263,-1493884,-1381736,19001024,17156946,8133748,-3184813,-1882341,12.91439411206103,637.2723122810216,8.51919119407891,5.978885764901122,395,12.683544303797468
67,Inside Deep Throat,2005,NC-17,17,92,Documentary; Biography; History,Fenton Bailey; Randy Barbato,Dennis Hopper; Gerard Damiano; John Waters; Larry Flynt,In 1972 a seemingly typical shoestring budget pornographic film was made in a Florida hotel Deep Throat starring Linda Lovelace This film would surpass the wildest expectation of everyone involved to become one of the most successful independent films of all time It caught the public imagination which met the spirit of the times even as the self appointed guardians of public morality struggled to suppress it and created for a brief moment a possible future where sexuality in film had a bold artistic potential This film covers the story of the making of this controversial film its stunning success its hysterical opposition along with its dark side of mob influence and allegations of the on set mistreatment of the films star In short the combined events would redefine the popular appeal of pornography even as more cynical developments would lead it down other paths,English,USA,1 win & 1 nomination,6.8,83,64,479143,Universal Pictures,11-Feb-05,2005,2,1634193,22,302,150,2000000,691880,Universal,negative,subjective,0.695897579,1,-9287599,-2616240,9159624,9575722,12706948,-5851569,20852222,24540500,13.44716780915786,831.7932435407251,5.71042701737487,5.0106352940962555,150,2.013333333333333
68,Courageous,2011,PG-13,13,129,Drama,Alex Kendrick,Ken Bevel; Alex Kendrick; Kevin Downes; Renee Jewell,Four men one calling: To serve and protect As law enforcement officers they face danger every day Yet when tragedy strikes close to home these fathers are left wrestling with their hopes their fears and their faith From this struggle will come a decision that changes all of their lives With action drama and humor the fourth film from Sherwood Pictures embraces Gods promise to turn the hearts of fathers to their children and the hearts of children to their fathers Souls will be stirred and hearts will be challenged to be  courageous!,English,USA,2 wins & 2 nominations,7,30,42,34522221,Sony Pictures,30-Sep-11,2011,9,2876472,1961,7075,417,2000000,34522221,TriStar,negative,subjective,0.819420218,1,130305932,32739269,9159624,9575722,5919330,9899276,21745046,28670269,17.35711376162313,5875.561334885374,8.864322722511439,6.0330862217988015,417,16.966426858513188
69,Higher Ground,2011,R,17,109,Drama,Vera Farmiga,Joshua Leonard; Norbert Leo Butz; Michael Chernus; Vera Farmiga,Vera Farmigas directorial debut HIGHER GROUND depicts the landscape of a tight-knit spiritual community thrown off-kilter when one of their own begins to question her faith Inspired by screenwriter Carolyn S Briggs memoir This Dark World the film tells the story of a thoughtful womans struggles with belief love and trust - in human relationships as well as in God,English,USA,1 win & 7 nominations,6.3,80,74,841056,Sony Pictures Classics,26-Aug-11,2011,8,12790,0,5,8,2000000,841733,Sony Classics,neutral,subjective,0.525523245,0.99779431,28963666,-1158267,9159624,9575722,5919330,8133748,-1688477,-1096370,13.643218140799183,917.4600808754569,1.6094379124341003,2.0794415416798357,8,0.625
70,Harsh Times,2005,R,17,116,Action; Crime; Drama,David Ayer,Christian Bale; Freddy Rodríguez; Eva Longoria; Chaka Forman,Jim Davis is an ex-Army Ranger who finds himself slipping back into his old life of petty crime after a job offer from the LAPD evaporates His best friend is pressured by his girlfriend Sylvia to find a job but Jim is more interested in hanging out and making cash from small heists while trying to get a law enforcement job so he can marry his Mexican girlfriend,English; Spanish; Korean,USA,2 nominations,6.9,48,56,3304691,MGM,10-Nov-06,2006,11,531570,333,611,69,2000000,3337931,MGM,negative,subjective,0.724739909,1,28941092,13919989,39196608,9575722,13464425,8133748,2878820,2869539,15.020861711929753,1827.000547345293,6.415096959171596,4.23410650459726,69,8.855072463768115
71,It Follows,2014,R,17,100,Horror; Mystery,David Robert Mitchell,Bailey Spry; Carollette Phillips; Loren Bass; Keir Gilchrist,For nineteen-year-old Jay Autumn should be about school boys and week-ends out at the lake But after a seemingly innocent sexual encounter she finds herself plagued by strange visions and the inescapable sense that someone something is following her Faced with this burden Jay and her friends must find a way to escape the horrors that seem to be only a few steps behind,English,USA,24 wins & 41 nominations,6.9,97,83,10705259,Radius-TWC,13-Mar-15,2015,3,5999996,3477,13929,1080,2000000,14674076,Radius-TWC,neutral,subjective,0.405649513,1,50696304,12674076,9159624,9575722,31360854,8133748,540457,-5552633,16.50159295747123,3830.675658418499,9.541728276688032,6.984716320118266,1080,12.897222222222222
72,Lost River,2014,R,17,95,Drama; Fantasy; Mystery,Ryan Gosling,Christina Hendricks; Iain De Caestecker; Saoirse Ronan; Matt Smith,Lost River is a dark fairy tale about love family and the fight for survival in the face of danger In the virtually abandoned city of Lost River Billy (Christina Hendricks) a single mother of two is led into a macabre underworld in her quest to save her childhood home and hold her family together Her teenage son Bones (Iain De Casestecker) discovers a mystery about the origins of Lost River that triggers his curiosity and sets into motion an unexpected journey that will test his limits and the limits of those he loves,English,USA,1 win & 5 nominations,5.8,30,42,NA,Warner Bros. Pictures,10-Apr-15,2015,4,2822665,779,5483,350,2000000,45431,Warner Bros.,positive,subjective,0.78757441,1,-5887349,-1954569,9159624,9575722,18631145,8133748,18199373,12943408,10.72394997039761,213.14549021736303,8.609407675404048,5.857933154483459,350,15.665714285714285
73,Silent House,2011,R,17,86,Drama; Horror; Mystery,Chris Kentis; Laura Lau,Elizabeth Olsen; Adam Trese; Eric Sheffer Stevens; Julia Chan,This movie is about Sarah as she and her dad go to their lakeside retreat to pack things up inside because it is being sold While there her uncle also helps get the place up to scratch so they can sell it The uncle has to leave to get an electrician to check the wiring but after he goes she starts hearing noises and seeing what she thinks are people inside the house Soon she and her dad are attacked by someone or something and they end up in a fight for their lives But theres something more going on here than she thinks,English,France; USA,1 win & 2 nominations,5.3,43,49,9921042,Open Road Films,9-Mar-12,2012,3,2449644,1773,3281,446,2000000,12754783,Open Road Films,negative,subjective,0.387233406,1,32728414,21509566,9159624,14393267,37280184,8133748,-1515354,-590462,16.361416896477223,3571.3839054349787,8.0959035329611,6.100318952020064,446,7.356502242152466
74,Waltz with Bashir,2008,R,17,90,Animation; Biography; Drama,Ari Folman,Ari Folman; Ori Sivan; Ronny Dayag; Shmuel Frenkel,One night at a bar an old friend tells director Ari about a recurring nightmare in which he is chased by 26 vicious dogs Every night the same number of beasts The two men conclude that theres a connection to their Israeli Army mission in the first Lebanon War of the early eighties Ari is surprised that he cant remember a thing anymore about that period of his life Intrigued by this riddle he decides to meet and interview old friends and comrades around the world He needs to discover the truth about that time and about himself As Ari delves deeper and deeper into the mystery his memory begins to creep up in surreal images,Hebrew; Arabic; German; English,Israel; France; Germany; USA; Finland; Switzerland; Belgium; Australia,Nominated for 1 Oscar Another 44 wins & 58 nominations,8,96,91,23e5,Sony Pictures Classics,25-Dec-08,2008,12,47332,5,101,3,2000000,2283849,Sony Classics,neutral,subjective,0.678140342,1,1135396,283849,37350434,27323040,12808710,8133748,-1688477,-1096370,14.641372735488474,1511.240880865787,4.61512051684126,1.0986122886681098,3,33.666666666666664
75,Adult Beginners,2014,R,17,92,Comedy; Drama,Ross Katz,Rose Byrne; Nick Kroll; Bobby Cannavale; Joel McHale,A young narcissistic entrepreneur crashes and burns on the eve of his companys big launch With his entire life in total disarray he leaves Manhattan to move in with his estranged pregnant sister brother-in-law and 3-year-old nephew in the suburbs - only to become their nanny,English,USA,NA,5.6,48,57,104415,Radius,24-Apr-15,2015,4,276894,27,475,31,2000000,108808,Radius-TWC,neutral,subjective,0.535246134,1,22845798,-1891192,9159624,9575722,17156946,8133748,-1891192,-5552633,11.597340140112589,329.86057660775407,6.163314804034641,3.4339872044851463,31,15.32258064516129
76,Aftershock,2012,R,17,89,Action; Adventure; Horror,Nicolás López,Eli Roth; Andrea Osvárt; Ariel Levy; Natasha Yarovenko,After an earthquake erupts in Chile tourist discover that a neighboring prison in the area collapsed in the event and all surviving criminals managed to break free Soon they learn that the most terrifying thing more threatening that Mother Nature is what she created,English; Spanish,USA; Chile,3 nominations,4.8,36,39,40179,The Weinstein Company,10-May-13,2013,5,576382,644,1271,582,2000000,58510,Radius-TWC,neutral,subjective,0.514090478,1,-5699069,-1941490,15035100,9004767,32567986,8133748,4896905,-5552633,10.976952958782281,241.88840402135858,7.147559271189454,6.366470447731438,582,2.183848797250859
77,Hardcore Henry,2015,R,17,96,Action; Adventure; Sci-Fi,Ilya Naishuller,Sharlto Copley; Danila Kozlovsky; Haley Bennett; Tim Roth,Hardcore Henry is an action film told from a first person perspective: You remember nothing Mainly because youve just been brought back from the dead by your wife (Haley Bennett) She tells you that your name is Henry Five minutes later you are being shot at your wife has been kidnapped and you should probably go get her back Whos got her? His names Akan hes a powerful warlord with an army of mercenaries and a plan for world domination Youre also in an unfamiliar city of Moscow and everyone wants you dead Everyone except for a mysterious British fellow called Jimmy He may be on your side but you arent sure If you can survive the insanity and solve the mystery you might just discover your purpose and the truth behind your identity Good luck Henry Youre likely going to need it,English; Russian,Russia; USA,1 win & 1 nomination,6.7,NA,51,NA,NA,8-Apr-16,2016,4,7476550,988,6589,416,2000000,9252038,STX Entertainment,negative,subjective,0.58651799,1,7872348,7252038,15344220,-7396444,21403795,8133748,2061285,3010766,16.040354409545092,3041.7162918326226,8.793156870913819,6.030685260261263,416,15.838942307692308
78,Knock Knock,2015,R,17,99,Drama; Horror; Thriller,Eli Roth,Keanu Reeves; Lorenza Izzo; Ana de Armas; Aaron Burns,When a devoted husband and father is left home alone for the weekend two stranded young women unexpectedly knock on his door for help What starts out as a kind gesture results in a dangerous seduction and a deadly game of cat and mouse A sexy new thriller from director Eli Roth and written for the screen by Eli Roth & Nicolás López & Guillermo Amoedo and story by Anthony Overman and Michael Ronald KNOCK KNOCK stars Keanu Reeves as the family man who falls into temptation and Lorenza Izzo and Ana de Armas as the seductresses who wreak havoc upon his life turning a married mans dark fantasy into his worst nightmare KNOCK KNOCK will be released by Lionsgate Premiere in theaters and On Demand on October 9th,English; Spanish,USA; Chile,NA,4.9,35,53,285363,Lionsgate Premiere,9-Oct-15,2015,10,8539419,4890,12579,3164,2000000,36336,Lionsgate Premiere,neutral,objective,0.521691084,0.999997352,-1071524,14251700,15035100,9004767,35057968,8133748,-1963664,-1963664,10.50056426434534,190.62004091910168,9.439784035838873,8.059592328887545,3164,3.975663716814159
79,No End in Sight,2007,NOT RATED,17,102,Documentary; War,Charles Ferguson,Campbell Scott; Gerald Burke; Ali Fadhil; Omar Fekeiki,Chronological look at the fiasco in Iraq especially decisions made in the spring of 2003 - and the backgrounds of those making decisions - immediately following the overthrow of Saddam: no occupation plan an inadequate team to run the country insufficient troops to keep order and three edicts from the White House announced by Bremmer when he took over: no provisional Iraqi government de-Baathification and disbanding the Iraqi armed services The film has chapters (from History to Consequences) and the talking heads are reporters academics soldiers military brass and former Bush-administration officials including several who were in Baghdad in 2003,English; Arabic,USA,Nominated for 1 Oscar Another 12 wins & 18 nominations,8.3,96,89,1250100,Magnolia Pictures,27-Jul-07,2007,7,167757,80,295,14,2000000,1433319,Magnolia,neutral,subjective,0.466956854,1,-520397,-566681,22103753,9575722,3760737,-3152472,-3184813,-4333005,14.175503291945681,1197.2130136279006,5.68697535633982,2.6390573296152584,14,21.071428571428573
80,Salinger,2013,PG-13,13,120,Documentary,Shane Salerno,Philip Seymour Hoffman; Edward Norton; John Cusack; Martin Sheen,An unprecedented look inside the private world of JD Salinger the reclusive author of The Catcher in the Rye,English,USA,1 nomination,6.7,36,40,575775,The Weinstein Company,6-Sep-13,2013,9,2143,0,3,0,2000000,583633,Weinstein Company,neutral,objective,0.710956037,0.999996382,27065847,-1416367,9159624,9575722,6371952,9899276,4896905,4433571,13.27702763961129,763.9587685209195,1.0986122886681098,-Inf,1,3
81,Some Velvet Morning,2013,NOT RATED,17,84,Drama,Neil LaBute,Stanley Tucci; Alice Eve,Fred (Stanley Tucci) arrives at the doorstep of his beautiful young mistress Velvet (Alice Eve) after four years apart claiming to have finally left his wife But when she rejects his attempts to rekindle their romance his persistence evolves into obsession - and a dark history between the former lovers comes into focus A return to form for writer/director Neil LaBute (In the Company of Men Your Friends & Neighbors) Some Velvet Morning is an astutely written portrait of a very modern romance,English,USA,NA,5.8,51,54,NA,Tribeca Film,13-Dec-13,2013,12,1875301,188,2523,335,2000000,6420,Tribeca Film,positive,subjective,0.512546062,1,-3987160,306351,9159624,9575722,5919330,-3152472,-1993580,-5487469,8.767173396684006,80.12490249604052,7.833203948641057,5.814130531825066,335,7.53134328358209
82,The Last Sin Eater,2007,PG-13,13,117,Drama,Michael Landon Jr.,Louise Fletcher; Henry Thomas; Liana Liberato; Soren Fulton,Appalachia 1850 A generation ago a group of Welshmen came across the ocean to build a new existence and with them they brought their own traditions and rituals One of them is the sin eater a mysterious person forced to live in the woods and mountains only to come out when somebody dies He then pawns his own soul to take away the sins of the deceased 10 year old Cadi Forbes meets the sin eater for the first time at the funeral of her grandmother and is immediately intrigued Cadi is torn by guilt over the death of her little sister Elen and wants the sin eater to redeem her With the help of Fagen son of the ruthless village leader Brogen and the imaginary Lilybet she starts a search to find him but by doing so Cadi slowly but surely unravels dark and terrible secrets,English,USA,1 win,5.9,19,37,246483,Fox Faith Films,9-Feb-07,2007,2,30521,3,27,2,2200000,388390,The Bigger Picture,neutral,subjective,0.494590729,1,21014415,-1811610,9159624,9575722,5919330,9899276,-1811610,-1811610,12.869765268414922,623.2094351018765,3.295836866004329,0.6931471805599453,2,13.5
83,Idiocracy,2006,R,17,84,Adventure; Comedy; Sci-Fi,Mike Judge,Luke Wilson; Maya Rudolph; Dax Shepard; Terry Crews,Officer Collins has been spearheading one of the US Armys most secretive experiments to date: the Human Hibernation Project If successful the project would store its subjects indefinitely until they are needed most Their first test subject - Joe Bauers - was not chosen for his superiority Instead hes chosen because hes the most average guy in the armed services But scandal erupts after the experiment takes place the base is closed and the president disavows any knowledge of the project Unfortunately Joe doesnt wake up in a year he wakes up in 500 years! But during that time human evolution has taken a dramatic down turn After waking up Joe takes a prison-assigned IQ test and finds that hes the smartest guy alive! Awaiting a full presidential pardon if he can solve one of the countrys biggest problems - the dwindling plant population Joe races against time to solve this problem But in doing so he alienates half the country in the process! Can he make things right and escape a rather bizarre execution?,English,USA,1 nomination,6.6,76,66,313505,20th Century Fox,1-Sep-06,2006,9,679386,176,899,32,2400000,444093,Fox,neutral,subjective,0.493069321,1,79478632,433625,9159624,9575722,27518622,8133748,12579404,13031627,13.003789278940252,666.4030312055911,6.80128303447162,3.4657359027997265,32,28.09375
84,Life After Beth,2014,R,17,89,Comedy; Horror; Romance,Jeff Baena,Aubrey Plaza; Dane DeHaan; John C. Reilly; Molly Shannon,A hike alone in the woods ends tragically for Beth Slocum with a fatal snake bite Her death leaves her parents and boyfriend Zach reeling After the funeral Zach tries to make friends with Mr and Mrs Slocum but even they reject him and hes determined to figure out why Then he sees Beth Her parents are trying to keep her resurrection a secret but zombie Beth provides Zach with the opportunity to do everything with her that he didnt get to do while she was still alive But with Beths increasingly erratic behavior and even more strange occurrences around town life with the undead Beth proves to be particularly complicated for her still-living loved ones,English,USA,6 nominations,5.6,42,50,NA,A24 Films,15-Aug-14,2014,8,743455,186,1630,184,2400000,88273,A24,neutral,subjective,0.912550211,1,-23291312,-2311727,9159624,9575722,40274519,8133748,5439370,5080916,11.388189564068671,297.1077245714086,7.396335293800808,5.214935757608986,184,8.858695652173912
85,Religulous,2008,R,17,101,Documentary; Comedy; War,Larry Charles,Bill Maher; Tal Bachman; Jonathan Boulden; Steve Burg,Bill Maher interviews some of religions oddest adherents Muslims Jews and Christians of many kinds pass before his jaundiced eye Maher goes to a Creationist Museum in Kentucky which shows that dinosaurs and people lived at the same time 5000 years ago He talks to truckers at a Truckers Chapel (Sign outside: Jesus love you) He goes to a theme park called Holy Land in Florida He speaks to a rabbi in league with Holocaust deniers He talks to a Muslim musician who preaches hatred of Jews Maher finds the unlikeliest of believers and in a certain Vatican priest he even finds an unlikely skeptic,English; Hebrew; Arabic; Persian; Spanish,USA,2 wins & 1 nomination,7.7,69,56,12995673,Lionsgate Films,3-Oct-08,2008,10,516829,774,1824,162,2500000,13011160,Lionsgate,neutral,subjective,0.599781811,1,42044640,10511160,42121704,9575722,14998353,8133748,17163082,10358090,16.381318008696912,3607.09855701227,7.508787170634276,5.087596335232384,162,11.25925925925926
86,A Haunted House,2013,R,17,86,Comedy; Fantasy,Michael Tiddes,Marlon Wayans; Marlene Forte; Essence Atkins; David Koechner,In October 2012 a video footage is found at the home of Malcolm Johnson and the recordings are still unexplained Past this prologue a story in flashback form unfolds During the summer of 2012 Malcolm and Kisha move in together and start a happy life One night Kisha notices a few unexplained phenomena that convince her their house is haunted by ghosts To allay her fears Malcom hires a camera crew to film inside the house day and night A few nights later Malcom and Keisha have sex on camera despite Keishas protests at being filmed Upon reviewing the sex tape the next day Malcom and Keisha notice a few paranormal phenomena caught on tape Malcom wants to sell the house but the housing market is slow Therefore Malcom decides to hire a psychic to come to the house and investigate After Kisha confesses to making a deal with the devil for a pair of shoes things start to make sense but it doesnt solve the problems caused by the paranormal phenomena,English; Spanish,USA,1 win & 1 nomination,5.1,10,20,32536865,Open Road Films,11-Jan-13,2013,1,3172300,642,4704,173,2500000,40041683,Open Road Films,neutral,subjective,0.476321757,1,111497230,22114311,15035100,9575722,10856017,8133748,-1515354,-590462,17.505431544494968,6327.849792781115,8.456168489578463,5.153291594497779,173,27.190751445086704
87,Kevin Hart: Let Me Explain,2013,R,17,75,Documentary; Comedy,Leslie Small; Tim Story,Kevin Hart; Harry Ratchford; Will 'Spank' Horton; Joey Wells,Filmed at a sold-out performance at Madison Square Garden comedian Kevin Hart delivers material from his 2012 Let Me Explain concert tour,English,USA,1 win & 1 nomination,6.8,61,53,322e5,Summit Entertainment,3-Jul-13,2013,7,91138,20,248,8,2500000,32244051,Lionsgate/Summit,positive,subjective,0.770453513,1,132073647,64794809,9159624,9575722,17609568,8133748,11176802,11630608,17.288844119073996,5678.384541399077,5.5134287461649825,2.0794415416798357,8,31
88,The Spectacular Now,2013,R,17,95,Comedy; Drama; Romance,James Ponsoldt,Miles Teller; Shailene Woodley; Brie Larson; Masam Holden,Sutter Keely lives in the now Its a good place for him A high school senior charming and self-possessed hes the life of the party loves his job at a mens clothing store and has no plans for the future A budding alcoholic hes never far from his supersized whiskey-fortified thirst-master cup But after being dumped by his girlfriend Sutter gets drunk and wakes up on a lawn with Aimee Finecky hovering over him Shes different: the nice girl who reads science fiction and doesnt have a boyfriend While Aimee has dreams of a future Sutter lives in the impressive delusion of a spectacular now yet somehow theyre drawn together,English,USA,10 wins & 31 nominations,7.1,92,82,NA,A24 Films,2-Aug-13,2013,8,15950601,4373,65392,1019,2500000,6854611,A24,positive,subjective,0.973478794,1,31510212,-4442746,9159624,9575722,27926409,8133748,5439370,5080916,15.740432122468313,2618.131203740561,11.088155205804059,6.926577033222725,1019,64.17271835132483
89,Adventures of Power,2008,PG-13,13,89,Comedy; Music,Ari Gold,Ari Gold; Michael McKean; Jane Lynch; Shoshannah Stern,ADVENTURES OF POWER is an epic comedy about a mine-worker named Power whose love of drums and lack of musical skill has turned him into the ridiculed air drummer of his small town But when Powers union-leader father calls a strike at the mine Power discovers an underground subculture of air-drummers who just might hold the key to changing the world Powers journey across America brings him face-to-face with his towns greatest enemy and allows him to discover the beat within his own heart,English,USA,3 wins,6.4,32,39,NA,Variance Films,9-Oct-09,2009,10,118751,17,158,80,2500000,17419,Variance Films,positive,subjective,0.94721359,1,-9974545,-2482581,9159624,9575722,25328818,9899276,-2482581,-2482581,9.765316843477462,131.98105924715108,5.062595033026967,4.382026634673881,80,1.975
90,Hell Baby,2013,R,17,98,Comedy; Horror,Robert Ben Garant; Thomas Lennon,Rob Corddry; Leslie Bibb; Alex Berg; Keegan-Michael Key,An expectant couple who moves into the most haunted house in New Orleans call upon the services of the Vaticans elite exorcism team to save them from a demonic baby,English,USA,NA,4.8,31,41,4980,Millennium Entertainment,6-Sep-13,2013,9,3965708,591,21239,1570,2500000,8785,Millennium Ent.,neutral,subjective,0.689267874,1,6908103,206647,9159624,9575722,29505056,8133748,-4486622,-6316645,9.080801000621198,93.72833082905083,9.963594393268247,7.358830898342354,1570,13.528025477707006
91,Freakonomics,2010,PG-13,13,85,Documentary,Heidi Ewing; Alex Gibney; Seth Gordon; Rachel Grady; Eugene Jarecki; Morgan Spurlock,James Ransone; Tempestt Bledsoe; Morgan Spurlock; Melvin Van Peebles,The field of economics can study more than the workings of economies or businesses it can also help explore human behavior in how it reacts to incentives Economist Steven D Levitt and journalist Stephen J Dubner host an anthology of documentaries that examines how people react to opportunities to gain wittingly or otherwise The subjects include the possible role a persons name has for their success in life why there is so much cheating in an honor bound sport like sumo wrestling what helped reduce crime in the USA in the 1990s onward and we follow an school experiment to see if cash prizes can encourage struggling students to improve academically,English,USA,1 nomination,6.4,66,58,67674,Magnolia Releasing,1-Oct-10,2010,10,8717,1,7,0,2900000,101270,Magnolia,neutral,subjective,0.573074102,1,710094,28961479,9159624,9575722,6371952,9899276,-2798730,-4333005,11.52554549632633,318.2294769502033,1.9459101490553132,-Inf,1,7
92,No One Lives,2012,R,17,86,Horror; Thriller,Ryûhei Kitamura,Luke Evans; Adelaide Clemens; Lee Tergesen; Derek Magyar,A gang of ruthless highway killers kidnap a wealthy couple traveling cross country only to shockingly discover that things are not what they seem,English,USA; UK,1 nomination,6,47,26,53929,Anchor Bay Entertainment,10-May-13,2013,5,743265,303,950,64,2900000,74918,Anchor Bay Films,negative,subjective,0.594850898,1,-11466758,-2825082,9159624,12012154,29138638,8133748,-8608467,-8139904,11.224149461060218,273.71152697685204,6.856461984594587,4.1588830833596715,64,14.84375
93,Waiting...,2005,R,17,94,Comedy,Rob McKittrick,Ryan Reynolds; Anna Faris; Justin Long; David Koechner,Its the dinner shift at Shenanigans Dan the clueless boss assigns Mitch 22 a trainee to Monty the smooth talker who chases girls for one-night stands Dean a waiter also 22 feels that life is passing him by Dan offers him the assistant manager job and gives him until midnight to decide Other waiters cooks and bus boys have their issues and personalities Bishop the dishwasher is their counselor During this shift Monty may learn something Dean makes his decision Dan makes a play for the not-yet-18 hostess customers get their comeuppance the guys all play the in-house homophobic flashing game the gals demonstrate why they wont and Mitch gets the last word,English; German,USA,NA,6.8,31,30,16101109,Lionsgate,7-Oct-05,2005,10,1460519,420,1733,113,3000000,16124543,Lionsgate,negative,subjective,0.382801145,1,96439018,13124543,13196632,9575722,11237616,8133748,8496685,10358090,16.595853079159223,4015.5376974945707,7.457609289715606,4.727387818712341,113,15.336283185840708
94,Letters to God,2010,PG,7,110,Drama; Family,David Nixon; Patrick Doughtie(co-director),Lisa Curtis; Christopher Schmidt; Lyanna Tumaneng; Tanner Maguire,A young boy fighting cancer writes letters to God touching lives in his neighborhood and community and inspiring hope among everyone he comes in contact An unsuspecting substitute postman with a troubled life of his own becomes entangled in the boys journey and his family by reading the letters They inspire him to seek a better life for himself and his own son hes lost through his alcohol addiction,English; Italian,USA,1 nomination,6.3,25,31,1121e3,Vivendi Entertainment,9-Apr-10,2010,4,849001,365,2009,100,3000000,2848578,Vivendi Entertainment,positive,subjective,0.715251505,1,-605688,-302844,13769248,9575722,24293791,12706625,-8750072,-8750072,14.862330480360754,1687.7730890140417,7.605392364814935,4.605170185988092,100,20.09
95,Paranormal Activity 2,2010,R,17,91,Horror,Tod Williams,David Bierend; Brian Boland; Molly Ephraim; Katie Featherston,Daniel Rey along with his wife Kristi daughter Ali toddler son Hunter and their dog move to Carlsbad California A few days later their residence is broken into however nothing appears to be missing In order to prevent re-occurrences they install a number of security cameras that will record everything on a DVR After they hire a Spanish-speaking nanny to look after Hunter she informs them that there is something wrong in their house and performs prayers much to the chagrin of Daniel who lets her go He will subsequently regret this decision as more inexplicable and strange incidents occur with Ali concluding after a research that their house may be possessed by a demonic entity,English; Spanish,USA,1 win & 2 nominations,5.7,58,53,84747727,Paramount Pictures,22-Oct-10,2010,10,18634384,7234,11263,1795,3000000,84752907,Paramount,neutral,subjective,0.949594736,1,310585342,81752907,15035100,9575722,18267440,8133748,22280237,20132369,18.255250604521528,9206.13420497442,9.329278296047697,7.492760300922379,1795,6.274651810584958
96,Please Give,2010,R,17,87,Comedy; Drama,Nicole Holofcener,Rebecca Hall; Elizabeth Keener; Elise Ivy; Catherine Keener,Two families sort of neighbors in Manhattan cross paths as they navigate marriage parenthood of a teen ennui a first date and end-of-life care Rebecca and Mary are sisters their cranky 91-year-old grandmothers neighbors Kateand Alex run an upscale retro-furniture business and will expand into her flat after she dies Rebecca is quiet without a boyfriend until a patient at the clinic where she works introduces her grandson Mary is acerbic stung by a recent breakup Kate looks for meaning in her life wondering if she should volunteer Alex too is at loose ends Their daughter Abby has zits and teenage moods What does it mean to be good?,English,USA,5 wins & 17 nominations,6.6,86,78,4033268,Sony Pictures Classics,30-Apr-10,2010,4,503002,39,214,23,3000000,4033574,Sony Classics,negative,subjective,0.588895559,1,36336549,5817627,9159624,9575722,17156946,8133748,-1688477,-1096370,15.210163389540199,2008.375960820085,5.365976015021851,3.1354942159291497,23,9.304347826086957
97,Sinister,2012,R,17,110,Horror; Mystery; Thriller,Scott Derrickson,Ethan Hawke; Juliet Rylance; Fred Dalton Thompson; James Ransone,True-crime writer Ellison Oswalt moves himself and his family into a house where a horrific crime took place earlier but his family doesnt know He begins researching the crime so that he can write a new book about it to help his flailing career He uses some snuff film footage he finds in the house to help him in his research but he soon finds more than he bargained for There is a figure in each of the films but who or what is it? As a result his family start to suffer (as does he) and things take a turn for the worse Will they survive?,English,USA; UK,3 wins & 13 nominations,6.8,63,53,481e5,Lionsgate Films,12-Oct-12,2012,10,2397088,701,5703,303,3000000,48086903,Lionsgate/Summit,negative,subjective,0.873912394,1,124708975,50579678,9159624,12012154,42232052,8133748,17163082,11630608,17.688520411096892,6934.472077959504,8.648747631156539,5.713732805509369,303,18.821782178217823
