title,year,rated,released,runtime,genres,director,actors,plot,languages,country,awards,imdbRating,rottenTomatoesRating,metaCriticRating,metascore,rating,type,boxoffice,production
Gridiron Gang,2006,PG-13,Fri Sep 15 2006 00:00:00 GMT-0400 (EDT),125 min,Crime; Drama; Sport,Phil Joanou,Dwayne Johnson; Xzibit; L. Scott Caldwell; Leon Rippy,In the Kilpatrick juvenile detention center the supervisor and former football player Sean Porter sees the lack of discipline self-esteem union and perspective in the teenage interns and proposes to prepare a football team to play in one league He is supported by his superiors and his successful experience changes the lives of many young kids,English,USA,N/A,6.9/10,43%,52/100,52,6.9,movie,"$38,432,823",Sony Pictures
Just My Luck,2006,PG-13,Fri May 12 2006 00:00:00 GMT-0400 (EDT),103 min,Comedy; Fantasy; Romance,Donald Petrie,Lindsay Lohan; Chris Pine; Samaire Armstrong; Bree Turner,In Manhattan Ashley Albright is a lucky woman and very successful in the agency where she works The clumsy Jake Hardin is an unlucky aspirant manager of the rock band McFly who is unsuccessfully trying to contact the entrepreneur Damon Phillips to promote his band When Ashley meets Jake in a masquerade party they kiss each other swapping her fortune with his bad luck,English,USA,7 nominations,5.4/10,14%,29/100,29,5.4,movie,"$17,229,124",20th Century Fox
Last Holiday,2006,PG-13,Fri Jan 13 2006 00:00:00 GMT-0500 (EST),112 min,Comedy,Wayne Wang,Queen Latifah; LL Cool J; Timothy Hutton; Giancarlo Esposito,In morte veritas Georgia Byrd clerks at a New Orleans department store She defers pleasure: cooks gourmet meals eats Lean Cuisine likes a co-worker in silence has savings but hasnt left Louisiana All that changes when a CT Scan discloses she has three weeks to live She cashes her savings and heads to Europes Grandhotel Pupp where Chef Didier presides She checks into the Presidential Suite orders everything on the menu snowboards and comes to the attention of the chef and the hotels powerful American guests: a Congressman a Senator a retail magnate and his mistress She has nothing to lose so she tells them what she thinks Will the truth set them free?,English; French,USA,7 nominations,6.4/10,55%,52/100,52,6.4,movie,"$38,360,195",Paramount Pictures
Material Girls,2006,PG,Fri Aug 18 2006 00:00:00 GMT-0400 (EDT),98 min,Comedy; Family; Romance,Martha Coolidge,Hilary Duff; Haylie Duff; Maria Conchita Alonso; Anjelica Huston,The silver spoon daughters of the late cosmetics empire founder Victor Marchetta Avan and Tanzie never even took an interest in the business happy to let it be run by their and the firms administrator Tommy Katzenbach while they lead socialite lives aiming at a marriage with soap star Mic Rionn Suddenly a scandal wrecks the firms stock and their family reputation Their credit cards are canceled one of them torches the mansion the other hands their sports-car to a thief mistaken for a parking valet So they end up living with their Latina former cleaning lady Help to investigate whether the firm is really best sold to competitor Fabiella as Tommy claims comes from hunky lab technician Rick whom the previously mistook for the inexistent firm parking lot attendant and Henry Baines whose free law for the poor charity they didnt even consider for sponsoring,English,USA,1 win & 4 nominations,3.9/10,4%,17/100,17,3.9,movie,"$11,337,251",MGM/UA
Hoot,2006,PG,Fri May 05 2006 00:00:00 GMT-0400 (EDT),91 min,Adventure; Comedy; Family,Wil Shriner,Luke Wilson; Logan Lerman; Brie Larson; Tim Blake Nelson,The story of a young man moves from Montana to Florida with his family where hes compelled to engage in a fight to protect a population of endangered owls and that a tough girl at his school named Beatrice has some connection with the barefoot boy who has some connection with vandalism at the construction site When they realize that a population of endangered burrowing owls is threatened by new construction the kids decide to take on crooked politicians and bumbling cops in the hope of saving their new friends,English,USA,1 win & 5 nominations,5.6/10,26%,46/100,46,5.6,movie,"$8,080,116",New Line Cinema
Mission: Impossible III,2006,PG-13,Fri May 05 2006 00:00:00 GMT-0400 (EDT),126 min,Action; Adventure; Thriller,J.J. Abrams,Tom Cruise; Philip Seymour Hoffman; Ving Rhames; Billy Crudup,A man named Owen Davian kills an IMF agent that was sent undercover by the legendary Ethan Hunt who has retired from combat missions Hunt now has a fiancé Julia who believes that he works for the traffic department when he really trains younger IMF agents to go into combat He is assigned to his last mission His mission should he choose to accept it is to capture Davian who is selling a toxic weapon called the rabbits foot But Davian is reckless cruel and deathly He promises Hunt that he will find Julia hurt her and Ethan will be too dead to help her The mission is no more different to others its dangerous smart and impossible but now its personal,English; Italian; Mandarin; Cantonese; German; Czech,USA; Germany; China; Italy,7 wins & 14 nominations,6.9/10,70%,66/100,66,6.9,movie,"$133,400,000",Paramount Pictures
Man of the Year,2006,PG-13,Fri Oct 13 2006 00:00:00 GMT-0400 (EDT),115 min,Comedy; Drama; Romance,Barry Levinson,Robin Williams; Christopher Walken; Laura Linney; Lewis Black,Tom Dobbs comedic host of a political talk show - a la Bill Maher and Jon Stewart - runs for President of the US as an independent candidate who after an issues-oriented campaign and an explosive performance in the final debate gets just enough votes to win Trouble is he owes his victory to a computer glitch in the national touch-screen voting system marketed by Delacroy a private company with a rising stock price To protect their fortune Delacroy executives want to keep the glitch a secret but one programmer Eleanor Green wants Dobbs to know the truth Can she get to him?,English,USA,1 nomination,6.2/10,21%,39/100,39,6.2,movie,"$37,442,180",Universal Pictures
John Tucker Must Die,2006,PG-13,Fri Jul 28 2006 00:00:00 GMT-0400 (EDT),89 min,Comedy; Romance,Betty Thomas,Jesse Metcalfe; Brittany Snow; Ashanti; Sophia Bush,Kate (Brittany Snow) is the new girl in school She catches John Tucker (Jesse Metcalfe) dating three different girls at once: Carrie - the smart girl Heather - the cheerleader and Beth - the activist slut none of them are aware that they are not the only girl in Johns heart Kate having been raised by a single mother has seen the pain caused by playboys like John Tucker and she wont stand idly by Together with the three jilted ex-girlfriends they hatch a plan to teach John a lesson Things rarely go as planned especially when Kate starts to think that she might be falling for John herself,English; Japanese,USA; Canada,2 wins & 2 nominations,5.8/10,27%,41/100,41,5.8,movie,"$40,922,134",20th Century Fox
My Super Ex-Girlfriend,2006,PG-13,Fri Jul 21 2006 00:00:00 GMT-0400 (EDT),96 min,Comedy; Romance; Sci-Fi,Ivan Reitman,Uma Thurman; Luke Wilson; Anna Faris; Rainn Wilson,In New York when the shy and lonely project manager of a design firm Matt Saunders meets Jenny Johnson in the subway he invites her to date and have dinner with him Jenny immediately falls in love for him they have sex and she discloses her true identity to him telling that she is the powerful superhero G-Girl After meeting his co-worker and friend Hannah Lewis the needy Jenny becomes jealous controlling and manipulative and Matt follows the advice of his best friend Vaughn Haige and dumps her breaking her heart Jenny turns Matts life into hell while he has a romance with Hannah However the archenemy of G-Girl and former high school sweetheart of Jenny Professor Bedlam proposes Matt to lure Jenny to strip her superpowers,English,USA,1 win & 1 nomination,5.1/10,40%,50/100,50,5.1,movie,"$22,432,518",20th Century Fox
How to Eat Fried Worms,2006,PG,Fri Aug 25 2006 00:00:00 GMT-0400 (EDT),84 min,Comedy; Family,Bob Dolman,Luke Benward; Hallie Kate Eisenberg; Adam Hicks; Austin Rogers,The Forrester family - father Mitch Forrester mother Helen Forrester their pre-teen son Billy Forrester and their pre-school son Woody Forrester - have just moved to a new town where Mitch is starting a new job Both Mitch and Billy are worried about fitting into their new environment Its worse for Billy as Woody who is not worried about the move is at that stage in his life where everything is simple and easy Billys first day in the fifth grade at his new school does not go well when he gets into an altercation with the class bullies led by Joe Guire The altercation involves worms and Billy stating that he eats worms all the time which leads to all the bullies calling him Wormboy As such Joe bets Billy that he cant eat ten worms (without vomiting) the bet to take place this upcoming Saturday with the last worm to be consumed by 7pm Despite having a notoriously weak stomach Billy takes him up on the bet As the bet starts the only classmate on Billys side is Erika Tansy a girl with a mind of her own All the other boys follow Joe if only out of fear especially as legend has it that the ring that Joe wears contains poison which will lead to a slow death if injected The boys get into one misadventure after another as they try to find different places and increasingly disgusting ways to cook the worms before Billy consumes them But by the end of the day they all learn that there is strength in numbers in dealing with fear,English,USA,1 win & 2 nominations,5.4/10,59%,56/100,56,5.4,movie,"$13,022,756",New Line Cinema
Miami Vice,2006,R,Fri Jul 28 2006 00:00:00 GMT-0400 (EDT),134 min,Action; Crime; Thriller,Michael Mann,Colin Farrell; Jamie Foxx; Li Gong; Naomie Harris,Ricardo Tubbs is urbane and dead smart He lives with Bronx-born Intel analyst Trudy as they work undercover transporting drug loads into South Florida to identify a group responsible for three murders Sonny Crockett [to the untrained eye his presentation may seem unorthodox but procedurally he is sound] is charismatic and flirtatious until - while undercover working with the supplier of the South Florida group - he gets romantically entangled with Isabella the Chinese-Cuban wife of an arms and drugs trafficker The best undercover identity is oneself with the volume turned up and restraint unplugged The intensity of the case pushes Crockett and Tubbs out onto the edge where identity and fabrication become blurred where cop and player become one - especially for Crockett in his romance with Isabella and for Tubbs in the provocation of an assault on those he loves,English; Spanish,USA; Germany; Paraguay; Uruguay,1 win & 9 nominations,6.0/10,47%,65/100,65,6,movie,"$63,400,000",Universal Pictures
Open Season,2006,PG,Fri Sep 29 2006 00:00:00 GMT-0400 (EDT),86 min,Animation; Adventure; Comedy,Roger Allers; Jill Culton; Anthony Stacchi(co-director),Martin Lawrence; Ashton Kutcher; Gary Sinise; Debra Messing,A happily domesticated grizzly bear named Boog has his perfect world turned upside down after he meets Elliot a scrawny fast-talking one-horned wild mule deer They both end up stranded together in the woods during hunting season and its up to the duo to rally all the other forest animals and turn the tables on the hunters,English,USA,1 win & 9 nominations,6.2/10,48%,49/100,49,6.2,movie,"$84,300,000",Sony Pictures
Night at the Museum,2006,PG,Fri Dec 22 2006 00:00:00 GMT-0500 (EST),108 min,Adventure; Comedy; Family,Shawn Levy,Ben Stiller; Carla Gugino; Dick Van Dyke; Mickey Rooney,In New York unemployed and divorced Larry Daley is a complete loser His son Nick is very disappointed with his father who is going to be evicted Larry accepts the job of night watchman in the Museum of Natural History and takes the place of three old security guards that have just retired in order to raise some money and pay his bills On his first shift Larry soon realizes that everything at the museum is not as it seems as the statues begin to come to life after the sun sets The Museum transforms into complete chaos with the inexperienced Larry in charge as he learns that an old Egyptian stone that came to the Museum in 1950 brings these statues to life until dawn When Larry brings his son to spend a night with him the three old guards break into the Museum to try to steal the magical stone Larry organizes all the historic characters to help him stop the criminals and save the museum,English; Italian; Hebrew,USA; UK,2 wins & 8 nominations,6.4/10,43%,48/100,48,6.4,movie,"$249,300,000",20th Century Fox
One Night with the King,2006,PG,Fri Oct 13 2006 00:00:00 GMT-0400 (EDT),123 min,Biography; Drama; History,Michael O. Sajbel,Tiffany Dupont; Luke Goss; John Noble; Omar Sharif,The young Jewish girl Hadassah goes on to become the Biblical Esther the Queen of Persia who saves the Jewish nation from annihilation at the hands of its archenemy,English,USA,2 wins,6.3/10,19%,38/100,38,6.3,movie,"$13,391,174",Gener8Xion Entertainment
Madea's Family Reunion,2006,PG-13,Fri Feb 24 2006 00:00:00 GMT-0500 (EST),107 min,Comedy; Drama; Romance,Tyler Perry,Tyler Perry; Blair Underwood; Lynn Whitfield; Boris Kodjoe,While planning her family reunion a pistol-packing grandma must contend with the other dramas on her plate including the runaway who has been placed under her care and her love-troubled nieces,English; Spanish,USA,7 nominations,5.1/10,25%,45/100,45,5.1,movie,"$63,200,000",Lionsgate
Over the Hedge,2006,PG,Fri May 19 2006 00:00:00 GMT-0400 (EDT),83 min,Animation; Adventure; Comedy,Tim Johnson; Karey Kirkpatrick,Bruce Willis; Garry Shandling; Steve Carell; Wanda Sykes,RJ a raccoon who needs food accidentally takes food from a hungry bear named Vincent and he wants his food to be found in exactly the same place in a week He finally finds that an animal family with a tortoise named Verne as their leader could help him restore the food from the suburbia the gateway to the good life But little does RJ know there is a woman who has recently hired an exterminator to try to hunt them down,English,USA,6 wins & 20 nominations,6.7/10,75%,67/100,67,6.7,movie,"$155,019,340",Dreamworks
Pan's Labyrinth,2006,R,Fri Jan 19 2007 00:00:00 GMT-0500 (EST),118 min,Drama; Fantasy; War,Guillermo del Toro,Ivana Baquero; Sergi López; Maribel Verdú; Doug Jones,In 1944 falangist Spain a girl fascinated with fairy-tales is sent along with her pregnant mother to live with her new stepfather a ruthless captain of the Spanish army During the night she meets a fairy who takes her to an old faun in the center of the labyrinth He tells her shes a princess but must prove her royalty by surviving three gruesome tasks If she fails she will never prove herself to be the the true princess and will never see her real father the king again,Spanish,Spain; Mexico; USA,Won 3 Oscars Another 99 wins & 105 nominations,8.2/10,95%,98/100,98,8.2,movie,"$37,500,000",Picturehouse
Phat Girlz,2006,PG-13,Fri Apr 07 2006 00:00:00 GMT-0400 (EDT),99 min,Comedy,Nnegest Likké,Mo'Nique; Jimmy Jean-Louis; Godfrey; Kendra C. Johnson,Two plus-sized ladies meet the men of their dreams in the most unexpected of ways,English,USA,N/A,3.0/10,23%,36/100,36,3,movie,"$6,922,865",Fox Searchlight
Monster House,2006,PG,Fri Jul 21 2006 00:00:00 GMT-0400 (EDT),91 min,Animation; Adventure; Comedy,Gil Kenan,Ryan Newman; Steve Buscemi; Mitchel Musso; Catherine O'Hara,The teenage DJ is observing his neighbor Nebbercracker on the other side of their street in the suburb that destroys tricycles of children that trespass his lawn When DJs parents travel on the eve of Halloween and the abusive nanny Zee stays with him he calls his clumsy best friend Chowder to play basketball But when the ball falls in Nebbercrackers lawn the old man has a siege and soon they find that the house is a monster Later the boys rescue the smart Jenny from the house and the trio unsuccessfully tries to convince the babysitter her boyfriend Bones and two police officers that the haunted house is a monster but nobody believes them The teenagers ask their video-game addicted acquaintance Skull how to destroy the house and they disclose its secret on the Halloween night,English,USA,Nominated for 1 Oscar Another 4 wins & 22 nominations,6.6/10,74%,68/100,68,6.6,movie,"$73,661,010",Sony Pictures Releasing
Rocky Balboa,2006,PG,Wed Dec 20 2006 00:00:00 GMT-0500 (EST),102 min,Drama; Sport,Sylvester Stallone,Sylvester Stallone; Burt Young; Antonio Tarver; Geraldine Hughes,When he loses a highly publicized virtual boxing match to ex-champ Rocky Balboa reigning heavyweight titleholder Mason Dixon retaliates by challenging the Itallian Stallion to a nationally televised 10-round exhibition bout To the surprise of his son and friends Rocky agrees to come out of retirement and face an opponent whos faster stronger and thirty years his junior With the odds stacked firmly against him Rocky takes on Dixon in what will become the greatest fight in boxing history a hard-hitting action-packed battle of the ages,English; Spanish,USA,3 nominations,7.2/10,76%,63/100,63,7.2,movie,"$70,147,850",MGM
Notes on a Scandal,2006,R,Fri Jan 26 2007 00:00:00 GMT-0500 (EST),92 min,Crime; Drama; Romance,Richard Eyre,Judi Dench; Cate Blanchett; Tom Georgeson; Michael Maloney,The bitter cynical and lonely Barbara Covett is a tough and conservative teacher near to retirement who is loathed by her colleagues and students In the loneliness of her apartment she spends her spare time writing her journal taking care of her old cat Portia and missing her special friend Jennifer Dodd When Sheba Hart joins the high-school as the new art teacher Barbara dedicates her attention to the newcomer writing sharp and unpleasant comments about her behavior and clothes When Barbara helps Sheba in a difficult situation with two students the grateful Sheba invites her to have lunch with her family Sheba introduces her husband and former professor Richard Hart who is about twenty years older than she her rebellious teenager daughter Polly and her son Ben that has Downs Syndrome Barbara becomes close to Sheba but when she accidentally discovers that Sheba is having an affair with the fifteen year-old student Steven Connolly Barbara sees the chance to manipulate and get closer to Sheba hiding the secret from the school headmaster When Portia dies and Sheba does not stay with Barbara in the veterinary office to see Ben in a theater play Barbara plots a Machiavellian revenge against Sheba creating a scandal and consequent turmoil in their lives,English; French,UK,Nominated for 4 Oscars Another 15 wins & 68 nominations,7.4/10,87%,73/100,73,7.4,movie,"$17,400,000",Fox Searchlight Pictures
School for Scoundrels,2006,PG-13,Fri Sep 29 2006 00:00:00 GMT-0400 (EDT),100 min,Comedy,Todd Phillips,Billy Bob Thornton; Jon Heder; Jacinda Barrett; Michael Clarke Duncan,An unlucky meter reader enrolls in a confidence-building class so he can win the love of the girl of his dreams The class turns out to be something quite different when it becomes clear to the young man that his professor has his sights set on the same girl,English,USA,2 nominations,5.9/10,25%,44/100,44,5.9,movie,"$17,787,157",MGM
Silent Hill,2006,R,Fri Apr 21 2006 00:00:00 GMT-0400 (EDT),125 min,Adventure; Horror; Mystery,Christophe Gans,Radha Mitchell; Sean Bean; Laurie Holden; Deborah Kara Unger,Sharon Da Silva wakes up every night screaming about silent hill Pursued by a police officer suspicious of her motives and swerving to avoid another child her adoptive mother crashes the car knocking herself unconscious When Rose Da Silva awakens to find her adopted child is missing she searches the fog and ash blanketed town for her beloved daughter,English,Canada; France; Japan; USA,8 nominations,6.6/10,29%,31/100,31,6.6,movie,"$46,982,632",Sony Pictures
Scoop,2006,PG-13,Fri Jul 28 2006 00:00:00 GMT-0400 (EDT),96 min,Comedy; Crime; Mystery,Woody Allen,Jim Dunk; Robert Bathurst; Geoff Bell; Christopher Fulford,In the funeral of the famous British journalist Joe Strombel his colleagues and friends recall how obstinate he was while seeking for a scoop Meanwhile the deceased Joe discloses the identity of the tarot card serial killer of London He cheats the Reaper and appears to the American student of journalism Sondra Pransky who is on the stage in the middle of a magic show of the magician Sidney Waterman in London and tells her that the murderer is the aristocrat Peter Lyman Sondra drags Sid in her investigation seeking for evidences that Peter is the killer However she falls in love with him and questions if Joe Strombel is right in his scoop,English,UK; USA,1 nomination,6.7/10,40%,48/100,48,6.7,movie,"$10,467,056",Focus Features
Saw III,2006,R,Fri Oct 27 2006 00:00:00 GMT-0400 (EDT),108 min,Horror,Darren Lynn Bousman,Tobin Bell; Shawnee Smith; Angus Macfadyen; Bahar Soomekh,Jeff is an anguished man who grieves and misses his young son that was killed by a driver in a car accident He has become obsessed for revenge against the man and reckless with his wife and daughter When Dr Lynn Denlon who has troubles with her marriage is abducted by the deranged Jigsaws apprentice Amanda she is brought to a gruesome warehouse to keep John Kramer alive in spite of having a terminal brain tumor Amanda puts a necklace gadget full of explosives around Dr Lynns neck connected to John Kramers life support system and tells her that if he dies the device will explode Meanwhile Jeff is submitted to a sick game of forgiveness with surprising dark consequences,English,USA; Canada,1 win & 5 nominations,6.2/10,28%,48/100,48,6.2,movie,"$80,200,000",Lionsgate Films
Nacho Libre,2006,PG,Fri Jun 16 2006 00:00:00 GMT-0400 (EDT),92 min,Comedy; Family; Sport,Jared Hess,Jack Black; Ana de la Reguera; Héctor Jiménez; Darius Rose,Nacho (Black) is a monastery cook who spends his day feeding orphans and being overlooked by the monastery When Sister Encarnación (Reguera) arrive at the monastery Nacho realises that the only way to win her affection and to save the children will be by competing as a Luchador wrestler,English; Spanish,Germany; USA,1 win & 11 nominations,5.7/10,40%,52/100,52,5.7,movie,"$80,200,000",Paramount Pictures
Running Scared,2006,R,Fri Feb 24 2006 00:00:00 GMT-0500 (EST),122 min,Action; Crime; Drama,Wayne Kramer,Paul Walker; Cameron Bright; Vera Farmiga; Chazz Palminteri,After a drug-op gone bad Joey Gazelle is put in charge of disposing the gun that shot a dirty cop But things go wrong for Joey after a neighbor kid stole the gun and used it to shoot his abusive father Now Joey has to find that kid and the gun before the police and the mob do,English; Russian; Spanish,Germany; USA,4 nominations,7.4/10,41%,41/100,41,7.4,movie,"$6,651,790",New Line Cinema
Dirty Sanchez: The Movie,2006,R,Fri Sep 22 2006 00:00:00 GMT-0400 (EDT),94 min,Documentary; Action; Comedy,Jim Hickey,Matthew Pritchard; Lee Dainton; Mike Locke; Dan Joyce,The Welsh nutters Dirty Sanchez are making a movie: The concept of the film is that the Devil has heard about the dare-devil nature of the Sanchez boys so hes set them the ultimate challenge to complete stunts based on the 7 Deadly Sins or be damned to the gutter forever In order to regain their status as hard-asses and crawl out of the gutter - the 7 deadly sins they must complete in seven exotic locations are: Sloth - UK >> Anger - Moscow Russia >> Lust - Bangkok Thailand >> Envy - Ko Phi Phi Thailand >> Pride - Tokyo Japan >> Gluttony - Mexico >> Greed - Dominican Republic And most interesting of all the film-makers have secured Lemmy to play the Devil and do the music Lemmy: If they (Dirty Sanchez boys) think theyre tough Wait till they meet me,English,UK,N/A,6.2/10,40%,N/A,N/A,6.2,movie,N/A,Vertigo Films
Poseidon,2006,PG-13,Fri May 12 2006 00:00:00 GMT-0400 (EDT),98 min,Action; Adventure; Drama,Wolfgang Petersen,Josh Lucas; Kurt Russell; Jacinda Barrett; Richard Dreyfuss,It is New Years Eve and over 2000 passengers & crew are ringing in the New Year aboard the huge cruise ship Poseidon when it capsizes on the open sea in the middle of the North Atlantic Ocean! A small group of survivors find themselves unlikely allies in a battle for their lives Preferring to test the odds alone career gambler Dylan Johns ignores captains orders to wait below for possible rescue and sets out to find his own way to safety What begins as a solo mission soon draws others as Dylan is followed by a desperate father searching for his daughter and her fiancée--a young couple who hours before couldnt summon the courage to tell him they were engaged and now face much graver challenges Along the way they are joined by a single mother and her wise-beyond-his-years son an anxious stowaway and a despondent fellow passenger who boarded the ship not sure he wanted to live but now knows he doesnt want to die Determined to fight their way to the surface the group sets off through the disorienting maze of twisted steel in the upside-down wreckage As the unstable vessel rapidly fills with water each must draw on skills and strengths they didnt even know they possessed fighting against time for their own survival and for each other,English; Spanish,USA,Nominated for 1 Oscar Another 6 nominations,5.6/10,33%,50/100,50,5.6,movie,"$60,600,000",Warner Bros. Pictures
Slither,2006,R,Fri Mar 31 2006 00:00:00 GMT-0500 (EST),95 min,Comedy; Horror; Sci-Fi,James Gunn,Don Thompson; Nathan Fillion; Gregg Henry; Xantha Radley,In this blend of the B movie classic The Blob (1958) and some Romeros zombies film a meteorite collides in a small town Grant finds it and is infected by a parasite worm which installs in his brain and causes him a creepy transformation into a monster Starla his wife and Bill a policeman will try to stop him and the plague of worms generated by the creature,English,Canada; USA,2 wins & 5 nominations,6.5/10,86%,69/100,69,6.5,movie,"$7,774,730",Universal Pictures
Stick It,2006,PG-13,Fri Apr 28 2006 00:00:00 GMT-0400 (EDT),103 min,Comedy; Drama; Sport,Jessica Bendinger,Jeff Bridges; Missy Peregrym; Vanessa Lengies; Nikki SooHoo,Haley Graham is a former gymnast-turned-juvenile delinquent who after one too many run-ins with the law is forced to enroll at an elite gymnastics academy the VGA in Houston Texas which is run by the legendary Olympic gymnast Burt Vickerman But the rebellious Haley is not welcomed into the academy by the other teenage gymnasts who despise her for walking out on her Junior Olympic team years earlier during a competition which cost them the gold medal But Haley is not a docile person either and makes every effort to provoke conflicts with the other girls Vickerman takes it upon himself to coach Haley in his own way to make her regain her self respect for the VGAs coming spot on the Gymnastic Nationals,English,Germany; USA,N/A,6.4/10,30%,53/100,53,6.4,movie,"$26,870,825",Buena Vista
RV,2006,PG,Fri Apr 28 2006 00:00:00 GMT-0400 (EDT),99 min,Adventure; Comedy; Family,Barry Sonnenfeld,Robin Williams; Cheryl Hines; Joanna 'JoJo' Levesque; Josh Hutcherson,The executive Bob Munro is stressed feeling threatened of losing his job and his lifestyle since his abusive boss Todd Mallory hired the Stanfords geek Laird to work in their sodas company Bob has promised his wife Jamie Munro his teenage daughter Cassie Munro and his young son Carl Munro to spend vacations in Hawaii but Todd demands him to prepare a presentation and attend a business meeting with the owners of a family company in a merging operation scheduled in the same period Bob hides the truth to his family rents a recreational vehicle and tries to convince his dysfunctional family that a road trip to the Colorado Rocky Mountains would be good to bring old values back to their family After many incidents and while in the trailers parking area the rookie Bob is helped by the bizarre but friendly Gornicke family They escape from the Gornickes and initiate a journey of difficulties and leaning retrieving their forgotten family bonds,English,UK; Germany; USA,1 win & 2 nominations,5.5/10,23%,33/100,33,5.5,movie,"$71,402,035",Columbia Pictures
Step Up,2006,PG-13,Fri Aug 11 2006 00:00:00 GMT-0400 (EDT),104 min,Crime; Drama; Music,Anne Fletcher,Channing Tatum; Jenna Dewan Tatum; Damaine Radcliff; De'Shawn Washington,In Baltimore the troublemaker and street dancer Tyler Gage lives with his foster parents in a lower class neighborhood His best friends are Mac Carter and his little brother Skinny Carter and they used to hang around together going to parties and stealing cars After being expelled from a party the trio breaks in the Maryland School of Arts and commits vandalism destroying the stage Tyler is arrested and sentenced to 200 hours of community service in the school and Director Gordon assigns him to help the janitor cleaning the place One afternoon the ballet dancer Nora Clark sees Tyler dancing in the parking area and when her partner Andrew has a strain and Tyler offers to help her in the choreography she accepts the offer they rehearsal and become close to each other while Tyler becomes friend of the students Miles Darby and Lucy Avila When Andrew returns Tyler that is known for quitting everything he starts gives up dancing and leaves Nora alone After an incident Tyler has to decide to follow his dream or return to his life of rebel loser,English,USA,1 win & 3 nominations,6.5/10,19%,48/100,48,6.5,movie,"$65,269,010",Buena Vista
Stranger Than Fiction,2006,PG-13,Fri Nov 10 2006 00:00:00 GMT-0500 (EST),113 min,Comedy; Drama; Fantasy,Marc Forster,Will Ferrell; William Dick; Guy Massey; Martha Espinoza,Everybody knows that your life is a story But what if a story was your life? Harold Crick is your average IRS agent: monotonous boring and repetitive But one day this all changes when Harold begins to hear an author inside his head narrating his life The narrator it is extraordinarily accurate and Harold recognizes the voice as an esteemed author he saw on TV But when the narration reveals that he is going to die Harold must find the author of the story and ultimately his life to convince her to change the ending of the story before it is too late,English,USA,Nominated for 1 Golden Globe Another 3 wins & 14 nominations,7.6/10,72%,67/100,67,7.6,movie,"$40,137,776",Sony Pictures
Take the Lead,2006,PG-13,Fri Apr 07 2006 00:00:00 GMT-0400 (EDT),118 min,Drama; Music,Liz Friedlander,Antonio Banderas; Rob Brown; Yaya DaCosta; Alfre Woodard,In New York the polite dance instructor Pierre Dulaine sees a black teenager vandalizing the car of the director of a public school and on the next day he volunteers to teach dance to students to give respect dignity self-confidence trust and teamwork The reluctant director Augustine James offers the troublemakers that are in detention expecting Pierre to give-up of his intentions Pierre struggles against the prejudice and ignorance of the students parents and other teachers but wins his battle when the group accepts to compete in a ballroom dance contest,English,USA,1 win & 6 nominations,6.7/10,44%,55/100,55,6.7,movie,"$34,703,228",New Line Cinema
Scaredy Squirrel,,TV-Y7,Sat Apr 03 2010 00:00:00 GMT-0400 (EDT),11 min,Animation; Comedy; Family,N/A,Terry McGurrin; Jonathan Gould; Patrick McKenna; Jamie Watson,A squirrel uses his quirks and creativity to tackle the daily challenges in balsa city with help from his skunk friend Dave,English,Canada,3 wins & 7 nominations,4.1/10,N/A,N/A,N/A,4.1,series,,
See No Evil,2006,R,Fri May 19 2006 00:00:00 GMT-0400 (EDT),84 min,Action; Horror; Thriller,Gregory Dark,Glenn Jacobs; Christina Vidal; Michael J. Pagan; Samantha Noble,While investigating a call in an abandoned house Officer Frank Williams and a rookie find a woman brutally blinded but they are attacked by a huge psychopath with an ax the rookie is killed and Frank shoots the criminal in the head but has a severed arm Four years later the mutilated Frank is relocated working as a guard in the County Detention Center Frank goes with some delinquents to the Blackwell Hotel an abandoned place since a fire burnt the last two floors with the purpose of cleaning the location preparing it to work as a shelter for the homeless in return the criminals will have their sentences reduced During the night the inmate Kira who has some Christian tattoos on her body is kidnapped by the deranged serial-killer Kane who collects the eyes of his victims while the rest of the group is attacked by the psychopath with his ax,English,USA; Australia,N/A,5.1/10,8%,17/100,17,5.1,movie,"$15,019,200",Lionsgate Films
Tenacious D in The Pick of Destiny,2006,R,Wed Nov 22 2006 00:00:00 GMT-0500 (EST),93 min,Adventure; Comedy; Music,Liam Lynch,Jack Black; Kyle Gass; JR Reed; Ronnie James Dio,This is the story of a friendship that changes the course of rock history forever of the fateful collision of minds between JB and KG that led to the creation of the precedent-shattering band Tenacious D and of the two heroes quest to find the fabled Guitar Pick Of Destiny,English,USA; Germany,2 nominations,6.8/10,54%,55/100,55,6.8,movie,"$8,199,999",New Line Cinema
The Guardian,2006,PG-13,Fri Sep 29 2006 00:00:00 GMT-0400 (EDT),139 min,Action; Adventure; Drama,Andrew Davis,Kevin Costner; Ashton Kutcher; Sela Ward; Melissa Sagemiller,Ben Randall is a Coast Guard rescue swimmer When his crew is killed in an accident and his marriage ends his commander tells him he wants Randall to go to the US Coast Guard Rescue Swimmer A School to train other rescue swimmers He encounters a guy named Jake whos a little cocky because he was once a swim champion So Ben puts him through the wringer to see if he can handle it,English,USA,1 win & 4 nominations,6.9/10,37%,53/100,53,6.9,movie,"$54,983,983",Buena Vista Pictures
