The 40-Year-Old Virgin,"""The 40-Year-Old Virgin"","
Babylon A.D.,"""Babylon A.D."","
Ballast,"""Ballast"","
Bangkok Dangerous,"""Bangkok Dangerous"","
Be Kind Rewind,"""Be Kind Rewind"","
Bedtime Stories,"""Bedtime Stories"","
Beer for My Horses,"""Beer for My Horses"","
The Betrayal - Nerakhoon,"""The Betrayal - Nerakhoon"","
Beverly Hills Chihuahua,"""Beverly Hills Chihuahua"","
Body of Lies,"""Body of Lies"","
Bolt,"""Bolt"","
The Boy in the Striped Pyjamas,"""The Boy in the Striped Pyjamas"","
Burn After Reading,"""Burn After Reading"","
Cadillac Records,"""Cadillac Records"","
Changeling,"""Changeling"","
Che,"""Che"","
Choke,"""Choke"","
The Chronicles of Narnia: Prince Caspian,"""The Chronicles of Narnia: Prince Caspian"","
City of Ember,"""City of Ember"","
Cloverfield,"""Cloverfield"","
College,"""College"","
College Road Trip,"""College Road Trip"","
The Curious Case of Benjamin Button,"""The Curious Case of Benjamin Button"","
The Dark Knight,"""The Dark Knight"","
The Day the Earth Stood Still,"""The Day the Earth Stood Still"","
Deal,"""Deal"","
The Deal,"""The Deal"","
Death Race,"""Death Race"","
Deception,"""Deception"","
Defiance,"""Defiance"","
"Definitely, Maybe","""Definitely, Maybe"","
Delgo,"""Delgo"","
Disaster Movie,"""Disaster Movie"","
Doomsday,"""Doomsday"","
Doubt,"""Doubt"","
Drillbit Taylor,"""Drillbit Taylor"","
Eagle Eye,"""Eagle Eye"","
Elegy,"""Elegy"","
Expelled: No Intelligence Allowed,"""Expelled: No Intelligence Allowed"","
The Express,"""The Express"","
The Eye,"""The Eye"","
The Family That Preys,"""The Family That Preys"","
Felon,"""Felon"","
Fireflies in the Garden,"""Fireflies in the Garden"","
Fireproof,"""Fireproof"","
First Sunday,"""First Sunday"","
Flash of Genius,"""Flash of Genius"","
Fool's Gold,"""Fool's Gold"","
The Forbidden Kingdom,"""The Forbidden Kingdom"","
Forever Strong,"""Forever Strong"","
Forgetting Sarah Marshall,"""Forgetting Sarah Marshall"","
Four Christmases,"""Four Christmases"","
Frost/Nixon,"""Frost/Nixon"","
Frozen River,"""Frozen River"","
Funny Games,"""Funny Games"","
The Garden,"""The Garden"","
Garden Party,"""Garden Party"","
Get Smart,"""Get Smart"","
Ghost Town,"""Ghost Town"","
Gran Torino,"""Gran Torino"","
Hamlet 2,"""Hamlet 2"","
Hancock,"""Hancock"","
Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,"""Hannah Montana & Miley Cyrus: Best of Both Worlds Concert"","
The Happening,"""The Happening"","
Harold,"""Harold"","
Harold & Kumar Escape from Guantanamo Bay,"""Harold & Kumar Escape from Guantanamo Bay"","
The Haunting of Molly Hartley,"""The Haunting of Molly Hartley"","
Hellboy II: The Golden Army,"""Hellboy II: The Golden Army"","
Henry Poole Is Here,"""Henry Poole Is Here"","
Hero Wanted,"""Hero Wanted"","
High School Musical 3: Senior Year,"""High School Musical 3: Senior Year"","
Horton Hears a Who!,"""Horton Hears a Who!"","
The Hottie and the Nottie,"""The Hottie and the Nottie"","
The House Bunny,"""The House Bunny"","
Igor,"""Igor"","
In Bruges,"""In Bruges"","
The Incredible Hulk,"""The Incredible Hulk"","
Indiana Jones and the Kingdom of the Crystal Skull,"""Indiana Jones and the Kingdom of the Crystal Skull"","
Inkheart,"""Inkheart"","
Iron Man,"""Iron Man"","
Journey to the Center of the Earth,"""Journey to the Center of the Earth"","
Jumper,"""Jumper"","
Kit Kittredge: An American Girl,"""Kit Kittredge: An American Girl"","
Kung Fu Panda,"""Kung Fu Panda"","
Lakeview Terrace,"""Lakeview Terrace"","
Last Chance Harvey,"""Last Chance Harvey"","
Leatherheads,"""Leatherheads"","
The Love Guru,"""The Love Guru"","
The Longshots,"""The Longshots"","
The Lucky Ones,"""The Lucky Ones"","
Mad Money,"""Mad Money"","
Madagascar: Escape 2 Africa,"""Madagascar: Escape 2 Africa"","
Made of Honor,"""Made of Honor"","
Mamma Mia!,"""Mamma Mia!"","
Man on Wire,"""Man on Wire"","
Marley & Me,"""Marley & Me"","
Max Payne,"""Max Payne"","
Meet Dave,"""Meet Dave"","
Meet the Browns,"""Meet the Browns"","
Meet the Spartans,"""Meet the Spartans"","
The Midnight Meat Train,"""The Midnight Meat Train"","
Milk,"""Milk"","
Miracle at St. Anna,"""Miracle at St. Anna"","
Mirrors,"""Mirrors"","
The Mummy: Tomb of the Dragon Emperor,"""The Mummy: Tomb of the Dragon Emperor"","
My Best Friend's Girl,"""My Best Friend's Girl"","
My Sassy Girl,"""My Sassy Girl"","
Never Back Down,"""Never Back Down"","
Nick and Norah's Infinite Playlist,"""Nick and Norah's Infinite Playlist"","
Nights in Rodanthe,"""Nights in Rodanthe"","
Nim's Island,"""Nim's Island"","
Nothing But the Truth,"""Nothing But the Truth"","
Nothing Like the Holidays,"""Nothing Like the Holidays"","
One Missed Call,"""One Missed Call"","
The Other Boleyn Girl,"""The Other Boleyn Girl"","
Over Her Dead Body,"""Over Her Dead Body"","
Passengers,"""Passengers"","
Pathology,"""Pathology"","
Patti Smith: Dream of Life,"""Patti Smith: Dream of Life"","
Pineapple Express,"""Pineapple Express"","
The Pirates Who Don't Do Anything: A VeggieTales Movie,"""The Pirates Who Don't Do Anything: A VeggieTales Movie"","
Pray the Devil Back to Hell,"""Pray the Devil Back to Hell"","
Pride and Glory,"""Pride and Glory"","
Prom Night,"""Prom Night"","
The Promotion,"""The Promotion"","
Proud American,"""Proud American"","
Punisher: War Zone,"""Punisher: War Zone"","
Quantum of Solace,"""Quantum of Solace"","
Quarantine,"""Quarantine"","
Rachel Getting Married,"""Rachel Getting Married"","
Rambo,"""Rambo"","
The Reader,"""The Reader"","
Redbelt,"""Redbelt"","
Religulous,"""Religulous"","
Rent: Filmed Live on Broadway,"""Rent: Filmed Live on Broadway"","
Repo! The Genetic Opera,"""Repo! The Genetic Opera"","
Revolutionary Road,"""Revolutionary Road"","
Righteous Kill,"""Righteous Kill"","
The Rocker,"""The Rocker"","
Role Models,"""Role Models"","
The Ruins,"""The Ruins"","
Saw V,"""Saw V"","
The Secret Life of Bees,"""The Secret Life of Bees"","
Semi-Pro,"""Semi-Pro"","
Seven Pounds,"""Seven Pounds"","
Sex and the City,"""Sex and the City"","
Sex Drive,"""Sex Drive"","
Shutter,"""Shutter"","
The Sisterhood of the Traveling Pants 2,"""The Sisterhood of the Traveling Pants 2"","
Sleepwalking,"""Sleepwalking"","
Smart People,"""Smart People"","
Soul Men,"""Soul Men"","
Space Chimps,"""Space Chimps"","
Speed Racer,"""Speed Racer"","
The Spiderwick Chronicles,"""The Spiderwick Chronicles"","
Spike,"""Spike"","
The Spirit,"""The Spirit"","
Spy School,"""Spy School"","
Star Wars: The Clone Wars,"""Star Wars: The Clone Wars"","
Step Brothers,"""Step Brothers"","
Step Up 2: The Streets,"""Step Up 2: The Streets"","
Stop-Loss,"""Stop-Loss"","
Strange Wilderness,"""Strange Wilderness"","
The Strangers,"""The Strangers"","
Street Kings,"""Street Kings"","
Superhero Movie,"""Superhero Movie"","
Swing Vote,"""Swing Vote"","
Taken,"""Taken"","
The Tale of Despereaux,"""The Tale of Despereaux"","
Traitor,"""Traitor"","
Tropic Thunder,"""Tropic Thunder"","
Trouble the Water,"""Trouble the Water"","
Twilight,"""Twilight"","
U2 3D,"""U2 3D"","
Untraceable,"""Untraceable"","
Valkyrie,"""Valkyrie"","
Vantage Point,"""Vantage Point"","
Vicky Cristina Barcelona,"""Vicky Cristina Barcelona"","
Visioneers,"""Visioneers"","
W.,"""W."","
The Wackness,"""The Wackness"","
WALL-E,"""WALL-E"","
Waltz with Bashir,"""Waltz with Bashir"","
Wanted,"""Wanted"","
"War, Inc.","""War, Inc."","
Welcome Home Roscoe Jenkins,"""Welcome Home Roscoe Jenkins"","
What Doesn't Kill You,"""What Doesn't Kill You"","
What Happens in Vegas,"""What Happens in Vegas"","
What Just Happened,"""What Just Happened"","
Witless Protection,"""Witless Protection"","
The Women,"""The Women"","
The Wrestler,"""The Wrestler"","
The X-Files: I Want to Believe,"""The X-Files: I Want to Believe"","
Yes Man,"""Yes Man"","
You Don't Mess with the Zohan,"""You Don't Mess with the Zohan"","
Zack and Miri Make a Porno,"""Zack and Miri Make a Porno"","
(500) Days of Summer,"""(500) Days of Summer"","
12 Rounds,"""12 Rounds"","
17 Again,"""17 Again"","
2012,"""2012"","
9,"""9"","
Adam,"""Adam"","
Adventureland,"""Adventureland"","
After.Life,"""After.Life"","
Alien Trespass,"""Alien Trespass"","
Aliens in the Attic,"""Aliens in the Attic"","
All About Steve,"""All About Steve"","
Alvin and the Chipmunks: The Squeakquel,"""Alvin and the Chipmunks: The Squeakquel"","
Amelia,"""Amelia"","
American Violet,"""American Violet"","
Angels & Demons,"""Angels & Demons"","
The Answer Man,"""The Answer Man"","
Arcadia Lost,"""Arcadia Lost"","
Armored,"""Armored"","
Assassination of a High School President,"""Assassination of a High School President"","
Astro Boy,"""Astro Boy"","
Avatar,"""Avatar"","
Away We Go,"""Away We Go"","
The Bad Lieutenant: Port of Call New Orleans,"""The Bad Lieutenant: Port of Call New Orleans"","
Bandslam,"""Bandslam"","
Battle for Terra,"""Battle for Terra"","
Berdella,"""Berdella"","
Beyond a Reasonable Doubt,"""Beyond a Reasonable Doubt"","
Big Fan,"""Big Fan"","
The Blind Side,"""The Blind Side"","
Boogie Town,"""Boogie Town"","
The Boondock Saints II: All Saints Day,"""The Boondock Saints II: All Saints Day"","
The Box,"""The Box"","
Bride Wars,"""Bride Wars"","
Brothers,"""Brothers"","
The Brothers Bloom,"""The Brothers Bloom"","
Brother's War,"""Brother's War"","
Brothers at War,"""Brothers at War"","
Brüno,"""Brüno"","
C Me Dance,"""C Me Dance"","
Capitalism: A Love Story,"""Capitalism: A Love Story"","
Carriers,"""Carriers"","
The Chaos Experiment,"""The Chaos Experiment"","
A Christmas Carol,"""A Christmas Carol"","
Cirque du Freak: The Vampire's Assistant,"""Cirque du Freak: The Vampire's Assistant"","
Cloudy with a Chance of Meatballs,"""Cloudy with a Chance of Meatballs"","
Cold Souls,"""Cold Souls"","
The Collector,"""The Collector"","
Confessions of a Shopaholic,"""Confessions of a Shopaholic"","
Coraline,"""Coraline"","
Couples Retreat,"""Couples Retreat"","
The Cove,"""The Cove"","
Crank: High Voltage,"""Crank: High Voltage"","
Crazy Heart,"""Crazy Heart"","
The Cross,"""The Cross"","
Crossing Over,"""Crossing Over"","
Dance Flick,"""Dance Flick"","
Did You Hear About the Morgans?,"""Did You Hear About the Morgans?"","
District 9,"""District 9"","
Drag Me to Hell,"""Drag Me to Hell"","
Dragonball Evolution,"""Dragonball Evolution"","
Duplicity,"""Duplicity"","
Echelon Conspiracy,"""Echelon Conspiracy"","
Every Little Step,"""Every Little Step"","
Everybody's Fine,"""Everybody's Fine"","
Extract,"""Extract"","
Fame,"""Fame"","
Fantastic Mr. Fox,"""Fantastic Mr. Fox"","
Fast & Furious,"""Fast & Furious"","
Fighting,"""Fighting"","
The Final Destination,"""The Final Destination"","
Fired Up!,"""Fired Up!"","
"Food, Inc.","""Food, Inc."","
Fragments,"""Fragments"","
Friday the 13th,"""Friday the 13th"","
Funny People,"""Funny People"","
G-Force,"""G-Force"","
G.I. Joe: The Rise of Cobra,"""G.I. Joe: The Rise of Cobra"","
Gallowwalker,"""Gallowwalker"","
Gamer,"""Gamer"","
Gentlemen Broncos,"""Gentlemen Broncos"","
Ghosts of Girlfriends Past,"""Ghosts of Girlfriends Past"","
Gigantic,"""Gigantic"","
The Girlfriend Experience,"""The Girlfriend Experience"","
"The Goods: Live Hard, Sell Hard","""The Goods: Live Hard, Sell Hard"","
The Great Buck Howard,"""The Great Buck Howard"","
The Grudge 3,"""The Grudge 3"","
Halloween II,"""Halloween II"","
The Hangover,"""The Hangover"","
Hannah Montana: The Movie,"""Hannah Montana: The Movie"","
Harry Potter and the Half-Blood Prince,"""Harry Potter and the Half-Blood Prince"","
The Haunting in Connecticut,"""The Haunting in Connecticut"","
He's Just Not That Into You,"""He's Just Not That Into You"","
The Hole,"""The Hole"","
Homecoming,"""Homecoming"","
Horrorween,"""Horrorween"","
Horsemen,"""Horsemen"","
Hotel for Dogs,"""Hotel for Dogs"","
Humpday,"""Humpday"","
I Can Do Bad All By Myself,"""I Can Do Bad All By Myself"","
I Hate Valentine's Day,"""I Hate Valentine's Day"","
I Hope They Serve Beer in Hell,"""I Hope They Serve Beer in Hell"","
The Hurt Locker,"""The Hurt Locker"","
"I Love You, Beth Cooper","""I Love You, Beth Cooper"","
"I Love You, Man","""I Love You, Man"","
Ice Age: Dawn of the Dinosaurs,"""Ice Age: Dawn of the Dinosaurs"","
Imagine That,"""Imagine That"","
The Imaginarium of Doctor Parnassus,"""The Imaginarium of Doctor Parnassus"","
The Informant!,"""The Informant!"","
The Informers,"""The Informers"","
Inglourious Basterds,"""Inglourious Basterds"","
The International,"""The International"","
Invictus,"""Invictus"","
An Invisible Sign,"""An Invisible Sign"","
The Invention of Lying,"""The Invention of Lying"","
It Might Get Loud,"""It Might Get Loud"","
It's Complicated,"""It's Complicated"","
Janky Promoters,"""Janky Promoters"","
Jennifer's Body,"""Jennifer's Body"","
Jonas Brothers: The 3D Concert Experience,"""Jonas Brothers: The 3D Concert Experience"","
Julie & Julia,"""Julie & Julia"","
Knowing,"""Knowing"","
Labor Pains,"""Labor Pains"","
Laid to Rest,"""Laid to Rest"","
Land of the Lost,"""Land of the Lost"","
The Last House on the Left,"""The Last House on the Left"","
Law Abiding Citizen,"""Law Abiding Citizen"","
Life During Wartime,"""Life During Wartime"","
The Lightkeepers,"""The Lightkeepers"","
The Limits of Control,"""The Limits of Control"","
Love Happens,"""Love Happens"","
Love N' Dancing,"""Love N' Dancing"","
The Lovely Bones,"""The Lovely Bones"","
Lymelife,"""Lymelife"","
Madea Goes to Jail,"""Madea Goes to Jail"","
The Maiden Heist,"""The Maiden Heist"","
Management,"""Management"","
Me and Orson Welles,"""Me and Orson Welles"","
The Men Who Stare at Goats,"""The Men Who Stare at Goats"","
The Merry Gentleman,"""The Merry Gentleman"","
The Messenger,"""The Messenger"","
Michael Jackson's This Is It,"""Michael Jackson's This Is It"","
Miss March,"""Miss March"","
Monsters vs. Aliens,"""Monsters vs. Aliens"","
Motherhood,"""Motherhood"","
My Bloody Valentine 3D,"""My Bloody Valentine 3D"","
My Life in Ruins,"""My Life in Ruins"","
My Sister's Keeper,"""My Sister's Keeper"","
My One and Only,"""My One and Only"","
New in Town,"""New in Town"","
New Moon,"""New Moon"","
"New York, I Love You","""New York, I Love You"","
Next Day Air,"""Next Day Air"","
Night at the Museum: Battle of the Smithsonian,"""Night at the Museum: Battle of the Smithsonian"","
Nine,"""Nine"","
Ninja Assassin,"""Ninja Assassin"","
Not Easily Broken,"""Not Easily Broken"","
Not Forgotten,"""Not Forgotten"","
Notorious,"""Notorious"","
Observe and Report,"""Observe and Report"","
Obsessed,"""Obsessed"","
Old Dogs,"""Old Dogs"","
Opie Gets Laid,"""Opie Gets Laid"","
Orphan,"""Orphan"","
Pandorum,"""Pandorum"","
Paper Heart,"""Paper Heart"","
Paul Blart: Mall Cop,"""Paul Blart: Mall Cop"","
A Perfect Getaway,"""A Perfect Getaway"","
Phoebe in Wonderland,"""Phoebe in Wonderland"","
The Pink Panther 2,"""The Pink Panther 2"","
Planet 51,"""Planet 51"","
Post Grad,"""Post Grad"","
Powder Blue,"""Powder Blue"","
Precious,"""Precious"","
The Princess and the Frog,"""The Princess and the Frog"","
The Private Lives of Pippa Lee,"""The Private Lives of Pippa Lee"","
The Proposal,"""The Proposal"","
Public Enemies,"""Public Enemies"","
Push,"""Push"","
Quantum Quest: A Cassini Space Odyssey,"""Quantum Quest: A Cassini Space Odyssey"","
Race to Witch Mountain,"""Race to Witch Mountain"","
The Road,"""The Road"","
Saw VI,"""Saw VI"","
A Serious Man,"""A Serious Man"","
Sherlock Holmes,"""Sherlock Holmes"","
Shrink,"""Shrink"","
Shorts,"""Shorts"","
A Single Man,"""A Single Man"","
The Slammin' Salmon,"""The Slammin' Salmon"","
The Soloist,"""The Soloist"","
Sorority Row,"""Sorority Row"","
Spread,"""Spread"","
The Star of Bethlehem,"""The Star of Bethlehem"","
Star Trek,"""Star Trek"","
State of Play,"""State of Play"","
The Stepfather,"""The Stepfather"","
Street Fighter: The Legend of Chun-Li,"""Street Fighter: The Legend of Chun-Li"","
Surrogates,"""Surrogates"","
The Taking of Pelham 123,"""The Taking of Pelham 123"","
Taking Woodstock,"""Taking Woodstock"","
Tekken,"""Tekken"","
Tennessee,"""Tennessee"","
Terminator Salvation,"""Terminator Salvation"","
Tetro,"""Tetro"","
The Time Traveler's Wife,"""The Time Traveler's Wife"","
Transformers: Revenge of the Fallen,"""Transformers: Revenge of the Fallen"","
Trick 'r Treat,"""Trick 'r Treat"","
True Adolescents,"""True Adolescents"","
Tyson,"""Tyson"","
The Ugly Truth,"""The Ugly Truth"","
The Unborn,"""The Unborn"","
Underworld: Rise of the Lycans,"""Underworld: Rise of the Lycans"","
The Uninvited,"""The Uninvited"","
Up,"""Up"","
Up in the Air,"""Up in the Air"","
Wah Do Dem,"""Wah Do Dem"","
Watchmen,"""Watchmen"","
We Live in Public,"""We Live in Public"","
What Goes Up,"""What Goes Up"","
Whatever Works,"""Whatever Works"","
Where the Wild Things Are,"""Where the Wild Things Are"","
Whiteout,"""Whiteout"","
Whip It,"""Whip It"","
World's Greatest Dad,"""World's Greatest Dad"","
X Games 3D: The Movie,"""X Games 3D: The Movie"","
X-Men Origins: Wolverine,"""X-Men Origins: Wolverine"","
Year One,"""Year One"","
The Young Victoria,"""The Young Victoria"","
Zombieland,"""Zombieland"","
127 Hours,"""127 Hours"","
8: The Mormon Proposition,"""8: The Mormon Proposition"","
The A-Team,"""The A-Team"","
A Little Help,"""A Little Help"","
Adventures of Power,"""Adventures of Power"","
Alice in Wonderland,"""Alice in Wonderland"","
All Good Things,"""All Good Things"","
Alpha and Omega,"""Alpha and Omega"","
The American,"""The American"","
The Back-up Plan,"""The Back-up Plan"","
Barry Munday,"""Barry Munday"","
BearCity,"""BearCity"","
Big Money Rustlas,"""Big Money Rustlas"","
Black Swan,"""Black Swan"","
Blue Valentine,"""Blue Valentine"","
The Book of Eli,"""The Book of Eli"","
Bouncing Cats,"""Bouncing Cats"","
The Bounty Hunter,"""The Bounty Hunter"","
Brooklyn's Finest,"""Brooklyn's Finest"","
Brutal Beauty: Tales of the Rose City Rollers,"""Brutal Beauty: Tales of the Rose City Rollers"","
Buried,"""Buried"","
Burlesque,"""Burlesque"","
Case 39,"""Case 39"","
Casino Jack,"""Casino Jack"","
Casino Jack and the United States of Money,"""Casino Jack and the United States of Money"","
Cats & Dogs: The Revenge of Kitty Galore,"""Cats & Dogs: The Revenge of Kitty Galore"","
Charlie St. Cloud,"""Charlie St. Cloud"","
The Chronicles of Narnia: The Voyage of the Dawn Treader,"""The Chronicles of Narnia: The Voyage of the Dawn Treader"","
City Island,"""City Island"","
Clash of the Titans,"""Clash of the Titans"","
Client 9: The Rise and Fall of Eliot Spitzer,"""Client 9: The Rise and Fall of Eliot Spitzer"","
The Company Men,"""The Company Men"","
Conviction,"""Conviction"","
Cop Out,"""Cop Out"","
Countdown to Zero,"""Countdown to Zero"","
Country Strong,"""Country Strong"","
The Crazies,"""The Crazies"","
Crazy on the Outside,"""Crazy on the Outside"","
Cyrus,"""Cyrus"","
Date Night,"""Date Night"","
Darkening Sky,"""Darkening Sky"","
Daybreakers,"""Daybreakers"","
Dead Awake,"""Dead Awake"","
Dear John,"""Dear John"","
Death at a Funeral,"""Death at a Funeral"","
Despicable Me,"""Despicable Me"","
Devil,"""Devil"","
Diary of a Wimpy Kid,"""Diary of a Wimpy Kid"","
Dinner for Schmucks,"""Dinner for Schmucks"","
Dirty Girl,"""Dirty Girl"","
Due Date,"""Due Date"","
Easy A,"""Easy A"","
Eat Pray Love,"""Eat Pray Love"","
The Twilight Saga: Eclipse,"""The Twilight Saga: Eclipse"","
Edge of Darkness,"""Edge of Darkness"","
The Expendables,"""The Expendables"","
The Extra Man,"""The Extra Man"","
Extraordinary Measures,"""Extraordinary Measures"","
Fair Game,"""Fair Game"","
Faster,"""Faster"","
The Fighter,"""The Fighter"","
Flipped,"""Flipped"","
For Colored Girls,"""For Colored Girls"","
Freakonomics,"""Freakonomics"","
From Paris with Love,"""From Paris with Love"","
Frozen,"""Frozen"","
Furry Vengeance,"""Furry Vengeance"","
Game of Death,"""Game of Death"","
Get Him to the Greek,"""Get Him to the Greek"","
Get Low,"""Get Low"","
Going the Distance,"""Going the Distance"","
The Good Guy,"""The Good Guy"","
The Greatest,"""The Greatest"","
Green Zone,"""Green Zone"","
Greenberg,"""Greenberg"","
Grown Ups,"""Grown Ups"","
Gulliver's Travels,"""Gulliver's Travels"","
Happy Tears,"""Happy Tears"","
Hachiko: A Dog's Story,"""Hachiko: A Dog's Story"","
Harry Potter and the Deathly Hallows: Part 1,"""Harry Potter and the Deathly Hallows: Part 1"","
Hereafter,"""Hereafter"","
Holy Rollers,"""Holy Rollers"","
Hot Tub Time Machine,"""Hot Tub Time Machine"","
How Do You Know,"""How Do You Know"","
How to Train Your Dragon,"""How to Train Your Dragon"","
Hubble 3D,"""Hubble 3D"","
Hurricane Season,"""Hurricane Season"","
Hyenas,"""Hyenas"","
I Love You Phillip Morris,"""I Love You Phillip Morris"","
I'm Still Here,"""I'm Still Here"","
Inception,"""Inception"","
Iron Man 2,"""Iron Man 2"","
It's Kind of a Funny Story,"""It's Kind of a Funny Story"","
Jack Goes Boating,"""Jack Goes Boating"","
Jackass 3-D,"""Jackass 3-D"","
Jonah Hex,"""Jonah Hex"","
The Joneses,"""The Joneses"","
Just Wright,"""Just Wright"","
Kaboom,"""Kaboom"","
The Karate Kid,"""The Karate Kid"","
Kick-Ass,"""Kick-Ass"","
The Kids Are All Right,"""The Kids Are All Right"","
The Killer Inside Me,"""The Killer Inside Me"","
Killers,"""Killers"","
Knight and Day,"""Knight and Day"","
Knucklehead,"""Knucklehead"","
The Last Airbender,"""The Last Airbender"","
The Last Exorcism,"""The Last Exorcism"","
The Last Song,"""The Last Song"","
Leap Year,"""Leap Year"","
Legend of the Guardians: The Owls of Ga'Hoole,"""Legend of the Guardians: The Owls of Ga'Hoole"","
Legendary,"""Legendary"","
Legion,"""Legion"","
Let Me In,"""Let Me In"","
Letters to God,"""Letters to God"","
Letters to Juliet,"""Letters to Juliet"","
Life as We Know It,"""Life as We Know It"","
Like Dandelion Dust,"""Like Dandelion Dust"","
Little Fockers,"""Little Fockers"","
The Losers,"""The Losers"","
Lottery Ticket,"""Lottery Ticket"","
Love Ranch,"""Love Ranch"","
Love & Other Drugs,"""Love & Other Drugs"","
MacGruber,"""MacGruber"","
Machete,"""Machete"","
Marmaduke,"""Marmaduke"","
Marwencol,"""Marwencol"","
Megamind,"""Megamind"","
Middle Men,"""Middle Men"","
Mirrors 2,"""Mirrors 2"","
Morning Glory,"""Morning Glory"","
Mother and Child,"""Mother and Child"","
My Soul to Take,"""My Soul to Take"","
Nanny McPhee Returns,"""Nanny McPhee Returns"","
Never Let Me Go,"""Never Let Me Go"","
The Next Three Days,"""The Next Three Days"","
Night Catches Us,"""Night Catches Us"","
A Nightmare on Elm Street,"""A Nightmare on Elm Street"","
The Other Guys,"""The Other Guys"","
Our Family Wedding,"""Our Family Wedding"","
Paper Man,"""Paper Man"","
Paranormal Activity 2,"""Paranormal Activity 2"","
Passion Play,"""Passion Play"","
Percy Jackson & the Olympians: The Lightning Thief,"""Percy Jackson & the Olympians: The Lightning Thief"","
The Perfect Game,"""The Perfect Game"","
Piranha 3-D,"""Piranha 3-D"","
Please Give,"""Please Give"","
Preacher's Kid,"""Preacher's Kid"","
Predators,"""Predators"","
Prince of Persia: The Sands of Time,"""Prince of Persia: The Sands of Time"","
Rabbit Hole,"""Rabbit Hole"","
Ramona and Beezus,"""Ramona and Beezus"","
The Rebound,"""The Rebound"","
Red,"""Red"","
Remember Me,"""Remember Me"","
Repo Men,"""Repo Men"","
Resident Evil: Afterlife,"""Resident Evil: Afterlife"","
Robin Hood,"""Robin Hood"","
The Romantics,"""The Romantics"","
The Runaways,"""The Runaways"","
Saint John of Las Vegas,"""Saint John of Las Vegas"","
Salt,"""Salt"","
Saw VII,"""Saw VII"","
Scott Pilgrim vs. the World,"""Scott Pilgrim vs. the World"","
Secretariat,"""Secretariat"","
Sex and the City 2,"""Sex and the City 2"","
She's Out of My League,"""She's Out of My League"","
Shrek Forever After,"""Shrek Forever After"","
Shutter Island,"""Shutter Island"","
Skyline,"""Skyline"","
Small Town Saturday Night,"""Small Town Saturday Night"","
The Social Network,"""The Social Network"","
Solitary Man,"""Solitary Man"","
Somewhere,"""Somewhere"","
The Sorcerer's Apprentice,"""The Sorcerer's Apprentice"","
Splice,"""Splice"","
The Spy Next Door,"""The Spy Next Door"","
Step Up 3D,"""Step Up 3D"","
Stone,"""Stone"","
The Switch,"""The Switch"","
Takers,"""Takers"","
Tangled,"""Tangled"","
The Tempest,"""The Tempest"","
Tooth Fairy,"""Tooth Fairy"","
The Town,"""The Town"","
The Tourist,"""The Tourist"","
Toy Story 3,"""Toy Story 3"","
Tron: Legacy,"""Tron: Legacy"","
True Grit,"""True Grit"","
Twelve,"""Twelve"","
Unstoppable,"""Unstoppable"","
Valentine's Day,"""Valentine's Day"","
Vampires Suck,"""Vampires Suck"","
Waiting for Superman,"""Waiting for Superman"","
Wall Street: Money Never Sleeps,"""Wall Street: Money Never Sleeps"","
Welcome to the Rileys,"""Welcome to the Rileys"","
What If...,"""What If..."","
What's Wrong with Virginia,"""What's Wrong with Virginia"","
When in Rome,"""When in Rome"","
Why Did I Get Married Too?,"""Why Did I Get Married Too?"","
Winnebago Man,"""Winnebago Man"","
Winter's Bone,"""Winter's Bone"","
The Wolfman,"""The Wolfman"","
Wonderful World,"""Wonderful World"","
Yogi Bear,"""Yogi Bear"","
You Again,"""You Again"","
You Will Meet a Tall Dark Stranger,"""You Will Meet a Tall Dark Stranger"","
Youth in Revolt,"""Youth in Revolt"","
11/11/2011,"""40858"","
30 Minutes or Less,"""30 Minutes or Less"","
35 and Ticking,"""35 and Ticking"","
50/50,"""50/50"","
Abduction,"""Abduction"","
The Adjustment Bureau,"""The Adjustment Bureau"","
The Adventures of Tintin: The Secret of the Unicorn,"""The Adventures of Tintin: The Secret of the Unicorn"","
African Cats,"""African Cats"","
Alvin and the Chipmunks: Chipwrecked,"""Alvin and the Chipmunks: Chipwrecked"","
Another Earth,"""Another Earth"","
Apollo 18,"""Apollo 18"","
The Art of Getting By,"""The Art of Getting By"","
Arthur,"""Arthur"","
Arthur Christmas,"""Arthur Christmas"","
Atlas Shrugged: Part I,"""Atlas Shrugged: Part I"","
Bad Teacher,"""Bad Teacher"","
Battle: Los Angeles,"""Battle: Los Angeles"","
Beastly,"""Beastly"","
"Beats, Rhymes & Life: The Travels of a Tribe Called Quest","""Beats, Rhymes & Life: The Travels of a Tribe Called Quest"","
The Beaver,"""The Beaver"","
Beginners,"""Beginners"","
A Better Life,"""A Better Life"","
"Big Mommas: Like Father, Like Son","""Big Mommas: Like Father, Like Son"","
The Big Year,"""The Big Year"","
Born to Be Wild 3D,"""Born to Be Wild 3D"","
The Twilight Saga: Breaking Dawn - Part 1,"""The Twilight Saga: Breaking Dawn - Part 1"","
Bridesmaids,"""Bridesmaids"","
Buck,"""Buck"","
Bucky Larson: Born to Be a Star,"""Bucky Larson: Born to Be a Star"","
Captain America: The First Avenger,"""Captain America: The First Avenger"","
Carnage,"""Carnage"","
Cars 2,"""Cars 2"","
Cedar Rapids,"""Cedar Rapids"","
