Title,ReleaseDate,Genre,Rating
Knock Knock,"October 9, 2015","Mystery, Thriller, Horror",53
Knocked Up,"June 1, 2007","Comedy, Romance",85
Lake of Fire,"October 3, 2007",Documentary,83
Lars and the Real Girl,"October 12, 2007","Drama, Comedy",70
The Last Mimzy,"March 23, 2007","Adventure, Sci-Fi, Drama, Fantasy, Family",59
The Last Sin Eater,"February 9, 2007",Drama,37
License to Wed,"July 3, 2007","Comedy, Romance",25
The Life Before Her Eyes,"April 18, 2008","Drama, Thriller",38
Lions for Lambs,"November 9, 2007","Drama, War",47
Schindler's List,"December 15, 1993","Biography, Drama, History, War",93
Live Free or Die Hard,"June 27, 2007","Action, Thriller, Crime",69
The Lookout,"March 30, 2007","Drama, Thriller, Crime",73
Love in the Time of Cholera,"November 16, 2007","Drama, Romance",43
Lucky You,"May 4, 2007","Drama, Sport, Romance",49
"Lust, Caution","September 28, 2007","Drama, Thriller, Romance, War",61
Manda Bala (Send a Bullet),"August 17, 2007",Documentary,71
Margot at the Wedding,"November 16, 2007","Drama, Comedy",66
The Best Exotic Marigold Hotel,"May 4, 2012","Drama, Comedy",62
Married Life,"March 7, 2008","Drama, Romance, Crime",65
Martian Child,"November 2, 2007","Drama, Family",48
Meet the Robinsons,"March 30, 2007","Adventure, Sci-Fi, Comedy, Animation, Family",61
The Messengers,"February 2, 2007","Drama, Thriller, Horror",34
Michael Clayton,"October 5, 2007","Drama, Mystery, Thriller, Crime",82
A Mighty Heart,"June 22, 2007","Biography, Drama, History, Thriller, War",74
The Mist,"November 21, 2007","Sci-Fi, Drama, Thriller",58
Mister Lonely,"May 2, 2008","Drama, Comedy",53
Mother of Tears,"June 6, 2008","Thriller, Fantasy, Horror",52
Moving McAllister,"September 14, 2007",Comedy,0
Mr. Brooks,"June 1, 2007","Drama, Mystery, Thriller, Crime",45
Mr. Woodcock,"September 14, 2007","Sport, Comedy",41
Mr. Untouchable,"October 26, 2007","Crime, Documentary",65
Music and Lyrics,"February 14, 2007","Comedy, Romance, Music",59
Nancy Drew,"June 15, 2007","Adventure, Mystery, Thriller, Comedy, Crime, Family",53
Nanking,"December 12, 2007","History, War, Documentary",76
The Nanny Diaries,"August 24, 2007","Drama, Comedy, Romance",46
National Treasure: Book of Secrets,"December 21, 2007","Action, Adventure, Mystery, Thriller, Comedy",48
The Boy Next Door,"January 23, 2015",Thriller,30
No Country for Old Men,"November 9, 2007","Drama, Thriller, Crime, Western",91
No End in Sight,"July 27, 2007","War, Documentary",89
No Reservations,"July 27, 2007","Drama, Comedy, Romance",50
Nobel Son,"December 5, 2008","Drama, Thriller, Comedy, Crime",28
Norbit,"February 9, 2007","Comedy, Romance",27
I Am Number Four,"February 18, 2011","Action, Sci-Fi",36
The Number 23,"February 23, 2007","Drama, Mystery, Thriller",0
For Your Eyes Only,"June 26, 1981","Action, Adventure, Thriller",54
P.S. I Love You,"December 21, 2007","Drama, Romance",39
Paranoid Park,"March 7, 2008","Drama, Sport, Mystery, Thriller, Crime",83
Pathfinder,"April 13, 2007","Action, Adventure, Drama, History, Thriller, War",29
The Perfect Holiday,"December 12, 2007","Comedy, Romance, Family",32
Perfect Stranger,"April 13, 2007","Drama, Mystery, Thriller, Crime",31
Persepolis,"December 25, 2007","Biography, Drama, War, Animation",90
Premonition,"March 16, 2007","Drama, Mystery, Thriller, Fantasy",29
Pride & Prejudice,"November 11, 2005","Drama, Romance",82
Primeval,"January 12, 2007","Thriller, Horror",35
Ratatouille,"June 29, 2007","Fantasy, Comedy, Animation, Family",96
The Reaping,"April 5, 2007","Thriller, Horror",36
Redline,"April 13, 2007",Action,24
Reign Over Me,"March 23, 2007",Drama,61
Remember the Daze,"April 11, 2008","Drama, Comedy",36
Rendition,"October 19, 2007","Drama, Thriller, War",55
Reno 911!: Miami,"February 23, 2007","Comedy, Crime",47
Reservation Road,"October 19, 2007","Drama, Thriller",46
Resident Evil: Extinction,"September 21, 2007","Action, Sci-Fi, Thriller, Fantasy, Horror",41
Resurrecting the Champ,"August 24, 2007","Drama, Sport",55
Rocket Science,"August 10, 2007","Drama, Comedy",73
The Rolling Stones Olé Olé Olé!: A Trip Across Latin America,"September 30, 2016",Documentary,72
Rush Hour 3,"August 10, 2007","Action, Thriller, Comedy, Crime",44
Savage Grace,"May 30, 2008",Drama,51
Savages,"July 6, 2012","Drama, Thriller, Crime",59
Saw IV,"October 26, 2007","Thriller, Horror, Crime",36
The Leisure Seeker,"March 9, 2018","Adventure, Drama, Comedy, Romance",46
Seraphim Falls,"January 26, 2007","Drama, Thriller, War, Western",62
Shoot 'Em Up,"September 7, 2007","Action, Adventure, Thriller, Comedy, Crime",49
Shooter,"March 23, 2007","Action, Mystery, Thriller, Crime",53
ShowBusiness: The Road to Broadway,"May 11, 2007",Documentary,73
Shrek the Third,"May 18, 2007","Adventure, Fantasy, Comedy, Animation, Family",58
Sicko,"June 29, 2007","Drama, History, Documentary",74
The Simpsons Movie,"July 27, 2007","Adventure, Comedy, Animation",80
Saints and Sinners,"June 18, 2004",Documentary,57
Saints and Sinners,"June 18, 2004",Documentary,57
Sleuth,"October 12, 2007","Drama, Mystery, Thriller",49
Slipstream,"October 26, 2007","Sci-Fi, Drama, Mystery, Thriller, Fantasy, Comedy",47
Smiley Face,"November 16, 2007","Adventure, Comedy",71
Smokin' Aces,"January 26, 2007","Action, Drama, Thriller, Crime",45
Spider-Man 3,"May 4, 2007","Action, Thriller",59
Spiral,"February 8, 2008","Drama, Thriller",40
Stardust,"August 10, 2007","Adventure, Fantasy, Romance, Family",66
Starting Out in the Evening,"November 23, 2007","Drama, Romance",78
Stomp the Yard,"January 12, 2007","Drama, Romance, Musical",44
Strange Culture,"October 5, 2007",Documentary,70
Stuck in Love,"July 5, 2013","Drama, Comedy",49
Eternal Sunshine of the Spotless Mind,"March 19, 2004","Drama, Romance",89
Superbad,"August 17, 2007",Comedy,76
Sweeney Todd: The Demon Barber of Fleet Street,"December 21, 2007","Drama, Thriller, Horror, Musical",83
Talk to Me,"July 13, 2007","Biography, Drama, History, War, Music",69
Taxi to the Dark Side,"January 18, 2008","Crime, War, Documentary",82
The Royal Tenenbaums,"December 14, 2001","Drama, Comedy",76
There Will Be Blood,"December 26, 2007","Drama, Thriller",93
Things We Lost in the Fire,"October 19, 2007",Drama,63
TMNT,"March 23, 2007","Action, Adventure, Drama, Fantasy, Comedy, Animation, Family",41
Transformers: The Last Knight,"June 21, 2017","Action, Adventure, Sci-Fi, Thriller",27
Dodgeball: A True Underdog Story,"June 18, 2004","Sport, Comedy",55
Vacancy,"April 20, 2007","Mystery, Thriller, Horror",54
Waitress,"May 2, 2007","Drama, Comedy, Romance",75
Walk Hard: The Dewey Cox Story,"December 21, 2007","Comedy, Music",63
We Own the Night,"October 12, 2007","Drama, Thriller, Crime",59
What Love Is,"March 23, 2007",Comedy,14
What We Do Is Secret,"August 8, 2008","Biography, Drama, Music",54
The Horse Whisperer,"May 15, 1998","Drama, Romance, Western",65
Why Did I Get Married Too?,"April 2, 2010",Comedy,43
Wild Hogs,"March 2, 2007","Action, Adventure, Comedy",27
Wind Chill,"April 27, 2007","Drama, Thriller, Horror",52
Year of the Dog,"April 13, 2007","Drama, Comedy",70
Year of the Fish,"August 29, 2008","Fantasy, Romance, Animation",53
You Kill Me,"June 22, 2007","Thriller, Comedy, Romance, Crime",64
Youth Without Youth,"December 14, 2007","Drama, Mystery, Thriller, Fantasy, Romance",43
Zodiac,"March 2, 2007","Drama, Mystery, Thriller, Crime",78
"10,000 BC","March 7, 2008","Adventure, Drama, Fantasy",34
27 Dresses,"January 18, 2008","Comedy, Romance",47
88 Minutes,"April 18, 2008","Drama, Mystery, Thriller",17
An American Carol,"October 3, 2008","Fantasy, Comedy",20
American Teen,"July 25, 2008",Documentary,66
Appaloosa,"September 19, 2008","Action, Drama, Crime, Western",64
August Rush,"November 21, 2007","Drama, Romance, Music",38
Baby Mama,"April 25, 2008","Comedy, Romance",55
Babylon A.D.,"August 29, 2008","Action, Adventure, Sci-Fi, Thriller",26
Ballast,"October 1, 2008",Drama,84
Bangkok Dangerous,"September 5, 2008","Action, Thriller, Crime",24
Be Kind Rewind,"February 22, 2008","Drama, Comedy",52
Bedtime Stories,"December 25, 2008","Fantasy, Comedy, Family",33
Beer for My Horses,"August 8, 2008",Comedy,0
The Betrayal - Nerakhoon,"November 21, 2008",Documentary,78
Beverly Hills Chihuahua,"October 3, 2008","Adventure, Drama, Comedy, Romance, Family",41
Body of Lies,"October 10, 2008","Action, Drama, Thriller",57
Bolt,"November 21, 2008","Adventure, Fantasy, Comedy, Animation, Family",67
Burn After Reading,"September 12, 2008","Drama, Comedy, Crime",63
Cadillac Records,"December 5, 2008","Biography, Drama, History, Romance, Music",65
Changeling,"October 24, 2008","Drama, History, Mystery, Thriller",63
Sun Choke,"August 5, 2016","Drama, Mystery, Thriller, Horror",58
The Chronicles of Narnia: Prince Caspian,"May 16, 2008","Action, Adventure, Fantasy, Family",62
City of Ember,"October 10, 2008","Adventure, Sci-Fi, Fantasy, Family",58
The Cloverfield Paradox,"February 4, 2018","Action, Adventure, Sci-Fi, Mystery, Thriller, Horror",37
College Road Trip,"March 7, 2008","Adventure, Drama, Comedy, Family",36
College Road Trip,"March 7, 2008","Adventure, Drama, Comedy, Family",36
The Curious Case of Benjamin Button,"December 25, 2008","Drama, Mystery, Fantasy, Romance",70
The Dark Knight,"July 18, 2008","Action, Drama, Thriller, Crime",82
The Day the Earth Stood Still,"December 12, 2008","Sci-Fi, Drama, Thriller",40
Dealt,"October 20, 2017","Biography, Documentary",66
Dealt,"October 20, 2017","Biography, Documentary",66
Death Race,"August 22, 2008","Action, Sci-Fi, Thriller",43
Deception,"April 25, 2008","Drama, Mystery, Thriller, Romance, Crime",31
Defiance,"December 31, 2008","Action, Drama, History, Thriller, War",58
"Definitely, Maybe","February 14, 2008","Drama, Comedy, Romance",59
Delgo,"December 12, 2008","Adventure, Fantasy, Comedy, Romance, Animation",27
Disaster Movie,"August 29, 2008",Comedy,15
Doomsday,"March 14, 2008","Action, Sci-Fi, Thriller",51
Doubt,"December 12, 2008","Drama, Mystery",68
Drillbit Taylor,"March 21, 2008",Comedy,41
Eagle Eye,"September 26, 2008","Action, Mystery, Thriller",43
Elegy,"August 8, 2008","Drama, Romance",66
Expelled: No Intelligence Allowed,"April 18, 2008",Documentary,20
Murder on the Orient Express,"November 10, 2017","Drama, Mystery, Crime",52
Eyes Wide Shut,"July 16, 1999","Drama, Mystery, Thriller, Romance",68
The Family That Preys,"September 12, 2008",Drama,49
Felon,"July 18, 2008","Drama, Crime",58
Fireflies in the Garden,"October 14, 2011",Drama,34
Fireproof,"September 26, 2008",Drama,28
First Sunday,"January 11, 2008","Drama, Comedy, Crime",41
Flash of Genius,"October 3, 2008",Drama,57
The Forbidden Kingdom,"April 18, 2008","Action, Adventure, Fantasy, Comedy, Romance",57
Forever Strong,"September 26, 2008","Drama, Sport",37
Forgetting Sarah Marshall,"April 18, 2008","Drama, Comedy, Romance",67
Four Christmases,"November 26, 2008","Drama, Comedy, Romance",41
Frozen River,"August 1, 2008","Drama, Crime",82
Funny Games (2008),"March 14, 2008","Drama, Thriller",44
Garden State,"July 28, 2004","Drama, Comedy, Romance",67
Garden Party,"July 11, 2008",Drama,31
Get Smart,"June 20, 2008","Action, Adventure, Comedy",54
Ghost Town,"March 12, 2010",Documentary,0
Gran Torino,"December 12, 2008",Drama,72
Hamlet 2,"August 22, 2008",Comedy,54
Hancock,"July 2, 2008","Action, Fantasy, Crime",49
Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,"February 1, 2008","Music, Documentary",59
The Happening,"June 13, 2008","Sci-Fi, Drama, Mystery, Thriller",34
Harold & Kumar Go to White Castle,"July 30, 2004","Adventure, Comedy",64
Harold & Kumar Escape from Guantanamo Bay,"April 25, 2008","Adventure, Comedy",57
The Haunting of Molly Hartley,"October 31, 2008","Drama, Thriller, Horror",28
Hellboy II: The Golden Army,"July 11, 2008","Action, Adventure, Fantasy",78
Henry Poole Is Here,"August 15, 2008","Drama, Comedy",44
High School Musical 3: Senior Year,"October 24, 2008","Drama, Comedy, Romance, Family, Musical",57
Horton Hears a Who!,"March 14, 2008","Adventure, Comedy, Animation, Family",71
The Hottie & the Nottie,"February 8, 2008","Comedy, Romance",7
The House Bunny,"August 22, 2008","Comedy, Romance",55
Igor,"September 19, 2008","Fantasy, Comedy, Animation, Family",40
In Bruges,"February 8, 2008","Drama, Thriller, Crime",67
The Incredible Hulk,"June 13, 2008","Action, Sci-Fi, Thriller",61
Indiana Jones and the Kingdom of the Crystal Skull,"May 22, 2008","Action, Adventure, Thriller",65
Inkheart,"January 23, 2009","Adventure, Fantasy, Family",0
Iron Man,"May 2, 2008","Action, Adventure, Sci-Fi, Thriller",79
Journey to the Center of the Earth,"July 11, 2008","Action, Adventure, Sci-Fi, Thriller, Family",57
Jumper,"February 14, 2008","Action, Adventure, Sci-Fi, Thriller",35
Kit Kittredge: An American Girl,"June 20, 2008","Drama, Family",63
Kung Fu Panda,"June 6, 2008","Action, Comedy, Animation, Family",73
Lakeview Terrace,"September 19, 2008","Drama, Thriller, Crime",47
Last Chance Harvey,"December 25, 2008","Drama, Romance",57
Leatherheads,"April 4, 2008","Drama, Sport, Comedy, Romance",56
The Love Guru,"June 20, 2008","Sport, Comedy, Romance",24
The Longshots,"August 22, 2008","Drama, Sport, Comedy, Family",52
The Lucky Ones,"September 26, 2008","Drama, Comedy, War",53
Mad Money,"January 18, 2008","Thriller, Comedy, Romance, Crime",41
Madagascar: Escape 2 Africa,"November 7, 2008","Action, Adventure, Comedy, Animation, Family",61
Made of Honor,"May 2, 2008","Comedy, Romance",37
Mamma Mia!,"July 18, 2008","Comedy, Romance, Musical",51
Man on Wire,"July 25, 2008","Crime, Documentary",89
Marley & Me,"December 25, 2008","Drama, Comedy, Romance, Family",53
Max Payne,"October 17, 2008","Action, Drama, Mystery, Thriller, Crime",31
Meet Dave,"July 11, 2008","Adventure, Sci-Fi, Comedy, Romance, Family",43
Meet the Browns,"March 21, 2008","Drama, Comedy, Romance",45
Meet the Spartans,"January 25, 2008","Comedy, War",9
The Midnight Meat Train,"August 1, 2008","Drama, Mystery, Thriller, Horror, Crime",58
Milk,"November 26, 2008","Biography, Drama",84
Miracle at St. Anna,"September 26, 2008","Action, Drama, Thriller, Crime, War",37
Mirrors,"August 15, 2008","Mystery, Thriller, Horror",35
The Mummy: Tomb of the Dragon Emperor,"August 1, 2008","Action, Adventure, Thriller, Fantasy",31
Never Back Down,"March 14, 2008","Action, Drama, Sport",39
Nights in Rodanthe,"September 26, 2008","Drama, Romance",39
Nothing But the Truth,"December 17, 2008","Drama, Thriller",64
Nothing Like the Holidays,"December 12, 2008","Drama, Comedy, Romance",50
One Missed Call,"January 4, 2008","Mystery, Thriller, Horror",24
The Other Boleyn Girl,"February 29, 2008","Biography, Drama, History, Romance",50
Over Her Dead Body,"February 1, 2008","Fantasy, Comedy, Romance",30
Passengers,"December 21, 2016","Adventure, Sci-Fi, Drama, Romance",41
Pathology,"April 18, 2008","Thriller, Horror, Crime",55
Patti Smith: Dream of Life,"August 6, 2008","Music, Documentary",66
Pineapple Express,"August 6, 2008","Action, Thriller, Comedy, Crime",64
Pray the Devil Back to Hell,"November 7, 2008",Documentary,78
Pride and Glory,"October 24, 2008","Drama, Thriller, Crime",45
Prom Night,"April 11, 2008","Mystery, Thriller, Horror",17
The Promotion,"June 6, 2008",Comedy,51
Punisher: War Zone,"December 5, 2008","Action, Drama, Thriller, Crime",30
Quantum of Solace,"November 14, 2008","Action, Adventure, Thriller",58
Quarantine,"October 10, 2008","Sci-Fi, Drama, Mystery, Thriller",53
Rachel Getting Married,"October 3, 2008","Drama, Romance",82
Rambo,"January 25, 2008","Action, Thriller",46
The Reader,"December 10, 2008","Drama, Romance",58
Redbelt,"May 2, 2008","Action, Drama, Sport",69
Religulous,"October 3, 2008","Comedy, Documentary",56
Repo! The Genetic Opera,"November 7, 2008","Sci-Fi, Horror, Musical",32
Revolutionary Road,"December 26, 2008","Drama, Romance",69
Righteous Kill,"September 12, 2008","Drama, Mystery, Thriller, Crime",36
The Rocker,"August 20, 2008","Comedy, Music",53
Role Models,"November 7, 2008",Comedy,61
The Ruins,"April 4, 2008","Thriller, Horror",44
Saw VI,"October 23, 2009","Mystery, Thriller, Horror",30
The Secret Life of Bees,"October 17, 2008",Drama,57
Semi-Pro,"February 29, 2008","Sport, Comedy",47
Seven Pounds,"December 19, 2008",Drama,36
Sex and the City,"May 30, 2008","Drama, Comedy, Romance",53
Sex Drive,"October 17, 2008","Adventure, Comedy, Romance",49
Shutter Island,"February 19, 2010","Drama, Mystery, Thriller",63
The Sisterhood of the Traveling Pants 2,"August 6, 2008","Drama, Comedy, Romance",63
Sleepwalking,"March 14, 2008",Drama,40
Smart People,"April 11, 2008","Drama, Comedy, Romance",57
Soul Men,"November 7, 2008","Drama, Comedy, Music",49
Space Chimps,"July 18, 2008","Adventure, Sci-Fi, Comedy, Animation, Family",36
Speed Racer,"May 9, 2008","Action, Sport, Family",37
The Spiderwick Chronicles,"February 14, 2008","Adventure, Fantasy, Family",62
Spike Island,"May 8, 2015","Drama, Music",0
Spirited Away,"September 20, 2002","Adventure, Fantasy, Animation, Family",96
Star Wars: The Clone Wars,"August 15, 2008","Action, Adventure, Sci-Fi, Thriller, Animation",35
Step Brothers,"July 25, 2008",Comedy,51
Step Up 2: The Streets,"February 14, 2008","Drama, Romance, Music",50
Stop-Loss,"March 28, 2008","Drama, War",61
Strange Wilderness,"February 1, 2008",Comedy,12
The Strangers: Prey at Night,"March 9, 2018",Horror,49
Street Kings,"April 11, 2008","Action, Drama, Thriller, Crime",55
Superhero Movie,"March 28, 2008","Action, Sci-Fi, Thriller, Comedy",33
Swing Vote,"August 1, 2008","Drama, Comedy",47
Taken,"January 30, 2009","Action, Drama, Thriller, Crime",50
The Tale of Despereaux,"December 19, 2008","Adventure, Fantasy, Comedy, Animation, Family",53
Our Kind of Traitor,"July 1, 2016",Thriller,57
Tropic Thunder,"August 13, 2008","Action, Adventure, Comedy, War",71
Trouble the Water,"August 22, 2008",Documentary,83
Twilight,"November 21, 2008","Drama, Thriller, Fantasy, Romance",56
U2 3D,"January 23, 2008","Music, Documentary",83
Untraceable,"January 25, 2008","Drama, Thriller, Crime",32
Valkyrie,"December 25, 2008","Drama, History, Thriller, War",56
Vantage Point,"February 22, 2008","Action, Drama, Thriller, Crime",40
Vicky Cristina Barcelona,"August 15, 2008","Drama, Romance",70
The Wackness,"July 3, 2008","Drama, Comedy, Romance",61
WALL-E,"June 27, 2008","Adventure, Sci-Fi, Romance, Animation, Family",95
Waltz with Bashir,"December 25, 2008","Biography, Drama, War, Animation",91
GujjuBhai: Most Wanted,"February 23, 2018",Comedy,0
"War, Inc.","May 23, 2008","Action, Thriller, Comedy, War",37
"Welcome Home, Roscoe Jenkins","February 8, 2008","Comedy, Romance",46
What Happens in Vegas,"May 9, 2008","Comedy, Romance",36
Witless Protection,"February 22, 2008","Comedy, Crime",17
Professor Marston & the Wonder Women,"October 13, 2017","Biography, Drama",68
The Wrestler,"December 17, 2008","Drama, Sport",81
The X Files: I Want to Believe,"July 25, 2008","Sci-Fi, Drama, Mystery, Thriller",47
Yes Man,"December 19, 2008","Comedy, Romance",46
Zack and Miri Make a Porno,"October 31, 2008","Drama, Comedy, Romance",56
(500) Days of Summer,"July 17, 2009","Drama, Comedy, Romance",76
12 Rounds,"March 27, 2009","Action, Thriller, Crime",38
17 Again,"April 17, 2009","Drama, Comedy, Romance",48
2012,"November 13, 2009","Action, Adventure, Sci-Fi, Drama, Thriller",49
Patch Adams,"December 25, 1998","Biography, Drama, Comedy",25
Adventureland,"April 3, 2009","Drama, Comedy, Romance",76
After.Life,"April 9, 2010","Drama, Thriller, Horror",36
Alien Trespass,"April 3, 2009","Sci-Fi, Thriller, Horror, Comedy",48
Aliens in the Attic,"July 31, 2009","Adventure, Sci-Fi, Fantasy, Family",42
All About Steve,"September 4, 2009",Comedy,17
Alvin and the Chipmunks: The Squeakquel,"December 23, 2009","Fantasy, Comedy, Romance, Music, Animation, Family",41
Amelia,"October 23, 2009","Adventure, Biography, Drama, Romance",37
American Violet,"April 17, 2009",Drama,56
Angels & Demons,"May 15, 2009","Mystery, Thriller",48
The Answer Man,"July 24, 2009","Comedy, Romance",44
Armored,"December 4, 2009","Action, Drama, Thriller",50
Astro Boy,"October 23, 2009","Action, Sci-Fi, Animation, Family",53
Avatar,"December 18, 2009","Action, Adventure, Sci-Fi, Fantasy",83
Away We Go,"June 5, 2009","Drama, Comedy, Romance",58
The Bad Lieutenant: Port of Call - New Orleans,"November 20, 2009","Drama, Crime",69
Bandslam,"August 14, 2009","Drama, Comedy, Romance, Music, Family",66
Battle for Terra,"May 1, 2009","Action, Adventure, Sci-Fi, Thriller, War, Animation",54
Beyond a Reasonable Doubt,"September 11, 2009","Drama, Mystery, Thriller, Crime",35
Big Fan,"August 28, 2009","Drama, Sport, Comedy, Crime",70
The Blind Side,"November 20, 2009","Biography, Drama, Sport",53
The Boondock Saints II: All Saints Day,"October 30, 2009","Action, Drama, Thriller, Crime",24
The Box,"November 6, 2009","Sci-Fi, Drama, Mystery, Thriller",47
Bride Wars,"January 9, 2009","Comedy, Romance",24
The Brothers Grimsby,"March 11, 2016","Action, Comedy",44
The Brothers Bloom,"May 15, 2009","Adventure, Drama, Comedy, Romance",55
Brothers at War,"March 13, 2009","War, Documentary",60
Brothers at War,"March 13, 2009","War, Documentary",60
C Me Dance,"April 3, 2009",Thriller,0
Capitalism: A Love Story,"September 23, 2009",Documentary,61
Carriers,"September 4, 2009","Drama, Thriller, Horror",0
A Christmas Carol,"November 6, 2009","Drama, Fantasy, Animation, Family",55
Cloudy with a Chance of Meatballs,"September 18, 2009","Comedy, Animation, Family",66
Cold Souls,"August 7, 2009","Drama, Comedy",69
The Collector,"July 31, 2009","Thriller, Horror, Crime",29
Confessions of a Shopaholic,"February 6, 2009","Comedy, Romance",38
Coraline,"February 6, 2009","Adventure, Fantasy, Animation, Family",80
Couples Retreat,"October 9, 2009",Comedy,23
Alien: Covenant,"May 19, 2017","Action, Adventure, Sci-Fi, Thriller, Horror",65
Crank: High Voltage,"April 17, 2009","Action, Thriller, Crime",41
Crazy Heart,"December 16, 2009","Drama, Romance, Music",83
Miller's Crossing,"October 5, 1990","Drama, Thriller, Crime",66
Crossing Over,"February 27, 2009",Drama,38
Dance Flick,"May 22, 2009","Action, Comedy, Music",40
Did You Hear About the Morgans?,"December 18, 2009","Drama, Comedy, Romance",27
District 9,"August 14, 2009","Action, Sci-Fi, Thriller",81
Drag Me to Hell,"May 29, 2009","Thriller, Horror",83
Dragonball: Evolution,"April 10, 2009","Action, Adventure, Sci-Fi, Thriller, Fantasy",45
Duplicity,"March 20, 2009","Thriller, Romance",69
Echelon Conspiracy,"February 27, 2009","Action, Mystery, Thriller, Crime",26
Every Little Step,"April 17, 2009","Music, Documentary",76
Extract,"September 4, 2009","Comedy, Romance, Crime",61
Fame,"September 25, 2009","Drama, Comedy, Romance, Family, Musical",39
Fantastic Mr. Fox,"November 13, 2009","Adventure, Comedy, Crime, Animation, Family",83
The Fast and the Furious,"June 22, 2001","Action, Thriller, Crime",58
Fighting,"April 24, 2009","Action, Drama, Sport",61
Final Destination,"March 17, 2000","Thriller, Horror",36
Fired Up!,"February 20, 2009",Comedy,31
"Food, Inc.","June 12, 2009",Documentary,80
Funny People,"July 31, 2009","Drama, Comedy",60
G-Force,"July 24, 2009","Action, Adventure, Fantasy, Comedy, Family",41
G.I. Joe: The Rise of Cobra,"August 7, 2009","Action, Adventure, Sci-Fi, Thriller",32
Gamer,"September 4, 2009","Action, Sci-Fi, Thriller",27
Gentlemen Broncos,"October 30, 2009",Comedy,28
Ghosts of Girlfriends Past,"May 1, 2009","Fantasy, Comedy, Romance",34
Gigantic,"November 25, 2020","Adventure, Fantasy, Comedy, Animation, Family, Musical",0
The Girlfriend Experience,"May 22, 2009",Drama,66
"The Goods: Live Hard, Sell Hard","August 14, 2009",Comedy,39
The Great Buck Howard,"March 20, 2009",Comedy,63
Halloween II (2009),"August 28, 2009","Thriller, Horror",35
The Hangover,"June 5, 2009","Comedy, Crime",73
Hannah Montana: The Movie,"April 10, 2009","Drama, Comedy, Romance, Music, Family",47
Harry Potter and the Half-Blood Prince,"July 15, 2009","Action, Adventure, Mystery, Fantasy, Romance, Family",78
The Haunting in Connecticut,"March 27, 2009","Drama, Thriller, Horror",33
Holes,"April 18, 2003","Adventure, Mystery, Comedy, Family",71
Spider-Man: Homecoming,"July 7, 2017","Action, Adventure, Sci-Fi, Fantasy, Family",73
Horsemen,"March 6, 2009","Drama, Mystery, Thriller, Crime",0
Hotel for Dogs,"January 16, 2009","Comedy, Family",51
Humpday,"July 10, 2009",Comedy,74
I Can Do Bad All by Myself,"September 11, 2009","Drama, Comedy",55
I Hope They Serve Beer in Hell,"September 25, 2009",Comedy,26
The Hurt Locker,"June 26, 2009","Action, Drama, Thriller, War",94
"I Love You, Beth Cooper","July 10, 2009",Comedy,32
"I Love You, Man","March 20, 2009","Comedy, Romance",70
Ice Age: Dawn of the Dinosaurs,"July 1, 2009","Action, Adventure, Comedy, Romance, Animation, Family",50
I Can Only Imagine,"March 16, 2018","Drama, Family",27
The Imaginarium of Doctor Parnassus,"December 25, 2009","Adventure, Mystery, Fantasy",65
The Informant!,"September 18, 2009","Drama, Thriller, Comedy",66
The Informers,"April 24, 2009","Drama, Thriller, Crime",20
Inglourious Basterds,"August 21, 2009","Drama, Thriller, War",69
Austin Powers: International Man of Mystery,"May 2, 1997","Action, Adventure, Comedy, Crime",51
Invictus,"December 11, 2009","Biography, Drama, History, Sport",74
An Invisible Sign,"May 6, 2011",Drama,23
The Invention of Lying,"October 2, 2009","Fantasy, Comedy, Romance",58
It Might Get Loud,"August 14, 2009","Music, Documentary",70
The Janky Promoters,"July 31, 2009","Comedy, Crime, Music",0
Jonas Brothers: The 3D Concert Experience,"February 27, 2009","Music, Documentary",45
Julie & Julia,"August 7, 2009","Biography, Drama, Comedy, Romance",66
Knowing,"March 20, 2009","Action, Sci-Fi, Drama, Mystery, Thriller",41
Land of the Lost,"June 5, 2009","Adventure, Sci-Fi, Comedy",32
The Last House on the Left,"March 13, 2009","Drama, Thriller, Horror, Crime",42
Law Abiding Citizen,"October 16, 2009","Drama, Thriller, Crime",34
Life During Wartime,"July 23, 2010","Drama, Comedy",69
The Lightkeepers,"May 7, 2010",Comedy,41
The Limits of Control,"May 1, 2009","Drama, Mystery, Thriller, Crime",41
Love Happens,"September 18, 2009","Drama, Romance",33
Love N' Dancing,"May 8, 2009","Drama, Romance",43
The Lovely Bones,"December 11, 2009","Drama, Thriller, Fantasy",42
Lymelife,"April 8, 2009","Drama, Comedy",64
Madea Goes to Jail,"February 20, 2009","Drama, Comedy, Crime",50
Anger Management,"April 11, 2003","Comedy, Romance",52
Me and Orson Welles,"November 25, 2009",Drama,73
The Men Who Stare at Goats,"November 6, 2009","Comedy, War",54
The Merry Gentleman,"May 1, 2009",Drama,55
Kill the Messenger,"October 10, 2014","Biography, Drama, Mystery, Thriller, Crime",60
Miss March,"March 13, 2009",Comedy,7
Monsters vs Aliens,"March 27, 2009","Action, Adventure, Sci-Fi, Comedy, Animation, Family",56
Motherhood,"October 23, 2009",Comedy,34
My Life in Ruins,"June 5, 2009","Comedy, Romance",34
My One and Only,"August 21, 2009","Drama, Comedy",62
New in Town,"January 30, 2009","Comedy, Romance",29
The Twilight Saga: New Moon,"November 20, 2009","Drama, Fantasy, Romance",44
"New York, I Love You","October 16, 2009","Drama, Romance",49
