Name,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antarctica,Antigua & Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Bouvet Island,Brazil,British Indian Ocean Territory,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Republic of the Congo,Democratic Republic of the Congo,Cook Islands,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Côte d’Ivoire,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Guinea,Eritrea,Estonia,Ethiopia,Falkland Islands,Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,French Southern Territories,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea Bissau,Guinea-Bissau,Guyana,Haiti,Heard & McDonald Islands,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macau,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Islands,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Rwanda,Réunion,Samoa,San Marino,Saudi Arabia,Senegal,Republic of Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Georgia & South Sandwich Islands,South Korea,South Sudan,Spain,Sri Lanka,St. Barthélemy,St. Helena,St. Kitts & Nevis,St. Lucia,St. Martin,St. Pierre & Miquelon,St. Vincent & Grenadines,Sudan,Suriname,Svalbard & Jan Mayen,Swaziland,Sweden,Switzerland,Syria,São Tomé & Príncipe,Taiwan,Tajikistan,United Republic of Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad & Tobago,Tunisia,Turkey,Turkmenistan,Turks & Caicos Islands,Tuvalu,U.S. Outlying Islands,U.S. Virgin Islands,Uganda,Ukraine,United Arab Emirates,England,USA,Uruguay,Uzbekistan,Vanuatu,Vatican City,Venezuela,Vietnam,Wallis & Futuna,Western Sahara,Yemen,Zambia,Zimbabwe,Åland Islands,Somalila
Marwencol,0,0,0,0,0,0,0,0,0,9,0,0,75,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,74,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,32,0,100,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,24,0,8,13,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,35,93,0,0,0,0,0,0,0,0,0,0,0,0,0
Megamind,0,0,0,0,0,0,0,0,0,10,0,0,37,12,0,0,0,39,0,0,21,0,0,0,0,0,0,0,0,3,0,0,0,16,0,0,0,0,35,0,0,0,0,0,15,2,0,0,8,0,0,0,0,0,19,0,0,0,11,0,19,0,0,0,0,21,0,0,0,0,0,0,0,0,14,19,0,0,0,0,0,37,11,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,18,12,12,0,32,0,10,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,26,0,0,0,0,0,0,0,0,15,0,0,0,100,0,0,8,0,0,0,0,0,12,0,36,0,0,14,0,0,0,0,15,0,27,0,0,0,0,0,6,44,0,5,20,51,30,20,3,0,0,0,0,14,0,19,0,0,37,0,9,0,0,0,26,0,8,0,17,23,0,0,0,0,0,0,0,0,0,0,0,22,14,0,0,4,0,0,17,0,0,0,0,0,0,5,0,0,0,0,0,0,3,28,31,34,0,0,0,0,6,17,0,0,0,0,0,0,0
Middle Men,0,0,0,0,0,0,0,0,0,11,0,0,78,12,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,4,0,0,0,20,0,0,0,0,74,0,0,0,0,0,9,5,0,0,7,0,0,0,0,0,23,0,0,0,11,0,20,0,0,0,0,18,0,0,0,0,0,0,0,0,23,9,0,0,0,0,0,0,11,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,26,28,0,29,7,13,0,69,0,16,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,13,0,0,0,0,0,20,0,62,0,0,0,0,0,0,0,27,0,40,0,0,0,0,0,0,50,0,7,12,0,0,17,2,0,0,0,0,17,0,20,0,0,59,0,0,0,0,0,52,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,25,17,0,0,9,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,74,64,100,0,0,0,0,0,5,0,0,0,0,0,0,0
Mirrors 2,0,0,10,0,0,0,0,0,0,11,0,0,37,30,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,5,0,0,0,26,0,0,0,0,28,0,0,0,0,0,11,0,0,0,6,0,0,0,0,0,43,0,0,0,34,0,23,0,0,0,0,26,0,0,0,54,0,0,0,0,28,14,0,0,0,0,0,0,39,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,11,33,0,27,8,17,0,27,0,15,7,0,1,0,24,0,0,0,0,0,0,0,38,0,0,0,0,0,45,0,0,0,0,0,15,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,14,0,0,0,0,0,27,0,46,0,0,0,0,0,0,0,27,0,36,0,0,0,0,0,0,42,0,31,24,0,0,100,14,0,0,0,0,12,0,44,0,0,26,0,42,23,0,0,28,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,29,18,0,0,0,0,0,5,0,0,0,0,0,24,12,0,0,0,0,0,0,0,26,43,27,0,0,0,0,6,5,0,0,0,0,0,0,0
Morning Glory,0,0,0,0,0,0,0,0,0,16,0,0,83,24,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,7,0,0,0,14,0,0,100,0,65,0,0,0,0,0,13,4,0,0,5,0,0,0,0,0,31,0,0,0,13,0,18,0,0,0,0,6,0,0,0,0,0,0,0,0,23,13,0,0,0,0,0,0,20,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,35,14,0,12,24,0,0,36,0,15,13,0,7,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,22,0,53,0,0,16,0,0,0,0,23,0,16,0,0,0,0,0,7,46,0,8,14,0,0,19,4,0,0,0,0,6,0,17,0,0,79,0,0,0,0,0,46,0,20,0,22,0,0,0,0,0,0,0,0,0,0,0,0,23,22,0,0,11,0,0,30,0,0,0,0,0,0,5,0,0,0,0,0,0,4,29,44,80,0,0,0,0,0,18,0,0,0,0,0,0,0
Mother and Child,0,0,7,0,0,0,0,0,0,2,0,0,28,0,0,0,0,39,0,0,8,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,29,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,3,55,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,44,10,6,0,39,0,8,5,74,1,0,0,0,54,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,24,0,0,74,0,0,0,0,11,0,31,0,0,0,0,0,0,100,0,2,5,0,0,6,0,0,0,0,0,6,0,0,0,0,50,0,0,0,0,0,76,0,6,0,3,51,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,2,0,38,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,42,26,31,0,0,0,0,0,3,0,0,0,0,0,0,0
My Soul to Take,0,0,0,0,0,0,0,0,0,23,0,0,54,35,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,11,0,0,0,35,0,0,0,0,90,0,0,0,0,0,17,0,0,0,11,0,0,0,0,0,57,0,0,0,19,0,22,0,0,0,0,11,0,0,0,0,0,0,0,0,36,23,0,0,0,0,0,0,38,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,26,15,0,0,44,0,20,63,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,18,0,0,0,0,0,26,0,58,0,0,0,0,0,0,0,34,0,55,0,0,0,0,0,14,82,0,35,40,63,0,39,8,0,0,0,0,15,0,46,0,0,55,0,33,42,0,0,73,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,40,20,0,0,16,0,0,29,0,0,0,0,0,0,8,0,0,0,0,0,0,0,29,48,100,0,0,0,0,16,15,0,0,0,0,0,0,0
Nanny McPhee Returns,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,13,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,12,0,0,0,0,0,25,0,59,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,75,0,0,0,100,0,0,0,0,0,0,0,21,0,0,0,0,45,0,0,0,0,0,34,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,21,54,0,0,0,0,0,0,0,0,0,0,0,0,0
Never Let Me Go,0,0,17,0,0,0,0,0,0,21,0,0,60,14,0,0,0,26,0,0,28,0,0,0,0,19,29,0,0,25,0,0,0,24,0,0,0,0,39,0,0,0,0,0,32,4,0,0,11,0,0,0,0,24,35,0,0,0,19,0,21,0,0,0,13,22,0,0,0,0,0,0,0,0,18,22,0,0,0,0,0,99,13,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,33,22,0,18,25,15,0,51,0,20,17,0,5,0,0,0,26,0,0,0,0,0,0,46,0,0,0,0,35,0,0,0,0,0,25,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,16,0,0,0,0,0,24,0,52,0,0,19,0,0,0,0,30,0,25,0,0,0,0,0,11,100,0,26,26,0,0,52,8,0,0,0,0,15,0,40,0,0,54,0,22,32,0,0,72,0,12,0,10,0,0,0,0,0,0,0,0,0,0,0,0,38,18,0,0,13,0,0,13,0,0,0,0,0,32,17,0,0,0,0,0,0,10,29,45,35,0,0,0,0,10,9,0,0,0,0,0,0,0
The Next Three Days,0,0,17,0,0,0,0,0,0,12,0,0,62,23,0,0,0,27,0,0,31,0,0,0,0,0,52,0,0,4,0,0,0,32,0,0,0,0,44,0,0,0,0,0,15,5,0,0,5,0,0,0,0,0,72,0,0,49,16,0,52,0,0,0,0,30,0,0,0,51,0,0,0,0,38,7,0,0,0,0,0,59,15,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,27,36,0,21,10,17,0,64,0,35,75,0,2,0,34,0,0,0,0,46,0,0,0,45,0,0,0,0,20,0,0,85,0,0,22,0,0,100,0,0,0,0,0,8,0,0,0,0,0,0,26,0,0,0,0,0,50,0,40,0,0,0,0,0,0,0,66,0,41,0,0,0,0,0,0,39,0,21,31,0,36,65,3,0,0,0,0,38,0,64,0,0,40,0,15,31,0,0,35,0,11,0,6,29,0,0,0,0,0,0,0,0,0,0,0,60,25,0,0,11,0,0,27,0,0,0,0,0,33,22,0,0,0,0,0,0,3,44,35,27,0,0,0,0,5,5,0,0,0,0,0,0,0
Night Catches Us,0,0,0,0,0,0,0,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,32,100,0,0,0,0,0,0,0,0,0,0,0,0,0
A Nightmare on Elm Street,0,0,20,0,0,0,0,0,0,27,0,0,72,54,0,0,0,59,0,0,35,0,0,0,0,0,0,0,0,12,0,0,0,43,0,0,0,0,65,0,0,0,0,0,33,0,0,0,19,0,0,0,0,0,73,0,0,0,13,0,44,0,0,0,0,57,0,0,0,0,0,0,0,0,26,9,0,0,0,0,0,79,45,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,32,17,0,46,18,32,0,69,0,30,11,0,2,0,48,0,0,0,0,60,0,0,48,0,0,0,0,0,31,0,0,0,0,0,39,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,22,0,0,0,0,0,34,0,54,0,0,0,0,0,0,0,65,0,100,0,0,0,0,0,16,67,0,15,37,88,0,99,6,0,0,0,0,38,0,82,0,0,37,0,0,32,0,0,35,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,47,26,0,0,10,0,0,26,0,0,0,0,0,42,14,0,0,0,0,0,0,0,49,67,74,0,0,0,0,18,18,0,0,0,0,0,0,0
The Other Guys,0,0,0,0,0,0,0,0,0,11,0,0,100,12,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,3,0,0,0,19,0,0,0,0,90,0,0,0,0,0,12,0,0,0,5,0,0,0,0,0,49,0,0,0,0,0,48,0,0,0,0,19,0,0,0,60,0,0,0,0,31,7,0,0,0,0,0,0,9,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,21,18,0,19,10,11,0,92,0,28,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,31,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,13,0,0,0,0,0,29,0,89,0,0,0,0,0,0,0,53,0,29,0,0,0,0,0,0,40,0,9,23,0,0,35,3,0,0,0,0,22,0,32,0,0,61,0,0,32,0,0,54,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,53,14,0,0,8,0,0,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,41,70,96,0,0,0,0,0,8,0,0,0,0,0,0,0
Our Family Wedding,0,0,6,0,0,0,0,0,0,2,0,0,15,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,2,0,0,11,0,0,1,100,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,15,0,19,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,12,0,5,6,49,0,21,0,0,0,0,0,7,0,0,0,0,8,0,0,12,0,0,49,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,12,27,0,0,0,0,0,1,0,0,0,0,0,0,0
Paper Man,0,0,0,0,0,0,0,0,0,5,0,0,46,12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,38,0,0,0,0,0,6,5,0,0,4,0,0,0,0,0,11,0,0,0,0,0,21,0,0,0,0,15,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,12,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,44,8,0,74,12,0,0,67,0,9,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,49,0,0,0,0,0,0,0,21,0,92,0,0,0,0,0,6,100,0,6,9,0,0,10,7,0,0,0,0,13,0,0,0,0,72,0,0,0,0,0,56,0,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,12,0,0,12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,46,52,46,0,0,0,0,0,7,0,0,0,0,0,0,0
The Voices,0,0,0,0,0,0,0,0,0,13,0,0,96,25,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,12,0,0,0,22,0,0,0,0,86,0,0,0,0,0,15,6,0,0,7,0,0,0,0,0,23,0,0,0,16,0,26,0,0,0,0,18,0,0,0,0,0,0,0,0,21,29,0,0,0,0,0,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,22,17,0,14,15,0,0,88,0,19,14,0,4,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,67,0,82,0,0,39,0,0,0,0,30,0,26,0,0,0,0,0,9,75,0,18,22,0,0,16,7,0,0,0,0,11,0,21,0,0,50,0,0,0,0,0,73,0,12,0,13,0,0,0,0,0,0,0,0,0,0,0,0,28,22,0,0,7,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,6,28,92,100,0,0,0,0,0,6,0,0,0,0,0,0,0
Accidental Love,0,0,19,0,0,0,0,0,0,18,0,0,47,12,0,0,70,48,0,0,27,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,33,0,0,0,0,0,15,0,0,0,14,0,0,0,0,0,42,0,0,66,15,0,18,0,0,0,0,26,0,0,0,0,0,0,0,0,11,20,0,0,0,0,0,0,7,93,0,31,0,0,0,0,0,0,0,0,0,0,0,0,18,23,0,33,22,23,0,64,0,26,49,0,1,0,27,0,45,0,0,30,0,0,0,53,0,0,0,0,0,0,0,82,0,0,48,0,0,100,0,0,0,0,0,12,0,0,0,0,0,0,26,0,0,0,0,0,17,0,58,0,0,49,0,0,0,0,20,0,67,0,0,0,0,0,0,91,0,19,20,0,46,85,3,0,0,0,0,21,0,34,0,0,63,0,0,0,0,0,84,0,23,0,17,33,0,0,0,0,0,0,0,0,0,0,0,19,17,0,0,9,0,0,52,0,0,0,0,0,40,11,0,0,0,0,0,0,0,59,31,32,0,0,0,0,7,3,0,0,0,0,0,0,0
Da Sweet Blood of Jesus,0,0,0,0,0,0,0,0,0,19,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Fifty Shades of Grey,0,0,15,0,0,0,0,0,0,3,0,0,28,29,0,0,0,25,0,0,11,0,0,0,0,14,0,0,0,2,0,0,0,11,0,0,0,0,26,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,13,0,0,32,11,0,38,0,0,0,0,22,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,26,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,21,8,0,24,31,11,11,27,0,9,3,72,1,0,17,0,24,0,0,20,0,0,0,42,0,0,0,0,14,0,0,0,0,0,30,0,0,0,0,0,0,100,0,5,0,0,0,0,0,0,17,0,0,0,0,0,13,0,28,0,0,20,0,0,0,0,38,0,47,0,0,0,0,0,0,96,0,4,12,37,27,46,1,0,0,0,0,14,0,17,0,0,41,0,13,0,0,0,45,0,7,0,3,33,0,0,0,0,0,0,0,0,0,0,0,28,19,0,0,6,0,0,35,0,0,0,0,83,31,6,0,0,0,0,0,0,0,28,27,25,0,0,0,0,4,4,0,0,0,0,0,0,0
Kingsman: The Secret Service,0,0,13,0,0,0,0,0,0,6,0,0,52,14,0,0,0,76,0,0,16,0,0,0,0,0,36,0,0,5,0,0,0,11,0,0,0,0,34,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,36,0,0,57,9,0,27,0,0,0,0,33,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,14,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,36,8,0,58,32,17,0,42,0,19,4,88,1,0,32,0,31,0,0,41,0,0,0,0,0,0,0,0,18,0,0,86,0,0,94,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,15,0,0,0,0,0,23,0,57,0,0,26,0,0,0,0,43,49,98,0,0,0,0,0,0,89,0,5,11,47,73,49,2,0,0,0,0,22,0,50,0,0,80,0,0,20,0,0,41,0,25,0,4,66,0,0,0,0,0,0,0,0,0,0,0,36,14,0,0,10,0,0,24,0,0,0,0,100,0,15,0,0,0,0,0,0,0,58,45,36,0,0,0,0,0,9,0,0,0,0,0,0,0
The Last 5 Years,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,44,5,0,0,94,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,83,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,83,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,100,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,93,91,0,0,0,0,0,5,0,0,0,0,0,0,0
The Duff,0,0,24,0,0,0,0,0,0,25,0,0,93,13,0,0,0,0,0,0,20,0,0,0,0,0,65,0,0,14,0,0,0,22,0,0,0,0,60,0,0,0,0,0,34,0,0,0,20,0,0,0,0,26,45,0,0,0,20,0,23,0,0,27,30,17,0,0,0,0,0,0,0,0,12,15,0,0,0,0,0,0,9,0,0,26,0,0,0,0,32,0,0,0,0,0,0,0,13,25,0,14,13,18,0,74,0,25,15,0,1,0,30,0,27,0,0,41,0,0,0,45,0,0,0,0,22,0,0,0,0,0,27,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,19,0,73,0,0,21,0,0,0,0,30,0,29,0,0,0,0,0,18,56,0,47,19,68,0,42,2,0,0,0,0,25,0,53,0,0,32,0,20,29,0,0,55,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,26,15,0,0,6,0,0,13,0,0,0,0,100,30,11,0,0,0,0,0,0,0,42,49,48,34,0,0,0,22,4,0,0,0,0,0,0,0
Hot Tub Time Machine 2,0,0,15,0,0,0,0,0,0,13,0,0,81,12,0,0,0,32,0,0,15,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,100,0,0,0,0,0,12,0,0,0,7,0,0,0,0,0,52,0,0,0,13,0,22,0,0,0,0,16,0,0,0,59,0,0,0,0,33,8,0,0,0,0,0,0,12,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,18,10,0,24,13,18,0,63,0,28,4,0,1,0,0,0,0,0,0,40,0,0,47,0,0,0,0,0,26,0,0,0,0,0,28,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,12,0,0,0,0,0,17,0,74,0,0,0,0,0,0,0,33,0,57,0,0,0,0,0,0,65,0,14,18,61,0,25,2,0,0,0,0,19,0,43,0,0,38,0,0,0,0,0,53,0,12,0,3,51,0,0,0,0,0,0,0,0,0,0,0,24,12,0,0,8,0,0,13,0,0,0,0,0,28,8,0,0,0,0,0,0,0,33,58,87,0,0,0,0,7,4,0,0,0,0,0,0,0
"McFarland, USA",0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,4,9,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,0,0,0,0,3,0,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0
