Name,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antarctica,Antigua & Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia & Herzegovina,Botswana,Bouvet Island,Brazil,British Indian Ocean Territory,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Congo - Brazzaville,Congo - Kinshasa,Cook Islands,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czechia,Côte d’Ivoire,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Falkland Islands (Islas Malvinas),Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,French Southern Territories,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Heard & McDonald Islands,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macau,Macedonia (FYROM),Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar (Burma),Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Islands,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Rwanda,Réunion,Samoa,San Marino,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Georgia & South Sandwich Islands,South Korea,South Sudan,Spain,Sri Lanka,St. Barthélemy,St. Helena,St. Kitts & Nevis,St. Lucia,St. Martin,St. Pierre & Miquelon,St. Vincent & Grenadines,Sudan,Suriname,Svalbard & Jan Mayen,Swaziland,Sweden,Switzerland,Syria,São Tomé & Príncipe,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad & Tobago,Tunisia,Turkey,Turkmenistan,Turks & Caicos Islands,Tuvalu,U.S. Outlying Islands,U.S. Virgin Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,The 40-Year-Old Virgin,Uzbekistan,Vanuatu,Vatican City,Venezuela,Vietnam,Wallis & Futuna,Western Sahara,Yemen,Zambia,Zimbabwe,Åland Islands
The 11th Hour,0,0,0,0,0,0,0,0,0,14,0,0,69,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,7,0,0,0,17,0,0,0,0,100,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,39,0,0,0,0,12,0,0,0,0,0,0,0,0,20,14,0,0,0,0,0,0,15,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,44,34,0,19,7,8,0,56,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,35,0,69,0,0,0,0,0,0,0,47,0,52,0,0,0,0,0,0,83,0,9,36,0,0,26,5,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,56,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,13,0,0,0,0,0,0,5,0,0,0,0,0,0,0,34,55,77,0,0,0,0,0,0,0,0,0,0,0,0,0
1408,0,0,19,0,0,0,0,0,0,26,0,0,28,29,61,0,0,0,0,100,32,0,0,0,0,0,0,0,0,46,0,0,0,39,0,0,0,0,36,0,0,0,0,0,27,22,0,0,16,0,0,0,0,0,34,0,0,0,41,0,32,0,0,0,0,46,0,0,0,57,0,0,0,0,30,25,0,0,0,0,0,0,34,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,26,63,0,18,6,18,0,20,0,27,41,0,12,0,0,71,0,0,0,0,0,0,50,0,0,0,0,0,41,0,0,0,0,0,13,0,0,0,0,0,0,0,0,23,0,77,0,0,0,0,24,0,0,0,0,0,31,0,32,0,0,28,0,0,0,0,56,0,23,0,0,0,0,0,10,28,0,68,24,0,0,46,95,0,0,0,0,31,0,36,0,0,22,0,39,0,0,0,15,0,38,0,29,0,0,0,0,0,0,0,0,0,0,0,0,38,25,0,0,30,0,0,15,0,0,0,0,0,0,49,0,0,0,0,0,0,88,25,24,43,0,0,0,0,0,19,10,0,0,0,0,0,0
3:10 to Yuma,0,0,0,0,0,0,0,0,0,19,0,0,60,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,38,12,0,0,0,0,0,0,9,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,35,8,0,0,66,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,58,0,0,0,0,0,0,0,100,0,79,0,0,0,0,0,0,18,0,17,37,0,0,47,0,0,0,0,0,25,0,85,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,56,61,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Days of Night,0,0,15,0,0,0,0,0,0,7,0,0,45,37,0,0,0,22,0,0,18,0,0,0,0,0,34,0,0,3,0,0,0,17,0,0,0,0,53,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,39,0,0,0,13,0,31,0,0,0,0,27,0,0,0,0,0,0,0,0,30,5,0,0,0,0,0,46,37,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,15,20,0,26,23,9,0,45,0,13,4,0,2,0,21,0,0,0,0,33,0,0,0,0,0,0,0,0,20,0,0,0,0,0,30,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,16,0,0,0,0,0,24,0,45,0,0,0,0,0,0,0,36,0,100,0,0,0,0,0,0,73,0,13,22,34,0,42,2,0,0,0,0,25,0,41,0,0,43,0,17,22,0,0,22,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,36,19,0,0,5,0,0,18,0,0,0,0,0,28,9,0,0,0,0,0,0,0,34,46,46,0,0,0,0,0,5,4,0,0,0,0,0,0
300,0,0,36,0,0,0,0,0,0,57,0,0,57,67,0,0,0,45,0,63,49,0,0,0,0,44,0,0,0,82,0,0,0,57,0,0,0,0,67,0,0,0,0,0,46,68,0,0,49,0,0,0,0,50,60,0,0,0,69,0,48,0,0,0,47,35,0,0,0,0,0,0,0,0,49,51,0,0,0,0,0,0,78,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,45,65,0,57,46,38,0,41,0,46,69,0,39,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,33,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,40,0,0,0,0,0,54,0,51,0,0,40,0,0,0,0,54,0,65,0,0,0,0,0,40,51,0,66,48,0,0,72,78,0,0,0,0,29,0,59,0,0,51,0,63,60,0,0,49,0,47,0,62,0,0,0,0,0,0,0,0,0,0,0,0,53,55,0,0,62,0,0,85,0,0,0,0,0,0,50,0,0,0,0,0,0,71,53,48,74,0,0,0,0,0,38,50,0,0,0,0,0,0
Across the Universe,0,0,0,0,0,0,0,0,0,99,0,0,55,14,0,0,0,0,0,0,17,0,0,0,0,29,0,0,0,42,0,0,0,0,0,0,0,0,100,0,0,0,0,0,93,5,0,0,33,0,0,0,0,57,23,0,0,0,24,0,34,0,0,0,32,8,0,0,0,0,0,0,0,0,21,17,0,0,0,0,0,75,13,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,27,18,0,8,28,0,0,35,0,47,70,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,17,0,52,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,32,67,0,20,33,52,0,13,10,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,25,0,29,0,40,0,0,0,0,0,0,0,0,0,0,0,0,29,17,0,0,14,0,0,17,0,0,0,0,0,0,19,0,0,0,0,0,0,6,16,30,86,79,79,0,0,0,22,6,0,0,0,0,0,0
Adrift in Manhattan,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,16,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,16,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,59,0,0,0,0,0,0,0,0,0,0,0,0,0
Adventures of Johnny Tao,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghan Knights,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,65,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,20,0,0,0,0,0,0,0,0,0,0,0,0,0
After Sex,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,19,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,70,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,22,2,0,0,20,0,2,1,61,0,0,0,0,85,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,3,0,15,0,0,61,0,0,0,0,3,0,26,0,0,0,0,0,0,22,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,15,0,0,0,0,0,50,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,49,0,1,0,0,0,0,0,61,0,15,19,21,0,0,0,0,0,0,1,0,0,0,100,80,0
Alibi,0,0,11,0,0,0,0,0,0,3,0,0,31,23,0,0,0,0,0,0,40,0,0,0,0,0,50,0,0,16,0,0,0,12,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,61,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,100,63,0,0,0,0,0,0,21,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,16,62,0,10,28,0,0,25,0,6,36,0,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,23,0,24,0,0,23,0,0,0,0,15,0,10,0,0,0,0,0,0,24,0,72,13,0,0,11,4,0,0,0,0,0,0,51,0,0,18,0,26,34,0,0,15,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,26,0,0,4,0,0,3,0,0,0,0,0,19,2,0,0,0,0,0,0,4,13,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice Upside Down,0,0,0,0,0,0,0,0,0,34,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,78,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,29,0,33,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,21,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,69,0,0,0,0,0,0,0,0,0,0,0,0,0
Aliens vs. Predator: Requiem,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,30,53,0,0,0,0,0,0,0,0,0,0,0,0,0
All the Days Before Tomorrow,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,72,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,42,37,82,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvin and the Chipmunks,0,0,0,0,0,0,0,0,0,2,0,0,37,4,0,0,0,13,0,0,14,0,0,0,0,0,0,0,0,2,0,0,0,19,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,9,0,0,0,0,21,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,3,36,0,13,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,10,21,6,0,36,0,9,4,100,1,0,0,0,32,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,39,0,0,24,0,0,0,0,12,0,27,0,0,0,0,0,0,49,0,2,7,42,38,29,1,0,0,0,0,15,0,15,0,0,39,0,0,17,0,0,34,0,4,0,2,70,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,11,0,0,0,0,98,0,2,0,0,0,0,0,0,0,44,32,38,0,0,0,0,0,0,13,0,0,0,0,0,0
An American Crime,0,0,0,0,0,0,0,0,0,52,0,0,45,47,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,66,0,0,0,0,0,72,8,0,0,41,0,0,0,0,0,34,0,0,0,0,0,43,0,0,0,0,13,0,0,0,0,0,0,0,0,72,37,0,0,0,0,0,0,56,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,12,10,0,0,47,0,30,13,0,3,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,61,0,0,0,0,0,18,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,29,0,39,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,30,20,0,22,33,0,0,25,0,0,0,0,0,56,0,0,0,0,33,0,24,0,0,0,20,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,100,26,0,0,13,0,0,5,0,0,0,0,0,0,25,0,0,0,0,0,0,0,27,30,91,0,0,0,0,0,24,0,0,0,0,0,0,0
American Gangster,0,0,16,0,0,0,0,0,0,9,0,0,42,25,0,0,0,0,0,0,42,0,0,0,0,0,45,0,0,4,0,0,0,17,0,0,0,0,54,0,0,0,0,0,11,0,0,0,5,0,0,0,0,0,40,0,0,0,18,0,36,0,0,37,0,12,0,0,0,0,0,0,0,0,30,39,0,0,0,0,0,0,28,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,15,16,0,15,11,7,0,72,0,13,41,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,17,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,24,0,0,0,0,0,45,0,40,0,0,26,0,0,0,0,46,0,19,0,0,0,0,0,5,19,0,42,22,45,0,47,3,0,0,0,0,15,0,39,0,0,25,0,21,30,0,0,48,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,38,33,0,0,0,0,0,15,0,0,0,0,0,30,10,0,0,0,0,0,0,3,24,51,53,0,0,0,0,0,0,3,0,0,0,0,0,0
American Pastime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Americanizing Shelley,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Anamorph,0,0,0,0,0,0,0,0,0,15,0,0,42,97,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,6,0,0,0,14,0,0,0,0,37,0,0,0,0,0,14,12,0,0,7,0,0,0,0,0,51,0,0,0,21,0,53,0,0,0,0,9,0,0,0,37,0,0,0,0,32,24,0,0,0,0,0,0,100,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,8,3,13,0,22,0,29,58,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,16,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,29,0,34,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,6,17,0,28,25,0,0,43,13,0,0,0,0,5,0,43,0,0,21,0,29,40,0,0,0,0,13,0,34,0,0,0,0,0,0,0,0,0,0,0,0,62,55,0,0,17,0,0,9,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Aqua Teen Hunger Force Colon Movie Film for Theaters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Arctic Tale,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,8,0,0,0,34,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,60,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,75,0,0,0,0,0,0,0,0,0,0,0,0,0
Are We Done Yet?,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,31,0,0,0,0,0,0,0,0,0,0,0,0,0
The Assassination of Jesse James by the Coward Robert Ford,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,9,0,0,0,0,16,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,100,5,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,8,4,16,0,24,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,19,0,16,0,0,0,0,0,0,5,0,10,13,0,0,15,0,0,0,0,0,13,0,26,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,6,0,0,4,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,3,0,0,0,0,0,0
