Source,Target,Type
Erika Christensen,Keri Russell,Undirected
Emma Roberts,Joanna 'JoJo' Levesque,Undirected
Emma Roberts,Sara Paxton,Undirected
Emma Roberts,Jake McDorman,Undirected
Joanna 'JoJo' Levesque,Sara Paxton,Undirected
Joanna 'JoJo' Levesque,Jake McDorman,Undirected
Sara Paxton,Jake McDorman,Undirected
Dane Cook,Jessica Simpson,Undirected
Dane Cook,Dax Shepard,Undirected
Dane Cook,Andy Dick,Undirected
Jessica Simpson,Dax Shepard,Undirected
Jessica Simpson,Andy Dick,Undirected
Dax Shepard,Andy Dick,Undirected
Channing Tatum,Jenna Dewan Tatum,Undirected
Channing Tatum,Damaine Radcliff,Undirected
Channing Tatum,De'Shawn Washington,Undirected
Jenna Dewan Tatum,Damaine Radcliff,Undirected
Jenna Dewan Tatum,De'Shawn Washington,Undirected
Damaine Radcliff,De'Shawn Washington,Undirected
Ryan Gosling,Emily Mortimer,Undirected
Ryan Gosling,Paul Schneider,Undirected
Ryan Gosling,R.D. Reid,Undirected
Emily Mortimer,Paul Schneider,Undirected
Emily Mortimer,R.D. Reid,Undirected
Paul Schneider,R.D. Reid,Undirected
Chris Cooper,Annabel Kershaw,Undirected
Chris Cooper,Pierce Brosnan,Undirected
Chris Cooper,Patricia Clarkson,Undirected
Annabel Kershaw,Pierce Brosnan,Undirected
Annabel Kershaw,Patricia Clarkson,Undirected
Pierce Brosnan,Patricia Clarkson,Undirected
Joshua Alscher,Tim Bellow,Undirected
Joshua Alscher,Tony Bentley,Undirected
Joshua Alscher,Tammy Blanchard,Undirected
Tim Bellow,Tony Bentley,Undirected
Tim Bellow,Tammy Blanchard,Undirected
Tony Bentley,Tammy Blanchard,Undirected
Jennifer Carpenter,Steve Harris,Undirected
Jennifer Carpenter,Jay Hernandez,Undirected
Jennifer Carpenter,Johnathon Schaech,Undirected
Steve Harris,Jay Hernandez,Undirected
Steve Harris,Johnathon Schaech,Undirected
Jay Hernandez,Johnathon Schaech,Undirected
Charlize Theron,Patton Oswalt,Undirected
Charlize Theron,Patrick Wilson,Undirected
Charlize Theron,Elizabeth Reaser,Undirected
Patton Oswalt,Patrick Wilson,Undirected
Patton Oswalt,Elizabeth Reaser,Undirected
Patrick Wilson,Elizabeth Reaser,Undirected
Michael Ealy,Jerry Ferrara,Undirected
Michael Ealy,Meagan Good,Undirected
Michael Ealy,Regina Hall,Undirected
Jerry Ferrara,Meagan Good,Undirected
Jerry Ferrara,Regina Hall,Undirected
Meagan Good,Regina Hall,Undirected
Bruce Dern,Will Forte,Undirected
Bruce Dern,June Squibb,Undirected
Bruce Dern,Bob Odenkirk,Undirected
Will Forte,June Squibb,Undirected
Will Forte,Bob Odenkirk,Undirected
June Squibb,Bob Odenkirk,Undirected
Judi Dench,Steve Coogan,Undirected
Judi Dench,Sophie Kennedy Clark,Undirected
Judi Dench,Mare Winningham,Undirected
Steve Coogan,Sophie Kennedy Clark,Undirected
Steve Coogan,Mare Winningham,Undirected
Sophie Kennedy Clark,Mare Winningham,Undirected
Mia Wasikowska,Nicole Kidman,Undirected
Mia Wasikowska,David Alford,Undirected
Mia Wasikowska,Matthew Goode,Undirected
Nicole Kidman,David Alford,Undirected
Nicole Kidman,Matthew Goode,Undirected
David Alford,Matthew Goode,Undirected
Idris Elba,Taraji P. Henson,Undirected
Idris Elba,Leslie Bibb,Undirected
Idris Elba,Kate del Castillo,Undirected
Taraji P. Henson,Leslie Bibb,Undirected
Taraji P. Henson,Kate del Castillo,Undirected
Leslie Bibb,Kate del Castillo,Undirected
Jonny Weston,Sofia Black-D'Elia,Undirected
Jonny Weston,Sam Lerner,Undirected
Jonny Weston,Allen Evangelista,Undirected
Sofia Black-D'Elia,Sam Lerner,Undirected
Sofia Black-D'Elia,Allen Evangelista,Undirected
Sam Lerner,Allen Evangelista,Undirected
Joey King,Ryan Phillippe,Undirected
Joey King,Ki Hong Lee,Undirected
Joey King,Mitchell Slaggert,Undirected
Ryan Phillippe,Ki Hong Lee,Undirected
Ryan Phillippe,Mitchell Slaggert,Undirected
Ki Hong Lee,Mitchell Slaggert,Undirected
Reese Witherspoon,Michael Sheen,Undirected
Reese Witherspoon,Candice Bergen,Undirected
Reese Witherspoon,Pico Alexander,Undirected
Michael Sheen,Candice Bergen,Undirected
Michael Sheen,Pico Alexander,Undirected
Candice Bergen,Pico Alexander,Undirected
Chadwick Boseman,Josh Gad,Undirected
Chadwick Boseman,Kate Hudson,Undirected
Chadwick Boseman,Sterling K. Brown,Undirected
Josh Gad,Kate Hudson,Undirected
Josh Gad,Sterling K. Brown,Undirected
Kate Hudson,Sterling K. Brown,Undirected
Catherine O'Hara,Stephen Rannazzisi,Undirected
Catherine O'Hara,Ed Begley Jr.,Undirected
Catherine O'Hara,Eugene Levy,Undirected
Stephen Rannazzisi,Ed Begley Jr.,Undirected
Stephen Rannazzisi,Eugene Levy,Undirected
Ed Begley Jr.,Eugene Levy,Undirected
Sebastian Stan,Roslyn Ruff,Undirected
Sebastian Stan,Anne Hathaway,Undirected
Sebastian Stan,Bill Irwin,Undirected
Roslyn Ruff,Anne Hathaway,Undirected
Roslyn Ruff,Bill Irwin,Undirected
Anne Hathaway,Bill Irwin,Undirected
Queen Latifah,Common,Undirected
Queen Latifah,Paula Patton,Undirected
Queen Latifah,James Pickens Jr.,Undirected
Common,Paula Patton,Undirected
Common,James Pickens Jr.,Undirected
Paula Patton,James Pickens Jr.,Undirected
Ray Stevenson,Vincent D'Onofrio,Undirected
Ray Stevenson,Val Kilmer,Undirected
Ray Stevenson,Christopher Walken,Undirected
Vincent D'Onofrio,Val Kilmer,Undirected
Vincent D'Onofrio,Christopher Walken,Undirected
Val Kilmer,Christopher Walken,Undirected
Richard Gere,Susan Sarandon,Undirected
Richard Gere,Tim Roth,Undirected
Richard Gere,Brit Marling,Undirected
Susan Sarandon,Tim Roth,Undirected
Susan Sarandon,Brit Marling,Undirected
Tim Roth,Brit Marling,Undirected
Diane Keaton,Kevin Kline,Undirected
Diane Keaton,Dianne Wiest,Undirected
Diane Keaton,Richard Jenkins,Undirected
Kevin Kline,Dianne Wiest,Undirected
Kevin Kline,Richard Jenkins,Undirected
Dianne Wiest,Richard Jenkins,Undirected
Thomas Mann,Oliver Cooper,Undirected
Thomas Mann,Jonathan Daniel Brown,Undirected
Thomas Mann,Dax Flame,Undirected
Oliver Cooper,Jonathan Daniel Brown,Undirected
Oliver Cooper,Dax Flame,Undirected
Jonathan Daniel Brown,Dax Flame,Undirected
Chris Rock,Rosario Dawson,Undirected
Chris Rock,J.B. Smoove,Undirected
Chris Rock,Gabrielle Union,Undirected
Rosario Dawson,J.B. Smoove,Undirected
Rosario Dawson,Gabrielle Union,Undirected
J.B. Smoove,Gabrielle Union,Undirected
Frances McDormand,Caleb Landry Jones,Undirected
Frances McDormand,Kerry Condon,Undirected
Frances McDormand,Sam Rockwell,Undirected
Caleb Landry Jones,Kerry Condon,Undirected
Caleb Landry Jones,Sam Rockwell,Undirected
Kerry Condon,Sam Rockwell,Undirected
Jennifer Aniston,Yasiin Bey,Undirected
Jennifer Aniston,Isla Fisher,Undirected
Jennifer Aniston,Will Forte,Undirected
Yasiin Bey,Isla Fisher,Undirected
Yasiin Bey,Will Forte,Undirected
Isla Fisher,Will Forte,Undirected
Woody Harrelson,Jon Bernthal,Undirected
Woody Harrelson,Stella Schnabel,Undirected
Woody Harrelson,Jon Foster,Undirected
Jon Bernthal,Stella Schnabel,Undirected
Jon Bernthal,Jon Foster,Undirected
Stella Schnabel,Jon Foster,Undirected
Tim Allen,Elizabeth Mitchell,Undirected
Tim Allen,Eric Lloyd,Undirected
Tim Allen,Judge Reinhold,Undirected
Elizabeth Mitchell,Eric Lloyd,Undirected
Elizabeth Mitchell,Judge Reinhold,Undirected
Eric Lloyd,Judge Reinhold,Undirected
Teri Andrez,Adam Barrie,Undirected
Teri Andrez,Megan Wolfley,Undirected
Teri Andrez,Robert Belushi,Undirected
Adam Barrie,Megan Wolfley,Undirected
Adam Barrie,Robert Belushi,Undirected
Megan Wolfley,Robert Belushi,Undirected
Kevin Spacey,Ruth Marshall,Undirected
Kevin Spacey,Graham Greene,Undirected
Kevin Spacey,Hannah Endicott-Douglas,Undirected
Ruth Marshall,Graham Greene,Undirected
Ruth Marshall,Hannah Endicott-Douglas,Undirected
Graham Greene,Hannah Endicott-Douglas,Undirected
Hilary Swank,Sam Rockwell,Undirected
Hilary Swank,Thomas D. Mahard,Undirected
Hilary Swank,Owen Campbell,Undirected
Sam Rockwell,Thomas D. Mahard,Undirected
Sam Rockwell,Owen Campbell,Undirected
Thomas D. Mahard,Owen Campbell,Undirected
Jake T. Austin,Jansen Panettiere,Undirected
Jake T. Austin,Moises Arias,Undirected
Jake T. Austin,Ryan Ochoa,Undirected
Jansen Panettiere,Moises Arias,Undirected
Jansen Panettiere,Ryan Ochoa,Undirected
Moises Arias,Ryan Ochoa,Undirected
Zac Efron,Matthew McConaughey,Undirected
Zac Efron,Nicole Kidman,Undirected
Zac Efron,John Cusack,Undirected
Matthew McConaughey,Nicole Kidman,Undirected
Matthew McConaughey,John Cusack,Undirected
Nicole Kidman,John Cusack,Undirected
Uma Thurman,Evan Rachel Wood,Undirected
Uma Thurman,Eva Amurri Martino,Undirected
Uma Thurman,Gabrielle Brennan,Undirected
Evan Rachel Wood,Eva Amurri Martino,Undirected
Evan Rachel Wood,Gabrielle Brennan,Undirected
Eva Amurri Martino,Gabrielle Brennan,Undirected
Columbus Short,Meagan Good,Undirected
Columbus Short,Ne-Yo,Undirected
Columbus Short,Darrin Dewitt Henson,Undirected
Meagan Good,Ne-Yo,Undirected
Meagan Good,Darrin Dewitt Henson,Undirected
Ne-Yo,Darrin Dewitt Henson,Undirected
Natalie Portman,Mila Kunis,Undirected
Natalie Portman,Vincent Cassel,Undirected
Natalie Portman,Barbara Hershey,Undirected
Mila Kunis,Vincent Cassel,Undirected
Mila Kunis,Barbara Hershey,Undirected
Vincent Cassel,Barbara Hershey,Undirected
Daniel Craig,Rooney Mara,Undirected
Daniel Craig,Christopher Plummer,Undirected
Daniel Craig,Stellan Skarsgård,Undirected
Rooney Mara,Christopher Plummer,Undirected
Rooney Mara,Stellan Skarsgård,Undirected
Christopher Plummer,Stellan Skarsgård,Undirected
Justin Bieber,Boyz II Men,Undirected
Justin Bieber,Miley Cyrus,Undirected
Justin Bieber,Sean Kingston,Undirected
Boyz II Men,Miley Cyrus,Undirected
Boyz II Men,Sean Kingston,Undirected
Miley Cyrus,Sean Kingston,Undirected
Tina Fey,Ann Harada,Undirected
Tina Fey,Ben Levin,Undirected
Tina Fey,Dan Levy,Undirected
Ann Harada,Ben Levin,Undirected
Ann Harada,Dan Levy,Undirected
Ben Levin,Dan Levy,Undirected
Teo Halm,Astro,Undirected
Teo Halm,Reese Hartwig,Undirected
Teo Halm,Ella Wahlestedt,Undirected
Astro,Reese Hartwig,Undirected
Astro,Ella Wahlestedt,Undirected
Reese Hartwig,Ella Wahlestedt,Undirected
Jennifer Garner,Kylie Rogers,Undirected
Jennifer Garner,Martin Henderson,Undirected
Jennifer Garner,Brighton Sharbino,Undirected
Kylie Rogers,Martin Henderson,Undirected
Kylie Rogers,Brighton Sharbino,Undirected
Martin Henderson,Brighton Sharbino,Undirected
Samuel L. Jackson,Josh Hartnett,Undirected
Samuel L. Jackson,Kathryn Morris,Undirected
Samuel L. Jackson,Dakota Goyo,Undirected
Josh Hartnett,Kathryn Morris,Undirected
Josh Hartnett,Dakota Goyo,Undirected
Kathryn Morris,Dakota Goyo,Undirected
Logan Lerman,Dylan McDermott,Undirected
Logan Lerman,Kate Walsh,Undirected
Logan Lerman,Patrick de Ledebur,Undirected
Dylan McDermott,Kate Walsh,Undirected
Dylan McDermott,Patrick de Ledebur,Undirected
Kate Walsh,Patrick de Ledebur,Undirected
Olivia Taylor Dudley,John Patrick Amedori,Undirected
Olivia Taylor Dudley,Dougray Scott,Undirected
Olivia Taylor Dudley,Michael Peña,Undirected
John Patrick Amedori,Dougray Scott,Undirected
John Patrick Amedori,Michael Peña,Undirected
Dougray Scott,Michael Peña,Undirected
Brandon Routh,Gil Birmingham,Undirected
Brandon Routh,Crystal Allen,Undirected
Brandon Routh,Chelsea Ricketts,Undirected
Gil Birmingham,Crystal Allen,Undirected
Gil Birmingham,Chelsea Ricketts,Undirected
Crystal Allen,Chelsea Ricketts,Undirected
Penélope Cruz,Ben Kingsley,Undirected
Penélope Cruz,Dennis Hopper,Undirected
Penélope Cruz,Patricia Clarkson,Undirected
Ben Kingsley,Dennis Hopper,Undirected
Ben Kingsley,Patricia Clarkson,Undirected
Dennis Hopper,Patricia Clarkson,Undirected
Tom Hiddleston,Elizabeth Olsen,Undirected
Tom Hiddleston,Bradley Whitford,Undirected
Tom Hiddleston,Cherry Jones,Undirected
Elizabeth Olsen,Bradley Whitford,Undirected
Elizabeth Olsen,Cherry Jones,Undirected
Bradley Whitford,Cherry Jones,Undirected
Matthias Schweighöfer,Kaya Yanar,Undirected
Matthias Schweighöfer,Ilka Bessin,Undirected
Matthias Schweighöfer,Dieter Hallervorden,Undirected
Kaya Yanar,Ilka Bessin,Undirected
Kaya Yanar,Dieter Hallervorden,Undirected
Ilka Bessin,Dieter Hallervorden,Undirected
AnnaSophia Robb,Jeff Daniels,Undirected
AnnaSophia Robb,Cicely Tyson,Undirected
AnnaSophia Robb,Dave Matthews,Undirected
Jeff Daniels,Cicely Tyson,Undirected
Jeff Daniels,Dave Matthews,Undirected
Cicely Tyson,Dave Matthews,Undirected
Heath Ledger,Jake Gyllenhaal,Undirected
Heath Ledger,Randy Quaid,Undirected
Heath Ledger,Valerie Planche,Undirected
Jake Gyllenhaal,Randy Quaid,Undirected
Jake Gyllenhaal,Valerie Planche,Undirected
Randy Quaid,Valerie Planche,Undirected
Steve Zahn,Timothy Olyphant,Undirected
Steve Zahn,Milla Jovovich,Undirected
Steve Zahn,Kiele Sanchez,Undirected
Timothy Olyphant,Milla Jovovich,Undirected
Timothy Olyphant,Kiele Sanchez,Undirected
Milla Jovovich,Kiele Sanchez,Undirected
Madeline Carroll,Callan McAuliffe,Undirected
Madeline Carroll,Rebecca De Mornay,Undirected
Madeline Carroll,Anthony Edwards,Undirected
Callan McAuliffe,Rebecca De Mornay,Undirected
Callan McAuliffe,Anthony Edwards,Undirected
Rebecca De Mornay,Anthony Edwards,Undirected
Anna Paquin,J. Smith-Cameron,Undirected
Anna Paquin,Mark Ruffalo,Undirected
Anna Paquin,Jeannie Berlin,Undirected
J. Smith-Cameron,Mark Ruffalo,Undirected
J. Smith-Cameron,Jeannie Berlin,Undirected
Mark Ruffalo,Jeannie Berlin,Undirected
Victoria Justice,Jackson Nicoll,Undirected
Victoria Justice,Chelsea Handler,Undirected
Victoria Justice,Josh Pence,Undirected
Jackson Nicoll,Chelsea Handler,Undirected
Jackson Nicoll,Josh Pence,Undirected
Chelsea Handler,Josh Pence,Undirected
Rob Corddry,Craig Robinson,Undirected
Rob Corddry,Clark Duke,Undirected
Rob Corddry,Adam Scott,Undirected
Craig Robinson,Clark Duke,Undirected
Craig Robinson,Adam Scott,Undirected
Clark Duke,Adam Scott,Undirected
Rachel McAdams,Tim Robbins,Undirected
Rachel McAdams,Michael Peña,Undirected
Rachel McAdams,Molly Hagan,Undirected
Tim Robbins,Michael Peña,Undirected
Tim Robbins,Molly Hagan,Undirected
Michael Peña,Molly Hagan,Undirected
Forest Whitaker,America Ferrera,Undirected
Forest Whitaker,Carlos Mencia,Undirected
Forest Whitaker,Regina King,Undirected
America Ferrera,Carlos Mencia,Undirected
America Ferrera,Regina King,Undirected
Carlos Mencia,Regina King,Undirected
Carey Mulligan,Matthias Schoenaerts,Undirected
Carey Mulligan,Tilly Vosburgh,Undirected
Carey Mulligan,Mark Wingett,Undirected
Matthias Schoenaerts,Tilly Vosburgh,Undirected
Matthias Schoenaerts,Mark Wingett,Undirected
Tilly Vosburgh,Mark Wingett,Undirected
Karl Urban,James Marsden,Undirected
Karl Urban,Wentworth Miller,Undirected
Karl Urban,Eric Stonestreet,Undirected
James Marsden,Wentworth Miller,Undirected
James Marsden,Eric Stonestreet,Undirected
Wentworth Miller,Eric Stonestreet,Undirected
Hayden Christensen,Andy Garcia,Undirected
Hayden Christensen,Rachel Bilson,Undirected
Hayden Christensen,Natalie Portman,Undirected
Andy Garcia,Rachel Bilson,Undirected
Andy Garcia,Natalie Portman,Undirected
Rachel Bilson,Natalie Portman,Undirected
Jonathan Rhys Meyers,Alexander Armstrong,Undirected
Jonathan Rhys Meyers,Paul Kaye,Undirected
Jonathan Rhys Meyers,Matthew Goode,Undirected
Alexander Armstrong,Paul Kaye,Undirected
Alexander Armstrong,Matthew Goode,Undirected
Paul Kaye,Matthew Goode,Undirected
Tim McGraw,Maria Bello,Undirected
Tim McGraw,Alison Lohman,Undirected
Tim McGraw,Ryan Kwanten,Undirected
Maria Bello,Alison Lohman,Undirected
Maria Bello,Ryan Kwanten,Undirected
Alison Lohman,Ryan Kwanten,Undirected
Luke Wilson,Logan Lerman,Undirected
Luke Wilson,Brie Larson,Undirected
Luke Wilson,Tim Blake Nelson,Undirected
Logan Lerman,Brie Larson,Undirected
Logan Lerman,Tim Blake Nelson,Undirected
Brie Larson,Tim Blake Nelson,Undirected
Don Thompson,Nathan Fillion,Undirected
Don Thompson,Gregg Henry,Undirected
Don Thompson,Xantha Radley,Undirected
Nathan Fillion,Gregg Henry,Undirected
Nathan Fillion,Xantha Radley,Undirected
Gregg Henry,Xantha Radley,Undirected
J.J. Johnson,Gary Commock,Undirected
J.J. Johnson,Polly Adams,Undirected
J.J. Johnson,Opal Alladin,Undirected
Gary Commock,Polly Adams,Undirected
Gary Commock,Opal Alladin,Undirected
Polly Adams,Opal Alladin,Undirected
Camilla Belle,Tommy Flanagan,Undirected
Camilla Belle,Katie Cassidy,Undirected
Camilla Belle,Tessa Thompson,Undirected
Tommy Flanagan,Katie Cassidy,Undirected
Tommy Flanagan,Tessa Thompson,Undirected
Katie Cassidy,Tessa Thompson,Undirected
Tony Chiu-Wai Leung,Wei Tang,Undirected
Tony Chiu-Wai Leung,Joan Chen,Undirected
Tony Chiu-Wai Leung,Leehom Wang,Undirected
Wei Tang,Joan Chen,Undirected
Wei Tang,Leehom Wang,Undirected
Joan Chen,Leehom Wang,Undirected
Rainn Wilson,Christina Applegate,Undirected
Rainn Wilson,Teddy Geiger,Undirected
Rainn Wilson,Josh Gad,Undirected
Christina Applegate,Teddy Geiger,Undirected
Christina Applegate,Josh Gad,Undirected
Teddy Geiger,Josh Gad,Undirected
Jeremy Renner,Anthony Mackie,Undirected
Jeremy Renner,Brian Geraghty,Undirected
Jeremy Renner,Guy Pearce,Undirected
Anthony Mackie,Brian Geraghty,Undirected
Anthony Mackie,Guy Pearce,Undirected
Brian Geraghty,Guy Pearce,Undirected
Sarah Habel,Shannon Eagen,Undirected
Sarah Habel,Edward Austin Kelly,Undirected
Sarah Habel,Mary Callaghan Lynch,Undirected
Shannon Eagen,Edward Austin Kelly,Undirected
Shannon Eagen,Mary Callaghan Lynch,Undirected
Edward Austin Kelly,Mary Callaghan Lynch,Undirected
Ben Affleck,Tommy Lee Jones,Undirected
Ben Affleck,Chris Cooper,Undirected
Ben Affleck,Suzanne Rico,Undirected
Tommy Lee Jones,Chris Cooper,Undirected
Tommy Lee Jones,Suzanne Rico,Undirected
Chris Cooper,Suzanne Rico,Undirected
Gwyneth Paltrow,Tim McGraw,Undirected
Gwyneth Paltrow,Garrett Hedlund,Undirected
Gwyneth Paltrow,Leighton Meester,Undirected
Tim McGraw,Garrett Hedlund,Undirected
Tim McGraw,Leighton Meester,Undirected
Garrett Hedlund,Leighton Meester,Undirected
Carey Mulligan,Andrew Garfield,Undirected
Carey Mulligan,Izzy Meikle-Small,Undirected
Carey Mulligan,Charlie Rowe,Undirected
Andrew Garfield,Izzy Meikle-Small,Undirected
Andrew Garfield,Charlie Rowe,Undirected
Izzy Meikle-Small,Charlie Rowe,Undirected
Joey King,Selena Gomez,Undirected
Joey King,John Corbett,Undirected
Joey King,Bridget Moynahan,Undirected
Selena Gomez,John Corbett,Undirected
Selena Gomez,Bridget Moynahan,Undirected
John Corbett,Bridget Moynahan,Undirected
Michael Douglas,Susan Sarandon,Undirected
Michael Douglas,Danny DeVito,Undirected
Michael Douglas,Mary-Louise Parker,Undirected
Susan Sarandon,Danny DeVito,Undirected
Susan Sarandon,Mary-Louise Parker,Undirected
Danny DeVito,Mary-Louise Parker,Undirected
Michael Pitt,Michael Stuhlbarg,Undirected
Michael Pitt,Sam Rockwell,Undirected
Michael Pitt,Colin Farrell,Undirected
Michael Stuhlbarg,Sam Rockwell,Undirected
Michael Stuhlbarg,Colin Farrell,Undirected
Sam Rockwell,Colin Farrell,Undirected
RZA,Rick Yune,Undirected
RZA,Russell Crowe,Undirected
RZA,Lucy Liu,Undirected
Rick Yune,Russell Crowe,Undirected
Rick Yune,Lucy Liu,Undirected
Russell Crowe,Lucy Liu,Undirected
Ryan Gosling,Craig Van Hook,Undirected
Ryan Gosling,Eva Mendes,Undirected
Ryan Gosling,Olga Merediz,Undirected
Craig Van Hook,Eva Mendes,Undirected
Craig Van Hook,Olga Merediz,Undirected
Eva Mendes,Olga Merediz,Undirected
Domhnall Gleeson,Alicia Vikander,Undirected
Domhnall Gleeson,Oscar Isaac,Undirected
Domhnall Gleeson,Sonoya Mizuno,Undirected
Alicia Vikander,Oscar Isaac,Undirected
Alicia Vikander,Sonoya Mizuno,Undirected
Oscar Isaac,Sonoya Mizuno,Undirected
Jordan Peele,Keegan-Michael Key,Undirected
Jordan Peele,Tiffany Haddish,Undirected
Jordan Peele,Method Man,Undirected
Keegan-Michael Key,Tiffany Haddish,Undirected
Keegan-Michael Key,Method Man,Undirected
Tiffany Haddish,Method Man,Undirected
Kate Beckinsale,Mel Raido,Undirected
Kate Beckinsale,Duncan Joiner,Undirected
Kate Beckinsale,Lucas Till,Undirected
Mel Raido,Duncan Joiner,Undirected
Mel Raido,Lucas Till,Undirected
Duncan Joiner,Lucas Till,Undirected
Anthony LaPaglia,Samara Lee,Undirected
Anthony LaPaglia,Miranda Otto,Undirected
Anthony LaPaglia,Brad Greenquist,Undirected
Samara Lee,Miranda Otto,Undirected
Samara Lee,Brad Greenquist,Undirected
Miranda Otto,Brad Greenquist,Undirected
John Cena,Robert Patrick,Undirected
John Cena,Kelly Carlson,Undirected
John Cena,Anthony Ray Parker,Undirected
Robert Patrick,Kelly Carlson,Undirected
Robert Patrick,Anthony Ray Parker,Undirected
Kelly Carlson,Anthony Ray Parker,Undirected
Denzel Washington,Nate Parker,Undirected
Denzel Washington,Jurnee Smollett-Bell,Undirected
Denzel Washington,Denzel Whitaker,Undirected
Nate Parker,Jurnee Smollett-Bell,Undirected
Nate Parker,Denzel Whitaker,Undirected
Jurnee Smollett-Bell,Denzel Whitaker,Undirected
Elizabeth Berrington,Rudy Blomme,Undirected
Elizabeth Berrington,Olivier Bonjour,Undirected
Elizabeth Berrington,Mark Donovan,Undirected
Rudy Blomme,Olivier Bonjour,Undirected
Rudy Blomme,Mark Donovan,Undirected
Olivier Bonjour,Mark Donovan,Undirected
Bono,Adam Clayton,Undirected
Bono,Larry Mullen Jr.,Undirected
Bono,The Edge,Undirected
Adam Clayton,Larry Mullen Jr.,Undirected
Adam Clayton,The Edge,Undirected
Larry Mullen Jr.,The Edge,Undirected
Sandra Bullock,Thomas Haden Church,Undirected
Sandra Bullock,Bradley Cooper,Undirected
Sandra Bullock,Ken Jeong,Undirected
Thomas Haden Church,Bradley Cooper,Undirected
Thomas Haden Church,Ken Jeong,Undirected
Bradley Cooper,Ken Jeong,Undirected
Alexis Bledel,Zach Gilford,Undirected
Alexis Bledel,Michael Keaton,Undirected
Alexis Bledel,Jane Lynch,Undirected
Zach Gilford,Michael Keaton,Undirected
Zach Gilford,Jane Lynch,Undirected
Michael Keaton,Jane Lynch,Undirected
Larry David,Adam Brooks,Undirected
Larry David,Lyle Kanouse,Undirected
Larry David,Michael McKean,Undirected
Adam Brooks,Lyle Kanouse,Undirected
Adam Brooks,Michael McKean,Undirected
Lyle Kanouse,Michael McKean,Undirected
Al Pacino,Channing Tatum,Undirected
Al Pacino,James Ransone,Undirected
Al Pacino,Ray Liotta,Undirected
Channing Tatum,James Ransone,Undirected
Channing Tatum,Ray Liotta,Undirected
James Ransone,Ray Liotta,Undirected
Emma Shorey,Molly Harmon,Undirected
Emma Shorey,Ellisa Walker-Reid,Undirected
Emma Shorey,Sophie Stuckey,Undirected
Molly Harmon,Ellisa Walker-Reid,Undirected
Molly Harmon,Sophie Stuckey,Undirected
Ellisa Walker-Reid,Sophie Stuckey,Undirected
Dwayne Johnson,Barry Pepper,Undirected
Dwayne Johnson,Jon Bernthal,Undirected
Dwayne Johnson,Susan Sarandon,Undirected
Barry Pepper,Jon Bernthal,Undirected
Barry Pepper,Susan Sarandon,Undirected
Jon Bernthal,Susan Sarandon,Undirected
Michael Keaton,Nick Offerman,Undirected
Michael Keaton,John Carroll Lynch,Undirected
Michael Keaton,Linda Cardellini,Undirected
Nick Offerman,John Carroll Lynch,Undirected
Nick Offerman,Linda Cardellini,Undirected
John Carroll Lynch,Linda Cardellini,Undirected
Anne Hathaway,Jason Sudeikis,Undirected
Anne Hathaway,Austin Stowell,Undirected
Anne Hathaway,Tim Blake Nelson,Undirected
Jason Sudeikis,Austin Stowell,Undirected
Jason Sudeikis,Tim Blake Nelson,Undirected
Austin Stowell,Tim Blake Nelson,Undirected
Kellan Lutz,Ario Bayu,Undirected
Kellan Lutz,Mickey Rourke,Undirected
Kellan Lutz,Verdi Solaiman,Undirected
Ario Bayu,Mickey Rourke,Undirected
Ario Bayu,Verdi Solaiman,Undirected
Mickey Rourke,Verdi Solaiman,Undirected
Greg Kinnear,Renée Zellweger,Undirected
Greg Kinnear,Djimon Hounsou,Undirected
Greg Kinnear,Jon Voight,Undirected
Renée Zellweger,Djimon Hounsou,Undirected
Renée Zellweger,Jon Voight,Undirected
Djimon Hounsou,Jon Voight,Undirected
Al Pacino,Christopher Walken,Undirected
Al Pacino,Alan Arkin,Undirected
Al Pacino,Julianna Margulies,Undirected
Christopher Walken,Alan Arkin,Undirected
Christopher Walken,Julianna Margulies,Undirected
Alan Arkin,Julianna Margulies,Undirected
Phoebe Fox,Merryn Pearse,Undirected
Phoebe Fox,Mary Roscoe,Undirected
Phoebe Fox,Helen McCrory,Undirected
Merryn Pearse,Mary Roscoe,Undirected
Merryn Pearse,Helen McCrory,Undirected
Mary Roscoe,Helen McCrory,Undirected
Jordana Brewster,Taylor Handley,Undirected
Jordana Brewster,Diora Baird,Undirected
Jordana Brewster,Matt Bomer,Undirected
Taylor Handley,Diora Baird,Undirected
Taylor Handley,Matt Bomer,Undirected
Diora Baird,Matt Bomer,Undirected
Joseph Gordon-Levitt,Jeff Daniels,Undirected
Joseph Gordon-Levitt,Matthew Goode,Undirected
Joseph Gordon-Levitt,Isla Fisher,Undirected
Jeff Daniels,Matthew Goode,Undirected
Jeff Daniels,Isla Fisher,Undirected
Matthew Goode,Isla Fisher,Undirected
Kristen Stewart,Dylan McDermott,Undirected
Kristen Stewart,Penelope Ann Miller,Undirected
Kristen Stewart,John Corbett,Undirected
Dylan McDermott,Penelope Ann Miller,Undirected
Dylan McDermott,John Corbett,Undirected
Penelope Ann Miller,John Corbett,Undirected
Dan Futterman,Angelina Jolie,Undirected
Dan Futterman,Archie Panjabi,Undirected
Dan Futterman,Mohammed Afzal,Undirected
Angelina Jolie,Archie Panjabi,Undirected
Angelina Jolie,Mohammed Afzal,Undirected
Archie Panjabi,Mohammed Afzal,Undirected
Leighton Meester,Minka Kelly,Undirected
