	title	year	rated	min_age	runtime(min)	genres	director	actors	plot	languages	country	awards	imdbRating	rottenTomatoesRating	metacriticRating	boxoffice	production	ReleaseDate	YearReleased	MonthReleased	viewCount	commentCount	likeCount	dislikeCount	Production Budget	Domestic Total Gross	Distributor	polarity	subjectivity	polarity_confidence	subjectivity_confidence
135	Happy Death Day	2017	PG-13	13	96	Horror; Mystery; Thriller	Christopher Landon	Jessica Rothe; Israel Broussard; Ruby Modine; Charles Aitken	A teenage girl trying to enjoy her birthday soon realizes that this is her final one That is if she can figure out who her killer is She must relive that day over and over again dying in a different way each time Can she solve her own murder?	English	USA	1 nomination	6.5	71.0	57	55398005.0	Universal Studios	13-Oct-17	2017	10	1314492.0	113.0	640.0	61.0	4800000	55683845	Universal	neutral	subjective	0.85036695	1.0
136	Lights Out	2016	PG-13	13	81	Horror	David F. Sandberg	Teresa Palmer; Gabriel Bateman; Alexander DiPersia; Billy Burke	A man called Paul is working after hours and is murdered by a supernatural entity in the shadow When his son the boy Martin is frightened by the same creature he sees his mother Sophie talking to an imaginary friend called Diana in the shadow of her room Martin does not sleep anymore during the night His older step sister Rebecca who lives alone is summoned by the social assistant She brings Martin home and recalls her own experience with Diana years ago when she was young Rebecca and her boyfriend Bret investigate the connection of Sophie with Diana and come up to a scary revelation about their past	English	USA	3 wins & 9 nominations	6.3	76.0	58	67235683.0	RatPac-Dune Entertainment	22-Jul-16	2016	7	13906294.0	7446.0	85012.0	3299.0	4900000	67268835	Warner Bros. (New Line)	negative	subjective	0.742998004	1.0
137	Rabbit Hole	2010	PG-13	13	91	Drama	John Cameron Mitchell	Nicole Kidman; Aaron Eckhart; Dianne Wiest; Miles Teller	Becca and Howie Corbett are a happily married couple whose perfect world is forever changed when their young son Danny is killed by a car Becca an executive-turned-stay-at-home mother tries to redefine her existence in a surreal landscape of well-meaning family and friends Painful poignant and often funny Beccas experiences lead her to find solace in a mysterious relationship with a troubled young comic-book artist Jason - the teenage driver of the car that killed Danny Beccas fixation with Jason pulls her away from memories of Danny while Howie immerses himself in the past seeking refuge in outsiders who offer him something Becca is unable to give The Corbetts both adrift make surprising and dangerous choices as they choose a path that will determine their fate	English	USA	Nominated for 1 Oscar Another 7 wins & 40 nominations	7.0	86.0	76	2221809.0	Lionsgate Films	17-Dec-10	2010	12		375.0	1100.0	191.0	5000000	2229058	Lionsgate	positive	subjective	0.886505723	1.0
138	Apollo 18	2011	PG-13	13	86	Horror; Mystery; Sci-Fi	Gonzalo López-Gallego	Warren Christie; Lloyd Owen; Ryan Robbins; Michael Kopsa	In the early 70s Commander Nathan Walker Captain Ben Anderson and Lieutenant Colonel John Grey are assigned in a secret mission to the Moon to protect the USA from USSR using detectors Nathan and Ben land on the Moon in the Liberty module while John stays in orbit in the module Freedom They collect rock samples and bring them to the Liberty They also find footprints and the body of a Soviet cosmonaut on the moon Soon they hear weird noises and they find that they are not alone in the satellite	English	USA; Canada	1 win & 2 nominations	5.2	24.0	24	17500000.0	The Weinstein Company	2-Sep-11	2011	9	2305240.0	1995.0	3137.0	396.0	5000000	17687709	Weinstein / Dimension	neutral	subjective	0.943287671	1.0
139	Everything Must Go	2010	R	17	97	Comedy; Drama	Dan Rush	Will Ferrell; Christopher Jordan Wallace; Rebecca Hall; Michael Peña	After Nick is fired from his sales job mostly because of his penchant for alcohol he comes home and finds that his wife has kicked him and all of his stuff out of the house and onto the front lawn He is pretty intent on just sitting in his chair drinking beer on the lawn His cop friend Frank Garcia thinks he should at least pretend to have a yard sale to make it legal He slowly starts making friends with a neighborhood kid who needs something to do and a pregnant wife who has just moved in across the street and Nick finds himself moving on and selling all his stuff	English	USA		6.4	75.0	65	2711210.0	Roadside Attractions	13-May-11	2011	5	291068.0	59.0	335.0	34.0	5000000	2711643	Roadside Attractions	negative	subjective	0.655513406	1.0
140	Paranormal Activity 3	2011	R	17	83	Horror	Henry Joost; Ariel Schulman	Lauren Bittner; Christopher Nicholas Smith; Chloe Csengery; Jessica Tyler Brown	In 1988 in California cinematographer Dennis moves to the house of his girlfriend Julie to raise a family with her daughters Katie and Kristi Little Kristi has an imaginary friend named Toby while weird things happen in the house Dennis decides to place cameras in the house to capture images during the night and soon he finds that there is an entity in the house Denniss friend Randy Rosen (Dustin Ingram) researches the events and learns that his house might be a coven of witches and the children may be in danger	English	USA	1 win & 6 nominations	5.8	69.0	59	103993239.0	Paramount Pictures	21-Oct-11	2011	10	14025.0	1.0	8.0	2.0	5000000	104028807	Paramount	neutral	subjective	0.859711468	1.0
141	Take Shelter	2011	R	17	120	Drama; Thriller	Jeff Nichols	Michael Shannon; Jessica Chastain; Tova Stewart; Shea Whigham	Curtis a father and husband is starting to experience bad dreams and hallucinations Assuming mental illness he seeks medical help and counseling However fearing the worst he starts building an elaborate and expensive storm shelter in their backyard This storm shelter threatens to tear apart his family threatens his sanity and his standing in the community but he builds it to save his familys life	English	USA	42 wins & 36 nominations	7.4	92.0	85	1600000.0	Sony Pictures Classics	30-Sep-11	2011	9	2026084.0	1065.0	3663.0	140.0	5000000	1730296	Sony Classics	negative	subjective	0.922051609	1.0
142	Waiting for Forever	2010	PG-13	13	95	Comedy; Drama; Romance	James Keach	Rachel Bilson; Tom Sturridge; Richard Jenkins; Blythe Danner	Since his parents died in a train crash Will Donner refused to grow up and became an unemployed drifter aimless except for one obsession: his undeclared love for neighborhood girl Emma Twist whom he stalked at a distance throughout the country When she now an actress returns to their home town for her terminally ill grossly cynical father Will stays with his unsympathetic conventional brother Jim whose wife and kid adore the free-spirited silly uncle whom neighboring friend Joe and his family cheerfully put up Now its time to face Emma	English	USA	1 win & 1 nomination	6.0	5.0	26	16291.0	Freestyle Releasing	4-Feb-11	2011	2	2401310.0	1150.0	4940.0	259.0	5000000	25517	Freestyle Releasing	negative	subjective	0.906880856	1.0
143	Paranormal Activity 4	2012	R	17	88	Horror	Henry Joost; Ariel Schulman	Katie Featherston; Kathryn Newton; Matt Shively; Aiden Lovekamp	The story takes place in 2011 five years after Katie killed her boyfriend Micah sister Kristi her husband Daniel and took their baby Hunter Story focuses on Alex and her family experiencing weird stuff since the new neighbors moved in the town	English; Ukrainian	USA	2 wins	4.6	24.0	40	53921335.0	Paramount Pictures	18-Oct-12	2012	10	1405283.0	1022.0	1385.0	893.0	5000000	53900335	Paramount	neutral	objective	0.557410538	1.0
144	Dallas Buyers Club	2013	R	17	117	Biography; Drama	Jean-Marc Vallée	Matthew McConaughey; Jennifer Garner; Jared Leto; Denis O'Hare	Dallas 1985 Electrician and sometimes rodeo bull rider Ron Woodroof lives hard which includes heavy smoking drinking drug use (primarily cocaine) and casual sex He is racist and homophobic While in the hospital on a work related injury the doctors discover and inform him that he is HIV+ and that he will most-likely die within thirty days Ron is initially in angry denial that he would have a disease that only faggots have but upon quick reflection comes to the realization that the diagnosis is probably true He begins to read whatever research is available about the disease which at this time seems to be most effectively treated by the drug AZT AZT however is only in the clinical trials stage within the US Incredulous that he as a dying man cannot pay for any drug which may save or at least prolong his life he goes searching for it by whatever means possible It eventually leads him to Mexico and a Dr Vass an American physician whose license was revoked in the US because of his AIDS related work against US regulations Dr Vass leads Ron to a cocktail of other drugs some vitamins he believes are more effective in treating the symptoms since the virus as Ron learns will always be in the system of those who have been exposed to it Ron begins to smuggle these drugs not approved by the FDA into the US not only for his own use but for sale to other HIV+ persons In this venture he goes into an unlikely partnership with a HIV+ transgender woman named Rayon who he met in the hospital and who has greater contact with AIDS patients through the gay community As they try to work both above ground to get the meds to those that need them and underground to avoid detection by especially the FDA Ron comes up with an idea to circumvent the fact of selling the drugs - which are not considered drugs yet since they are not FDA approved - directly to the HIV+ population which then should should not be against the law Richard Barkley and Dr Sevard the FDAs lead man on the file and one of Rons doctors respectively the latter who sees clinical trials as the only way to determine the efficacy of drugs despite the fact that Ron and others would have probably died already without these drugs try to stop Ron and Rayon at every turn Caught in the middle is Dr Eve Saks another of Rons doctors who understands why policies are in place but who can sympathize with Ron Rayon and others - all her patients directly or indirectly - in their situation	English; Japanese	USA	Won 3 Oscars Another 81 wins & 81 nominations	8.0	93.0	84	23750994.0	Focus Features	1-Nov-13	2013	11	890059.0	313.0	2113.0	56.0	5000000	27298285	Focus Features	negative	subjective	0.607955337	1.0
145	The Green Inferno	2013	R	17	100	Adventure; Horror; Thriller	Eli Roth	Lorenza Izzo; Ariel Levy; Daryl Sabara; Kirby Bliss Blanton	In New York college student Justine joins a group of activists led by Alejandro and travels to Peru to protest against a timber industry that is destroying the Amazon rain forest When the group is returning to civilization the plane blows-up and crashes into the forest Soon the survivors discover that they are not alone and they are abducted by a tribe of cannibals	English; Spanish	USA; Chile; Canada; Spain	1 win & 6 nominations	5.3	35.0	38	7154957.0	High Top Releasing	25-Sep-15	2015	9	923205.0	199.0	656.0	147.0	5000000	7192291	BH Tilt	neutral	subjective	0.851979315	1.0
146	Paranormal Activity: The Marked Ones	2014	R	17	84	Horror; Thriller	Christopher Landon	Andrew Jacobs; Jorge Diaz; Gabrielle Walsh; Renee Victor	Jesse begins experiencing a number of disturbing and unexplainable things after the death of his neighbor As he investigates it isnt long before Jesse finds hes been marked for possession by a malevolent demonic entity and its only a matter of time before he is completely under its control	English; Spanish	USA	3 nominations	5.0	38.0	42	28605090.0	Paramount Pictures	3-Jan-14	2014	1	2256444.0	1211.0	3521.0	556.0	5000000	32462372	Paramount	negative	subjective	0.814377308	1.0
147	Oculus	2013	R	17	104	Horror; Mystery	Mike Flanagan	Karen Gillan; Brenton Thwaites; Katee Sackhoff; Rory Cochrane	The twenty-one year-old Timothy Tim Allen Russell is discharged from a mental institution by his psychiatric Dr Shawn Graham completely healed from a childhood trauma where his father purportedly tortured and killed his mother before being killed himself by Tim His sister Kaylie welcomes him in the parking area and brings him home Then she tells that they need to destroy an ancient mirror that she has found through working at an auction house She then steals the mirror and the reluctant Tim follows his sister and has fragmented recollections from their childhood going back to when his father Alan buys a mirror for the home office of their new family home Kaylie and Tim see a woman with their father in his office and the behaviors of Alan and Marie change ending in a family tragedy Kaylie blames the mirror and now she wants to destroy it with Tim Will they succeed?	English	USA	3 wins & 16 nominations	6.5	73.0	61		Relativity Media	11-Apr-14	2014	4	1997600.0	173.0	583.0	47.0	5000000	27695246	Relativity	neutral	subjective	0.60279721	1.0
148	Blair Witch	2016	R	17	89	Horror; Thriller	Adam Wingard	James Allen McCune; Callie Hernandez; Corbin Reid; Brandon Scott	Near Burkittsville in the Black Hills Forest on the root of a lightning-struck tree the couple of Lane and Talia find a DV tape sticking out of the ground The content of the found tape is mostly footage of static however near the end there is also an intriguing small part where someone is trying to escape from something that is after him screaming and running in an abandoned house After accidentally stumbling across the uploaded footage James believing that this is his final chance to put an end once and for all in the unresolved mystery of his sisters Heather disappearance some twenty years ago in the same woods he assembles a team of friends in search of answers Sooner or later the team will go astray in the heart of a green maze that is riddled with the chilling legend of Elly Kedward the Blair Witch who relentlessly keeps messing with their sanity gradually taking them down one by one Eventually James will find himself in the epicentre of the evil activity trapped inside the very house where his sister disappeared unaware of the fact that once more the witch will demand her sacrifice	English	Canada; USA	7 nominations	5.0	35.0	47	20747013.0	Vertigo Entertainment	16-Sep-16	2016	9	1723362.0	1885.0	5122.0	713.0	5000000	20777061	Lionsgate	neutral	subjective	0.748273849	1.0
149	The Belko Experiment	2016	R	17	89	Action; Horror; Thriller	Greg McLean	John Gallagher Jr.; Tony Goldwyn; Adria Arjona; John C. McGinley	In a twisted social experiment eighty Americans are locked in their high-rise corporate office in Bogotá Colombia and ordered by an unknown voice coming from the companys intercom system to participate in a deadly game of kill or be killed	English	USA; Colombia		6.1	52.0	44	10164675.0	BH Tilt	17-Mar-17	2017	3	2743270.0	1854.0	10584.0	753.0	5000000	10166820	BH Tilt	negative	objective	0.89201498	0.999999964
150	Addicted	2014	R	17	106	Drama; Thriller	Bille Woodruff	Boris Kodjoe; Brandon Gonzales; Cameron Mills; Daniel O'Callaghan	Desire and the dangers of indiscretion Successful businesswoman Zoe Reynard (Sharon Leal) appears to have attained it all - the dream husband she loves (Boris Kodjoe) two wonderful children and a flourishing career As perfect as everything appears from the outside Zoe is still drawn to temptations she cannot escape or resist As she pursues a secretive life Zoe finds herself risking it all when she heads down a perilous path she may not survive	English; Spanish	USA		5.2	8.0	32	17382982.0	Lionsgate	10-Oct-14	2014	10	7642884.0	1618.0	12043.0	1119.0	5000000	17390770	Lionsgate	positive	subjective	0.85799396	1.0
151	No Escape	2015	R	17	103	Action; Thriller	John Erick Dowdle	Owen Wilson; Lake Bell; Sterling Jerins; Claire Geare	When Jack (Owen Wilson) finds an opportunity to move to Southeast Asia to head his water manufacturing companys new plant there he immediately jumps at the opportunity and moves his family there When they get there they seem to be having problems the electronics dont work and rarely any cars are seen in the streets When he goes to the market the next morning he finds himself caught in the middle of a violent rebellion headed by armed rebels executing foreigners Jack must get back to the hotel and with the help of a mysterious British tourist (Pierce Brosnan) must get his family to the American Embassy in the midst of the chaos	English; French; Thai; Khmer	USA	1 win & 1 nomination	6.8	45.0	38	27274112.0	The Weinstein Company	26-Aug-15	2015	8	6220819.0	2171.0	9353.0	822.0	5000000	15339030	Savoy	neutral	subjective	0.602461338	1.0
152	10 Cloverfield Lane	2016	PG-13	13	103	Drama; Horror; Mystery	Dan Trachtenberg	John Goodman; Mary Elizabeth Winstead; John Gallagher Jr.; Douglas M. Griffin	After a car accident Michelle awakens to find herself in a mysterious bunker with two men named Howard and Emmett Howard offers her a pair of crutches to help her remain mobile with her leg injury sustained from the car crash and tells her to get good on those before leaving the bunker She has been given the information that there has been an alien attack and the outside world is poisoned However Howard and Emmetts intentions soon become questionable and Michelle is faced with a question: Is it better in here or out there?	English	USA	13 wins & 45 nominations	7.2	90.0	76	59481553.0	Bad Robot Productions	11-Mar-16	2016	3	9414129.0	7102.0	31391.0	1142.0	5000000	72082998	Paramount	neutral	subjective	0.911923766	1.0
153	The Big Sick	2017	R	17	120	Comedy; Drama; Romance	Michael Showalter	Kumail Nanjiani; Zoe Kazan; Holly Hunter; Ray Romano	Kumail (Kumail Nanjiani) in the middle of becoming a budding stand-up comedian meets Emily (Zoe Kazan) Meanwhile a sudden illness sets in forcing Emily to be put into a medically-induced coma Kumail must navigate being a comedian dealing with tragic illness and placating his familys desire to let them fix him up with a spouse while contemplating and figuring out who he really is and what he truly believes	English; Urdu	USA	Nominated for 1 Oscar Another 15 wins & 78 nominations	7.6	98.0	86	42824653.0	Amazon Studios	23-Jun-17	2017	6	4934168.0	469.0	3314.0	327.0	5000000	42873127	Lionsgate	neutral	subjective	0.593788564	1.0
154	American Teen	2008	PG-13	13	95	Documentary	Nanette Burstein	Jake Tusing; Megan Krizmanich; Colin Clemens; Mitch Reinholt	A documentary on seniors at a high school in a small Indiana town and their various cliques	English	USA	2 wins & 5 nominations	6.5	70.0	66	785817.0	Paramount Vantage	25-Jul-08	2008	7	79852.0	36.0	83.0	15.0	5000000	942441	Paramount Vantage	neutral	objective	0.586106002	0.999908604
155	Fifty Shades of Black	2016	R	17	92	Comedy	Michael Tiddes	Marlon Wayans; Kali Hawk; Fred Willard; Mike Epps	An inexperienced college student meets a wealthy businessman whose sexual practices put a strain on their relationship	English	USA	2 wins & 4 nominations	3.5	7.0	28		Open Road Films	29-Jan-16	2016	1	602772.0	158.0	2267.0	196.0	5000000	11686940	Open Road Films	neutral	objective	0.708924472	1.0
156	Green Room	2015	R	17	95	Crime; Horror; Thriller	Jeremy Saulnier	Anton Yelchin; Joe Cole; Alia Shawkat; Callum Turner	A band straying into a secluded part of the Pacific Northwest stumbles onto a horrific act of violence Because they are the only witnesses they become the targets of a terrifying gang of skinheads who want to make sure all the evidence is eliminated	English	USA	8 wins & 25 nominations	7.0	90.0	79	3219029.0	A24 Films	15-Apr-16	2016	4	8456.0	1.0	34.0	3.0	5000000	3220371	A24	negative	subjective	0.964925766	1.0
157	Table 19	2017	PG-13	13	87	Comedy; Drama; Romance	Jeffrey Blitz	Anna Kendrick; Rya Meyers; Charles Green; Lisa Kudrow	Ex-maid of honor Eloise (Anna Kendrick) - having been relieved of her duties after being unceremoniously dumped by the best man via text - decides to hold her head up high and attend her oldest friends wedding anyway She finds herself seated at the random table in the back of the ballroom with a disparate group of strangers most of whom should have known to just send regrets (but not before sending something nice off the registry) As everyones secrets are revealed Eloise learns a thing or two from the denizens of Table 19 Friendships - and even a little romance - can happen under the most unlikely circumstances	English	USA	1 nomination	5.8	26.0	40	3606977.0	Fox Searchlight Pictures	3-Mar-17	2017	3	1418963.0	485.0	7749.0	496.0	5000000	3614896	Fox Searchlight	negative	subjective	0.530919731	1.0
158	The Perfect Match	2016	R	17	96	Comedy; Romance	Bille Woodruff	Terrence Jenkins; Cassie Ventura; Donald Faison; Dascha Polanco	Terrence J stars as Charlie a playboy whos convinced that relationships are dead His two best friends Donald Faison and Robert C Riley bet him that if he sticks to one woman for one month hes bound to get attached Charlie denies this until he crosses paths with the beautiful and mysterious Eva played by singer/actress Cassie They may agree to a casual affair but eventually Charlie is questioning whether he may actually want more	English	USA		4.9	27.0	41	7428856.0	Jorva Entertainment Productions	11-Mar-16	2016	3	5793660.0	1277.0	18881.0	2147.0	5000000	9669521	Lionsgate	positive	subjective	0.601251483	1.0
159	3 Generations	2015	PG-13	13	92	Drama	Gaby Dellal	Elle Fanning; Linda Emond; Susan Sarandon; Naomi Watts	Family living under one roof in New York must deal with a life-changing transformation by one that ultimately affects them all Ray is a teenager who has come to the realization that he isnt meant to be a girl and has decided to transition from female to male His single mother Maggie must track down Rays biological father to get his legal consent to allow Rays transition Dolly Rays lesbian grandmother is having a hard time accepting that she now has a grandson They must each confront their own identities and learn to embrace change and their strength as a family in order to ultimately find acceptance and understanding	English; Spanish	USA	1 nomination	5.7	32.0	47	66371.0	The Weinstein Company	5-May-17	2017	5	550355.0	659.0	6182.0	224.0	5000000	155936	Weinstein Company	negative	subjective	0.429787338	1.0
160	A Good Old Fashioned Orgy	2011	R	17	95	Comedy; Romance	Alex Gregory; Peter Huyck	Jason Sudeikis; Leslie Bibb; Lake Bell; Michelle Borth	A group of 30-year-olds who have been friends since high school attempt to throw an end-of-summer orgy	English	USA		6.2	33.0	44	11756400.0	Samuel Goldwyn Films	2-Sep-11	2011	9	132438.0	18.0	53.0	36.0	5000000	200227	Samuel Goldwyn	neutral	subjective	0.520962536	0.946683462
161	Before I Fall	2017	PG-13	13	98	Drama; Mystery	Ry Russo-Young	Zoey Deutch; Halston Sage; Logan Miller; Kian Lawley	What if you had only one day to change absolutely everything? Samantha Kingston has it all: the perfect friends the perfect guy and a seemingly perfect future Then everything changes After one fateful night Sam wakes up with no future at all Trapped reliving the same day over and over she begins to question just how perfect her life really was And as she begins to untangle the mystery of a life suddenly derailed she must also unwind the secrets of the people closest to her and discover the power of a single day to make a difference not just in her own life but in the lives of those around her - before she runs out of time for good	English	USA	2 wins & 2 nominations	6.4	63.0	58	12230741.0	Open Road Films	3-Mar-17	2017	3	7676451.0	3723.0	52947.0	1186.0	5000000	12241122	Open Road Films	positive	subjective	0.759655476	1.0
162	Better Living Through Chemistry	2014	NOT RATED	17	91	Comedy; Drama	Geoff Moore; David Posamentier	Sam Rockwell; Olivia Wilde; Michelle Monaghan; Jane Fonda	A strait-laced pharmacists uneventful life spirals out of control when he starts an affair with a trophy-wife customer who takes him on a joyride involving sex drugs and possibly murder	English	UK; USA		6.3	20.0	40	51772.0	IDP/Samuel goldwyn Films	14-Mar-14	2014	3	1449778.0	162.0	2509.0	153.0	5000000	75143	Samuel Goldwyn	negative	subjective	0.40591225	1.0
163	Chapter 27	2007	R	17	84	Biography; Crime; Drama	J.P. Schaefer	Chuck Cooper; Victor Verhaeghe; Robert Gerard Larkin; Lindsay Lohan	A film about Mark David Chapman in the days leading up to the infamous murder of Beatle John Lennon	English	Canada; USA	2 wins	5.7	19.0	32		Vitagraph Films	28-Mar-08	2008	3	818177.0	641.0	1414.0	100.0	5000000	56215	Peace Arch Entertainment	neutral	subjective	0.752939165	0.673062065
164	Jack Goes Boating	2010	R	17	89	Drama; Romance	Philip Seymour Hoffman	Philip Seymour Hoffman; John Ortiz; Richard Petrocelli; Tom McCarthy	Jack is a shy and awkward man who drives a limo and lives an unassuming life His friend and co-worker Clyde and his wife Lucy feel sorry for Jack and set him up on a blind date with Connie Connie shares Jacks shyness and awkwardness but through each other they seem to be able to find solace within themselves Trouble might be brewing in paradise though as Clyde and Lucys marriage stumbles just as Jack and Connies relationship grows	English	USA	1 win & 7 nominations	6.4	67.0	64	300000.0	Fox Searchlight Pictures	17-Sep-10	2010	9	98487.0	21.0	134.0	20.0	5000000	541992	Overture Films	negative	subjective	0.345086575	1.0
165	Last Chance Harvey	2008	PG-13	13	93	Drama; Romance	Joel Hopkins	Dustin Hoffman; Emma Thompson; Eileen Atkins; Kathy Baker	Harvey Shine is in London for the weekend for his daughters wedding His work in New York preoccupies him: he writes music for ads and he knows his boss is pushing him aside for younger talent With family hes also on the sidelines - long divorced his wife remarried her husband closer to his daughter than he His path crosses that of Kate Walker unmarried her life becoming that of a spinster set up by friends on blind dates leading nowhere After Harveys no good terrible day he chats Kate up at a Heathrow bar Shes not interested Where can this conversation lead? Back at his daughters reception the step-father rises to give a toast	English	USA	Nominated for 2 Golden Globes Another 1 win & 1 nomination	6.7	71.0	57	14840421.0	Overture Films	25-Dec-08	2008	12	9356.0	2.0	10.0	0.0	5000000	14889042	Overture Films	neutral	subjective	0.656350374	1.0
166	Pawn Shop Chronicles	2013	R	17	112	Action; Comedy; Crime	Wayne Kramer	Paul Walker; Matt Dillon; Brendan Fraser; Kevin Rankin	An anthology of stories involving meth addicted white supremacists a man looking for his kidnapped wife and an Elvis impersonator	English	USA		5.9	13.0	26	4915.0	Anchor Bay Entertainment	12-Jul-13	2013	7	2854.0	1.0	9.0	3.0	5000000	8088	Anchor Bay Films	neutral	objective	0.744763017	1.0
167	Piranha 3DD	2012	R	17	83	Comedy; Horror	John Gulager	Danielle Panabaker; Matt Bush; Katrina Bowden; Jean-Luc Bilodeau	Having awoken from their spring break extravaganza at Lake Victoria the swarm heads upstream where they look to make a meal out of Big Wet a local water park where when it comes to fun nobody does it wetter! Though they came to get wet get loaded and get some the staff and patrons get more than they bargained for when they must face the fiercest most bloodthirsty piranhas yet Lead by the strong-willed studious Maddy and her friends Barry and Kyle the trio must dive in and take on these man-eating creatures using every ounce of their being but can they be stopped?	English	USA	2 wins & 5 nominations	3.8	14.0	24	370904.0	The Weinstein Co.	1-Jun-12	2012	6	7054477.0	2840.0	4195.0	2231.0	5000000	376512	Weinstein / Dimension	neutral	subjective	0.572786629	1.0
168	Savannah	2013	PG-13	13	101	Drama; Family; History	Annette Haywood-Carter	Jim Caviezel; Chiwetel Ejiofor; Jaimie Alexander; Bradley Whitford	SAVANNAH is the true story of Ward Allen a romantic and bombastic character who rejects his plantation heritage for the freedom of life on a river Ward navigates the change of early 20th century America on the wrong side of the law and society his loyal friend a freed slave named Christmas Moultrie at his side Master of Shakespeare and the shotgun that provides Savannahs markets with fowl Ward fights for his rights as a hunter His charisma and eloquent rhetoric win the heart of a society woman who defies her father to marry him An elderly Moultrie tells the story of life on the river with his friend to a little boy who passes the legendary Ward Allen down to the next generation	English	USA		6.0	8.0	25	25732.0	Ketchup Entertainment	23-Aug-13	2013	8	5361.0	1.0	11.0	0.0	5000000	37240	Ketchup Entertainment	positive	subjective	0.77087754	1.0
169	Tetro	2009	R	17	127	Drama	Francis Ford Coppola	Vincent Gallo; Alden Ehrenreich; Maribel Verdú; Silvia Pérez	The week of his 18th birthday Bennie whos a waiter on a cruise ship has a layover in Buenos Aires He seeks out his older brother Tetro whom he hasnt seen in years Tetro who lives with Miranda is a burned-out case hes hot and cold toward his brother introducing him as a friend refusing to talk about their family telling Bennie not to tell Miranda who their father is Thoughts of their father cast a shadow over both brothers Who is he and what past has Tetro left behind? Bennie finds pages of Tetros unfinished novel and he pushes both to know his own history and to become a part of his brothers life again What can come of Bennies pushing?	English; French; Spanish	USA; Argentina; Spain; Italy	1 win & 4 nominations	6.9	69.0	65	273753.0	American Zoetrope	11-Jun-09	2009	6	575902.0	164.0	820.0	36.0	5000000	518522	American Zoetrope	neutral	subjective	0.506060839	1.0
170	The Case for Christ	2017	PG	7	112	Biography; Drama; History	Jon Gunn	Erika Christensen; Faye Dunaway; Frankie Faison; Robert Forster	Based on the true story of an award-winning investigative journalist -- and avowed atheist -- who applies his well-honed journalistic and legal skills to disprove the newfound Christian faith of his wife with unexpected life-altering results	English	USA		6.0	52.0	50	14678714.0	Pure Flix	7-Apr-17	2017	4	370964.0	506.0	1425.0	134.0	5000000	14682684	Pure Flix	neutral	subjective	0.611151874	0.999999988
171	The Merry Gentleman	2008	R	17	110	Crime; Drama	Michael Keaton	Michael Keaton; Kelly Macdonald; Tom Bastounes; Kareem Bandealy	A woman leaves an abusive relationship to begin a new life in a new city where she forms an unlikely and ironic relationship with a suicidal hit man (unbeknownst to her) Enter a worn alcoholic detective to form the third party in a very unusual triangle as this story begins to unfold	English	USA	3 wins & 1 nomination	6.6	64.0	55	291677.0	IDP/Samuel goldwyn Films	1-May-09	2009	5	115019.0	30.0	103.0	10.0	5000000	347977	Samuel Goldwyn	neutral	subjective	0.532589316	1.0
172	The Signal	2014	PG-13	13	97	Sci-Fi; Thriller	William Eubank	Patrick Davidson; Brenton Thwaites; Olivia Cooke; Beau Knapp	On a road trip Nic and two friends are drawn to an isolated area by a computer genius When everything suddenly goes dark Nic regains consciousness - only to find himself in a waking nightmare	English	USA	1 win & 3 nominations	6.1	60.0	54	402321.0	Focus Features	13-Jun-14	2014	6	1612725.0	394.0	2831.0	122.0	5000000	251150	Magnolia	neutral	subjective	0.377770454	1.0
173	Trailer Park Boys: The Movie	2006	R	17	95	Comedy; Crime	Mike Clattenburg	Robb Wells; John Paul Tremblay; Mike Smith; Lucy Decoutere	Set in a separate storyline not related to the Trailer Park Boys Television show but with the same lovable characters The boys get arrested for robbing an ATM machine and spend 18 months in jail When the get out they decide to pull off The Big Dirty which is to steal a large amount of coins because they are untraceable and quit their life of crime forever	English	Canada	3 nominations	7.3	57.0	38		Screen Media Films	25-Jan-08	2008	1	158911.0	78.0	170.0	11.0	5000000	3860678	Alliance	neutral	subjective	0.715013564	1.0
174	Woodshock	2017	R	17	100	Drama; Thriller	Kate Mulleavy; Laura Mulleavy	Kirsten Dunst; Joe Cole; Pilou Asbæk; Steph DuVall	A haunted young woman spirals in the wake of profound loss torn between her fractured emotional state and the reality-altering effects of a potent cannabinoid drug	English	USA		4.4	20.0	39	41126.0	A24 Films	22-Sep-17	2017	9	502379.0	317.0	2925.0	191.0	5000000	42603	A24	negative	objective	0.623711169	0.999989577
